"Onset Year-Week ","Number of Confirmed Cases "
"200213",0
"200214",0
"200215",0
"200216",0
"200217",0
"200218",0
"200219",0
"200220",0
"200221",0
"200222",0
"200223",0
"200224",0
"200225",0
"200226",1
"200227",2
"200228",0
"200229",4
"200230",8
"200231",12
"200232",16
"200233",9
"200234",17
"200235",13
"200236",18
"200237",19
"200238",16
"200239",17
"200240",22
"200241",21
"200242",32
"200243",37
"200244",49
"200245",21
"200246",29
"200247",35
"200248",28
"200249",17
"200250",29
"200251",9
"200252",5
"200253",3
"200301",4
"200302",2
"200303",5
"200304",4
"200305",2
"200306",0
"200307",0
"200308",0
"200309",0
"200310",0
"200311",0
"200312",0
"200313",0
"200314",0
"200315",0
"200316",0
"200317",0
"200318",0
"200319",1
"200320",0
"200321",0
"200322",0
"200323",0
"200324",0
"200325",0
"200326",0
"200327",0
"200328",0
"200329",0
"200330",0
"200331",0
"200332",0
"200333",1
"200334",0
"200335",0
"200336",0
"200337",0
"200338",0
"200339",1
"200340",0
"200341",0
"200342",0
"200343",1
"200344",0
"200345",0
"200346",0
"200347",1
"200348",0
"200349",0
"200350",0
"200351",0
"200352",0
"200353",0
"200401",0
"200402",0
"200403",0
"200404",0
"200405",0
"200406",0
"200407",0
"200408",0
"200409",0
"200410",0
"200411",0
"200412",0
"200413",0
"200414",0
"200415",1
"200416",0
"200417",0
"200418",0
"200419",0
"200420",0
"200421",0
"200422",0
"200423",0
"200424",0
"200425",0
"200426",0
"200427",0
"200428",0
"200429",0
"200430",0
"200431",0
"200432",0
"200433",0
"200434",0
"200435",0
"200436",0
"200437",0
"200438",0
"200439",0
"200440",0
"200441",1
"200442",1
"200443",0
"200444",0
"200445",0
"200446",0
"200447",1
"200448",5
"200449",0
"200450",0
"200451",0
"200452",0
"200453",0
"200501",0
"200502",0
"200503",0
"200504",0
"200505",0
"200506",0
"200507",0
"200508",0
"200509",0
"200510",0
"200511",0
"200512",0
"200513",0
"200514",0
"200515",0
"200516",0
"200517",0
"200518",0
"200519",0
"200520",0
"200521",0
"200522",0
"200523",0
"200524",0
"200525",0
"200526",0
"200527",0
"200528",0
"200529",0
"200530",0
"200531",0
"200532",0
"200533",0
"200534",0
"200535",0
"200536",0
"200537",0
"200538",2
"200539",0
"200540",1
"200541",0
"200542",0
"200543",1
"200544",0
"200545",1
"200546",10
"200547",7
"200548",1
"200549",2
"200550",2
"200551",0
"200552",0
"200553",0
"200601",0
"200602",0
"200603",0
"200604",0
"200605",0
"200606",1
"200607",1
"200608",0
"200609",0
"200610",0
"200611",0
"200612",0
"200613",0
"200614",0
"200615",0
"200616",0
"200617",0
"200618",0
"200619",1
"200620",0
"200621",0
"200622",0
"200623",0
"200624",0
"200625",0
"200626",0
"200627",0
"200628",0
"200629",0
"200630",0
"200631",0
"200632",1
"200633",0
"200634",3
"200635",0
"200636",2
"200637",3
"200638",5
"200639",6
"200640",8
"200641",12
"200642",15
"200643",15
"200644",19
"200645",16
"200646",3
"200647",9
"200648",9
"200649",5
"200650",0
"200651",0
"200652",4
"200653",0
"200701",1
"200702",1
"200703",0
"200704",1
"200705",1
"200706",0
"200707",0
"200708",0
"200709",0
"200710",0
"200711",0
"200712",0
"200713",0
"200714",0
"200715",0
"200716",0
"200717",0
"200718",0
"200719",0
"200720",0
"200721",0
"200722",0
"200723",0
"200724",0
"200725",0
"200726",0
"200727",1
"200728",2
"200729",2
"200730",14
"200731",18
"200732",2
"200733",1
"200734",1
"200735",1
"200736",2
"200737",1
"200738",0
"200739",0
"200740",0
"200741",0
"200742",0
"200743",8
"200744",3
"200745",9
"200746",4
"200747",3
"200748",1
"200749",1
"200750",3
"200751",0
"200752",0
"200753",1
"200801",0
"200802",0
"200803",0
"200804",0
"200805",0
"200806",0
"200807",0
"200808",0
"200809",0
"200810",0
"200811",0
"200812",0
"200813",0
"200814",0
"200815",0
"200816",1
"200817",0
"200818",0
"200819",0
"200820",0
"200821",0
"200822",0
"200823",0
"200824",0
"200825",0
"200826",0
"200827",0
"200828",0
"200829",0
"200830",0
"200831",0
"200832",1
"200833",0
"200834",0
"200835",0
"200836",0
"200837",1
"200838",0
"200839",0
"200840",0
"200841",0
"200842",4
"200843",2
"200844",2
"200845",4
"200846",5
"200847",6
"200848",11
"200849",4
"200850",0
"200851",1
"200852",0
"200853",0
"200901",0
"200902",0
"200903",0
"200904",0
"200905",0
"200906",0
"200907",0
"200908",0
"200909",0
"200910",0
"200911",0
"200912",0
"200913",0
"200914",0
"200915",0
"200916",0
"200917",0
"200918",0
"200919",0
"200920",0
"200921",0
"200922",0
"200923",0
"200924",0
"200925",0
"200926",0
"200927",0
"200928",1
"200929",0
"200930",0
"200931",0
"200932",0
"200933",0
"200934",0
"200935",0
"200936",0
"200937",0
"200938",0
"200939",0
"200940",0
"200941",0
"200942",2
"200943",2
"200944",1
"200945",6
"200946",6
"200947",4
"200948",8
"200949",6
"200950",3
"200951",7
"200952",5
"200953",1
"201001",1
"201002",1
"201003",0
"201004",1
"201005",0
"201006",0
"201007",0
"201008",0
"201009",0
"201010",0
"201011",0
"201012",0
"201013",0
"201014",0
"201015",0
"201016",0
"201017",0
"201018",0
"201019",0
"201020",0
"201021",0
"201022",0
"201023",0
"201024",0
"201025",0
"201026",1
"201027",0
"201028",0
"201029",1
"201030",0
"201031",0
"201032",1
"201033",1
"201034",7
"201035",13
"201036",24
"201037",52
"201038",37
"201039",38
"201040",23
"201041",32
"201042",40
"201043",20
"201044",27
"201045",28
"201046",18
"201047",26
"201048",11
"201049",19
"201050",8
"201051",4
"201052",4
"201101",1
"201102",0
"201103",1
"201104",0
"201105",0
"201106",1
"201107",0
"201108",0
"201109",0
"201110",0
"201111",0
"201112",0
"201113",0
"201114",0
"201115",0
"201116",0
"201117",0
"201118",0
"201119",0
"201120",0
"201121",1
"201122",0
"201123",0
"201124",1
"201125",0
"201126",0
"201127",0
"201128",0
"201129",0
"201130",2
"201131",0
"201132",0
"201133",1
"201134",0
"201135",0
"201136",4
"201137",2
"201138",11
"201139",11
"201140",19
"201141",21
"201142",27
"201143",31
"201144",45
"201145",69
"201146",63
"201147",48
"201148",46
"201149",34
"201150",23
"201151",9
"201152",2
"201201",2
"201202",1
"201203",0
"201204",0
"201205",0
"201206",1
"201207",0
"201208",0
"201209",0
"201210",0
"201211",0
"201212",0
"201213",0
"201214",0
"201215",0
"201216",0
"201217",0
"201218",0
"201219",0
"201220",0
"201221",0
"201222",0
"201223",0
"201224",0
"201225",0
"201226",0
"201227",0
"201228",0
"201229",0
"201230",0
"201231",1
"201232",0
"201233",0
"201234",0
"201235",1
"201236",1
"201237",4
"201238",0
"201239",7
"201240",13
"201241",7
"201242",8
"201243",6
"201244",5
"201245",7
"201246",7
"201247",0
"201248",1
"201249",0
"201250",1
"201251",0
"201252",0
"201301",0
"201302",0
"201303",0
"201304",0
"201305",0
"201306",0
"201307",0
"201308",0
"201309",0
"201310",0
"201311",0
"201312",0
"201313",0
"201314",0
"201315",0
"201316",0
"201317",0
"201318",0
"201319",0
"201320",0
"201321",0
"201322",0
"201323",0
"201324",0
"201325",0
"201326",0
"201327",0
"201328",0
"201329",0
"201330",0
"201331",0
"201332",0
"201333",0
"201334",1
"201335",1
"201336",0
"201337",0
"201338",0
"201339",0
"201340",0
"201341",0
"201342",1
"201343",0
"201344",1
"201345",2
"201346",0
"201347",0
"201348",3
"201349",3
"201350",4
"201351",0
"201352",0
"201401",0
"201402",0
"201403",0
"201404",0
"201405",0
"201406",2
"201407",0
"201408",0
"201409",0
"201410",0
"201411",0
"201412",0
"201413",0
"201414",1
"201415",0
"201416",0
"201417",0
"201418",0
"201419",0
"201420",0
"201421",0
"201422",0
"201423",0
"201424",0
"201425",1
"201426",1
"201427",1
"201428",1
"201429",2
"201430",3
"201431",5
"201432",4
"201433",20
"201434",26
"201435",28
"201436",39
"201437",55
"201438",120
"201439",102
"201440",228
"201441",256
"201442",506
"201443",499
"201444",467
"201445",443
"201446",350
"201447",291
"201448",210
"201449",165
"201450",91
"201451",48
"201452",20
"201453",7
"201501",3
"201502",5
"201503",4
"201504",1
"201505",1
"201506",3
"201507",0
"201508",1
"201509",0
"201510",3
"201511",0
"201512",0
"201513",0
"201514",0
"201515",0
"201516",0
"201517",1
"201518",0
"201519",0
"201520",1
"201521",1
"201522",1
"201523",0
"201524",0
"201525",1
"201526",0
"201527",1
"201528",0
"201529",4
"201530",3
"201531",10
"201532",29
"201533",65
"201534",45
"201535",91
"201536",110
"201537",155
"201538",159
"201539",170
"201540",252
"201541",300
"201542",334
"201543",406
"201544",454
"201545",542
"201546",550
"201547",384
"201548",280
"201549",158
"201550",94
"201551",50
"201552",37
"201601",16
"201602",16
"201603",5
"201604",7
"201605",1
"201606",0
"201607",0
"201608",1
"201609",0
"201610",0
"201611",0
"201612",0
"201613",0
"201614",0
"201615",0
"201616",0
"201617",0
"201618",0
"201619",0
"201620",0
"201621",0
"201622",0
"201623",0
"201624",0
"201625",0
"201626",0
"201627",0
"201628",0
"201629",0
"201630",0
"201631",0
"201632",1
"201633",0
"201634",0
"201635",1
"201636",0
"201637",0
"201638",0
"201639",0
"201640",0
"201641",0
"201642",0
"201643",0
"201644",0
"201645",0
"201646",0
"201647",0
"201648",0
"201649",1
"201650",0
"201651",0
"201652",0
"201701",0
"201702",0
"201703",0
"201704",0
"201705",0
"201706",0
"201707",1
"201708",0
"201709",0
"201710",0
"201711",0
"201712",0
"201713",0
"201714",0
"201715",0
"201716",0
"201717",0
"201718",0
"201719",0
"201720",0
"201721",0
"201722",0
"201723",0
"201724",0
"201725",0
"201726",1
"201727",0
"201728",0
"201729",0
"201730",0
"201731",0
"201732",0
"201733",0
