"Year","Month","RDHS","Cases"
2010,"May","Jaffna",82
2010,"May","Kilinochchi",0
2010,"May","Mannar",9
2010,"May","Vavuniya",6
2010,"May","Mulativu",1
2010,"May","Batticaloa",48
2010,"May","Ampara",9
2010,"May","Trincomalee",22
2010,"May","Kurunegala",100
2010,"May","Puttalam",51
2010,"May","Apura",21
2010,"May","Polonnaruwa",60
2010,"May","Badulla",69
2010,"May","Moneragala",53
2010,"May","Ratnapura",274
2010,"May","Kegalle",53
2010,"May","Kalmunai",13
2010,"June","Colombo",700
2010,"June","Gampaha",381
2010,"June","Kalutara",294
2010,"June","Kandy",176
2010,"June","Matale",35
2010,"June","N Eliya",13
2010,"June","Galle",145
2010,"June","Matara",67
2010,"June","Jaffna",237
2010,"June","Kilinochchi",4
2010,"June","Mannar",55
2010,"June","Vavuniya",21
2010,"June","Mulativu",0
2010,"June","Batticaloa",59
2010,"June","Ampara",6
2010,"June","Trincomalee",38
2010,"June","Kurunegala",151
2010,"June","Puttalam",106
2010,"June","Apura",38
2010,"June","Polonnaruwa",61
2010,"June","Badulla",118
2010,"June","Moneragala",93
2010,"June","Ratnapura",432
2010,"June","Kegalle",117
2010,"June","Kalmunai",8
2010,"July","Colombo",1530
2010,"July","Gampaha",686
2010,"July","Kalutara",420
2010,"July","Kandy",341
2010,"July","Matale",97
2010,"July","N Eliya",45
2010,"July","Galle",228
2010,"July","Matara",148
2010,"July","Jaffna",236
2010,"July","Kilinochchi",5
2010,"July","Mannar",94
2010,"July","Vavuniya",27
2010,"July","Mulativu",2
2010,"July","Batticaloa",59
2010,"July","Ampara",30
2010,"July","Trincomalee",89
2010,"July","Kurunegala",300
2010,"July","Puttalam",137
2010,"July","Apura",83
2010,"July","Polonnaruwa",51
2010,"July","Badulla",372
2010,"July","Moneragala",314
2010,"July","Ratnapura",492
2010,"July","Kegalle",161
2010,"July","Kalmunai",5
2010,"August","Colombo",881
2010,"August","Gampaha",417
2010,"August","Kalutara",215
2010,"August","Kandy",230
2010,"August","Matale",43
2010,"August","N Eliya",44
2010,"August","Galle",169
2010,"August","Matara",110
2010,"August","Jaffna",96
2010,"August","Kilinochchi",18
2010,"August","Mannar",222
2010,"August","Vavuniya",22
2010,"August","Mulativu",8
2010,"August","Batticaloa",25
2010,"August","Ampara",21
2010,"August","Trincomalee",46
2010,"August","Kurunegala",214
2010,"August","Puttalam",82
2010,"August","Apura",67
2010,"August","Polonnaruwa",30
2010,"August","Badulla",319
2010,"August","Moneragala",219
2010,"August","Ratnapura",438
2010,"August","Kegalle",104
2010,"August","Kalmunai",9
2010,"September","Colombo",312
2010,"September","Gampaha",174
2010,"September","Kalutara",122
2010,"September","Kandy",91
2010,"September","Matale",23
2010,"September","N Eliya",21
2010,"September","Galle",105
2010,"September","Matara",62
2010,"September","Jaffna",40
2010,"September","Kilinochchi",12
2010,"September","Mannar",62
2010,"September","Vavuniya",12
2010,"September","Mulativu",7
2010,"September","Batticaloa",4
2010,"September","Ampara",19
2010,"September","Trincomalee",21
2010,"September","Kurunegala",78
2010,"September","Puttalam",49
2010,"September","Apura",60
2010,"September","Polonnaruwa",21
2010,"September","Badulla",120
2010,"September","Moneragala",65
2010,"September","Ratnapura",246
2010,"September","Kegalle",64
2010,"September","Kalmunai",6
2010,"October","Colombo",267
2010,"October","Gampaha",101
2010,"October","Kalutara",56
2010,"October","Kandy",64
2010,"October","Matale",21
2010,"October","N Eliya",21
2010,"October","Galle",49
2010,"October","Matara",25
2010,"October","Jaffna",78
2010,"October","Kilinochchi",2
2010,"October","Mannar",28
2010,"October","Vavuniya",3
2010,"October","Mulativu",3
2010,"October","Batticaloa",8
2010,"October","Ampara",5
2010,"October","Trincomalee",17
2010,"October","Kurunegala",47
2010,"October","Puttalam",31
2010,"October","Apura",33
2010,"October","Polonnaruwa",8
2010,"October","Badulla",43
2010,"October","Moneragala",50
2010,"October","Ratnapura",118
2010,"October","Kegalle",25
2010,"October","Kalmunai",10
2010,"November","Colombo",97
2010,"November","Gampaha",77
2010,"November","Kalutara",23
2010,"November","Kandy",22
2010,"November","Matale",19
2010,"November","N Eliya",6
2010,"November","Galle",11
2010,"November","Matara",15
2010,"November","Jaffna",79
2010,"November","Kilinochchi",5
2010,"November","Mannar",14
2010,"November","Vavuniya",3
2010,"November","Mulativu",1
2010,"November","Batticaloa",13
2010,"November","Ampara",1
2010,"November","Trincomalee",11
2010,"November","Kurunegala",21
2010,"November","Puttalam",25
2010,"November","Apura",26
2010,"November","Polonnaruwa",5
2010,"November","Badulla",26
2010,"November","Moneragala",42
2010,"November","Ratnapura",53
2010,"November","Kegalle",22
2010,"November","Kalmunai",23
2010,"December","Colombo",146
2010,"December","Gampaha",87
2010,"December","Kalutara",19
2010,"December","Kandy",16
2010,"December","Matale",45
2010,"December","N Eliya",3
2010,"December","Galle",7
2010,"December","Matara",9
2010,"December","Jaffna",121
2010,"December","Kilinochchi",6
2010,"December","Mannar",5
2010,"December","Vavuniya",4
2010,"December","Mulativu",1
2010,"December","Batticaloa",29
2010,"December","Ampara",8
2010,"December","Trincomalee",22
2010,"December","Kurunegala",26
2010,"December","Puttalam",45
2010,"December","Apura",40
2010,"December","Polonnaruwa",7
2010,"December","Badulla",40
2010,"December","Moneragala",24
2010,"December","Ratnapura",46
2010,"December","Kegalle",21
2010,"December","Kalmunai",15
2011,"January","Colombo",309
2011,"January","Gampaha",134
2011,"January","Kalutara",48
2011,"January","Kandy",26
2011,"January","Matale",10
2011,"January","N Eliya",3
2011,"January","Galle",7
2011,"January","Matara",14
2011,"January","Jaffna",58
2011,"January","Kilinochchi",2
2011,"January","Mannar",8
2011,"January","Vavuniya",13
2011,"January","Mulativu",2
2011,"January","Batticaloa",31
2011,"January","Ampara",12
2011,"January","Trincomalee",7
2011,"January","Kurunegala",31
2011,"January","Puttalam",72
2011,"January","Apura",21
2011,"January","Polonnaruwa",5
2011,"January","Badulla",22
2011,"January","Moneragala",17
2011,"January","Ratnapura",47
2011,"January","Kegalle",15
2011,"January","Kalmunai",3
2011,"February","Colombo",392
2011,"February","Gampaha",119
2011,"February","Kalutara",52
2011,"February","Kandy",28
2011,"February","Matale",18
2011,"February","N Eliya",8
2011,"February","Galle",19
2011,"February","Matara",18
2011,"February","Jaffna",34
2011,"February","Kilinochchi",4
2011,"February","Mannar",5
2011,"February","Vavuniya",3
2011,"February","Mulativu",3
2011,"February","Batticaloa",41
2011,"February","Ampara",6
2011,"February","Trincomalee",17
2011,"February","Kurunegala",49
2011,"February","Puttalam",64
2011,"February","Apura",18
2011,"February","Polonnaruwa",38
2011,"February","Badulla",21
2011,"February","Moneragala",24
2011,"February","Ratnapura",38
2011,"February","Kegalle",24
2011,"February","Kalmunai",1
2011,"March","Colombo",340
2011,"March","Gampaha",141
2011,"March","Kalutara",57
2011,"March","Kandy",32
2011,"March","Matale",16
2011,"March","N Eliya",9
2011,"March","Galle",30
2011,"March","Matara",35
2011,"March","Jaffna",24
2011,"March","Kilinochchi",10
2011,"March","Mannar",4
2011,"March","Vavuniya",15
2011,"March","Mulativu",0
2011,"March","Batticaloa",104
2011,"March","Ampara",2
2011,"March","Trincomalee",25
2011,"March","Kurunegala",60
2011,"March","Puttalam",49
2011,"March","Apura",14
2011,"March","Polonnaruwa",20
2011,"March","Badulla",15
2011,"March","Moneragala",15
2011,"March","Ratnapura",40
2011,"March","Kegalle",28
2011,"March","Kalmunai",6
2011,"April","Colombo",528
2011,"April","Gampaha",183
2011,"April","Kalutara",133
2011,"April","Kandy",62
2011,"April","Matale",20
2011,"April","N Eliya",19
2011,"April","Galle",57
2011,"April","Matara",55
2011,"April","Jaffna",20
2011,"April","Kilinochchi",13
2011,"April","Mannar",2
2011,"April","Vavuniya",5
2011,"April","Mulativu",1
2011,"April","Batticaloa",185
2011,"April","Ampara",20
2011,"April","Trincomalee",25
2011,"April","Kurunegala",59
2011,"April","Puttalam",28
2011,"April","Apura",21
2011,"April","Polonnaruwa",28
2011,"April","Badulla",36
2011,"April","Moneragala",33
2011,"April","Ratnapura",113
2011,"April","Kegalle",51
2011,"April","Kalmunai",4
2011,"May","Colombo",698
2011,"May","Gampaha",218
2011,"May","Kalutara",148
2011,"May","Kandy",53
2011,"May","Matale",37
2011,"May","N Eliya",17
2011,"May","Galle",98
2011,"May","Matara",57
2011,"May","Jaffna",10
2011,"May","Kilinochchi",4
2011,"May","Mannar",2
2011,"May","Vavuniya",7
2011,"May","Mulativu",1
2011,"May","Batticaloa",141
2011,"May","Ampara",10
2011,"May","Trincomalee",12
2011,"May","Kurunegala",91
2011,"May","Puttalam",21
2011,"May","Apura",31
2011,"May","Polonnaruwa",38
2011,"May","Badulla",31
2011,"May","Moneragala",16
2011,"May","Ratnapura",89
2011,"May","Kegalle",48
2011,"May","Kalmunai",2
2011,"June","Colombo",1610
2011,"June","Gampaha",537
2011,"June","Kalutara",185
2011,"June","Kandy",81
2011,"June","Matale",53
2011,"June","N Eliya",20
2011,"June","Galle",112
2011,"June","Matara",51
2011,"June","Jaffna",16
2011,"June","Kilinochchi",3
2011,"June","Mannar",2
2011,"June","Vavuniya",11
2011,"June","Mulativu",7
2011,"June","Batticaloa",112
2011,"June","Ampara",29
2011,"June","Trincomalee",19
2011,"June","Kurunegala",116
2011,"June","Puttalam",52
2011,"June","Apura",39
2011,"June","Polonnaruwa",44
2011,"June","Badulla",65
2011,"June","Moneragala",18
2011,"June","Ratnapura",118
2011,"June","Kegalle",120
2011,"June","Kalmunai",3
2011,"July","Colombo",2085
2011,"July","Gampaha",911
2011,"July","Kalutara",188
2011,"July","Kandy",218
2011,"July","Matale",66
2011,"July","N Eliya",50
2011,"July","Galle",168
2011,"July","Matara",83
2011,"July","Jaffna",35
2011,"July","Kilinochchi",3
2011,"July","Mannar",2
2011,"July","Vavuniya",8
2011,"July","Mulativu",1
2011,"July","Batticaloa",53
2011,"July","Ampara",20
2011,"July","Trincomalee",21
2011,"July","Kurunegala",178
2011,"July","Puttalam",62
2011,"July","Apura",43
2011,"July","Polonnaruwa",36
2011,"July","Badulla",201
2011,"July","Moneragala",32
2011,"July","Ratnapura",153
2011,"July","Kegalle",141
2011,"July","Kalmunai",8
2011,"August","Colombo",824
2011,"August","Gampaha",428
2011,"August","Kalutara",107
2011,"August","Kandy",99
2011,"August","Matale",25
2011,"August","N Eliya",10
2011,"August","Galle",100
2011,"August","Matara",27
2011,"August","Jaffna",33
2011,"August","Kilinochchi",5
2011,"August","Mannar",1
2011,"August","Vavuniya",2
2011,"August","Mulativu",0
2011,"August","Batticaloa",21
2011,"August","Ampara",11
2011,"August","Trincomalee",6
2011,"August","Kurunegala",84
2011,"August","Puttalam",23
2011,"August","Apura",21
2011,"August","Polonnaruwa",23
2011,"August","Badulla",54
2011,"August","Moneragala",17
2011,"August","Ratnapura",86
2011,"August","Kegalle",81
2011,"August","Kalmunai",0
2011,"September","Colombo",863
2011,"September","Gampaha",367
2011,"September","Kalutara",93
2011,"September","Kandy",251
2011,"September","Matale",26
2011,"September","N Eliya",31
2011,"September","Galle",96
2011,"September","Matara",63
2011,"September","Jaffna",46
2011,"September","Kilinochchi",8
2011,"September","Mannar",0
2011,"September","Vavuniya",3
2011,"September","Mulativu",0
2011,"September","Batticaloa",35
2011,"September","Ampara",24
2011,"September","Trincomalee",10
2011,"September","Kurunegala",84
2011,"September","Puttalam",31
2011,"September","Apura",22
2011,"September","Polonnaruwa",18
2011,"September","Badulla",46
2011,"September","Moneragala",34
2011,"September","Ratnapura",117
2011,"September","Kegalle",156
2011,"September","Kalmunai",2
2011,"October","Colombo",599
2011,"October","Gampaha",321
2011,"October","Kalutara",100
2011,"October","Kandy",255
2011,"October","Matale",17
2011,"October","N Eliya",43
2011,"October","Galle",50
2011,"October","Matara",72
2011,"October","Jaffna",19
2011,"October","Kilinochchi",3
2011,"October","Mannar",17
2011,"October","Vavuniya",3
2011,"October","Mulativu",1
2011,"October","Batticaloa",123
2011,"October","Ampara",13
2011,"October","Trincomalee",3
2011,"October","Kurunegala",71
2011,"October","Puttalam",27
2011,"October","Apura",24
2011,"October","Polonnaruwa",16
2011,"October","Badulla",39
2011,"October","Moneragala",30
2011,"October","Ratnapura",87
2011,"October","Kegalle",176
2011,"October","Kalmunai",5
2011,"November","Colombo",536
2011,"November","Gampaha",347
2011,"November","Kalutara",111
2011,"November","Kandy",182
2011,"November","Matale",21
2011,"November","N Eliya",17
2011,"November","Galle",49
2011,"November","Matara",141
2011,"November","Jaffna",34
2011,"November","Kilinochchi",4
2011,"November","Mannar",8
2011,"November","Vavuniya",4
2011,"November","Mulativu",2
2011,"November","Batticaloa",289
2011,"November","Ampara",16
2011,"November","Trincomalee",8
2011,"November","Kurunegala",82
2011,"November","Puttalam",40
2011,"November","Apura",12
2011,"November","Polonnaruwa",6
2011,"November","Badulla",49
2011,"November","Moneragala",40
2011,"November","Ratnapura",91
2011,"November","Kegalle",88
2011,"November","Kalmunai",6
2011,"December","Colombo",1339
2011,"December","Gampaha",668
2011,"December","Kalutara",194
2011,"December","Kandy",348
2011,"December","Matale",56
2011,"December","N Eliya",25
2011,"December","Galle",93
2011,"December","Matara",179
2011,"December","Jaffna",71
2011,"December","Kilinochchi",7
2011,"December","Mannar",49
2011,"December","Vavuniya",7
2011,"December","Mulativu",1
2011,"December","Batticaloa",558
2011,"December","Ampara",33
2011,"December","Trincomalee",24
2011,"December","Kurunegala",135
2011,"December","Puttalam",102
2011,"December","Apura",33
2011,"December","Polonnaruwa",32
2011,"December","Badulla",53
2011,"December","Moneragala",36
2011,"December","Ratnapura",181
2011,"December","Kegalle",152
2011,"December","Kalmunai",48
2012,"January","Colombo",1066
2012,"January","Gampaha",847
2012,"January","Kalutara",180
2012,"January","Kandy",270
2012,"January","Matale",45
2012,"January","N Eliya",24
2012,"January","Galle",105
2012,"January","Matara",186
2012,"January","Jaffna",91
2012,"January","Kilinochchi",8
2012,"January","Mannar",38
2012,"January","Vavuniya",13
2012,"January","Mulativu",2
2012,"January","Batticaloa",263
2012,"January","Ampara",18
2012,"January","Trincomalee",23
2012,"January","Kurunegala",159
2012,"January","Puttalam",131
2012,"January","Apura",38
2012,"January","Polonnaruwa",25
2012,"January","Badulla",40
2012,"January","Moneragala",16
2012,"January","Ratnapura",126
2012,"January","Kegalle",173
2012,"January","Kalmunai",41
2012,"February","Colombo",744
2012,"February","Gampaha",640
2012,"February","Kalutara",260
2012,"February","Kandy",194
2012,"February","Matale",47
2012,"February","N Eliya",35
2012,"February","Galle",105
2012,"February","Matara",147
2012,"February","Jaffna",40
2012,"February","Kilinochchi",2
2012,"February","Mannar",16
2012,"February","Vavuniya",5
2012,"February","Mulativu",1
2012,"February","Batticaloa",116
2012,"February","Ampara",6
2012,"February","Trincomalee",23
2012,"February","Kurunegala",148
2012,"February","Puttalam",101
2012,"February","Apura",37
2012,"February","Polonnaruwa",27
2012,"February","Badulla",22
2012,"February","Moneragala",23
2012,"February","Ratnapura",153
2012,"February","Kegalle",144
2012,"February","Kalmunai",43
2012,"March","Colombo",630
2012,"March","Gampaha",447
2012,"March","Kalutara",209
2012,"March","Kandy",114
2012,"March","Matale",59
2012,"March","N Eliya",41
2012,"March","Galle",161
2012,"March","Matara",155
2012,"March","Jaffna",43
2012,"March","Kilinochchi",5
2012,"March","Mannar",10
2012,"March","Vavuniya",5
2012,"March","Mulativu",1
2012,"March","Batticaloa",91
2012,"March","Ampara",4
2012,"March","Trincomalee",26
2012,"March","Kurunegala",114
2012,"March","Puttalam",69
2012,"March","Apura",36
2012,"March","Polonnaruwa",21
2012,"March","Badulla",13
2012,"March","Moneragala",23
2012,"March","Ratnapura",160
2012,"March","Kegalle",121
2012,"March","Kalmunai",25
2012,"April","Colombo",412
2012,"April","Gampaha",367
2012,"April","Kalutara",205
2012,"April","Kandy",122
2012,"April","Matale",35
2012,"April","N Eliya",25
2012,"April","Galle",90
2012,"April","Matara",94
2012,"April","Jaffna",24
2012,"April","Kilinochchi",3
2012,"April","Mannar",9
2012,"April","Vavuniya",2
2012,"April","Mulativu",1
2012,"April","Batticaloa",32
2012,"April","Ampara",9
2012,"April","Trincomalee",6
2012,"April","Kurunegala",100
2012,"April","Puttalam",55
2012,"April","Apura",26
2012,"April","Polonnaruwa",11
2012,"April","Badulla",11
2012,"April","Moneragala",15
2012,"April","Ratnapura",183
2012,"April","Kegalle",146
2012,"April","Kalmunai",8
2012,"May","Colombo",583
2012,"May","Gampaha",397
2012,"May","Kalutara",182
2012,"May","Kandy",194
2012,"May","Matale",32
2012,"May","N Eliya",18
2012,"May","Galle",99
2012,"May","Matara",84
2012,"May","Jaffna",27
2012,"May","Kilinochchi",19
2012,"May","Mannar",6
2012,"May","Vavuniya",5
2012,"May","Mulativu",3
2012,"May","Batticaloa",35
2012,"May","Ampara",21
2012,"May","Trincomalee",8
2012,"May","Kurunegala",140
2012,"May","Puttalam",98
2012,"May","Apura",29
2012,"May","Polonnaruwa",17
2012,"May","Badulla",20
2012,"May","Moneragala",22
2012,"May","Ratnapura",257
2012,"May","Kegalle",213
2012,"May","Kalmunai",10
2012,"June","Colombo",1251
2012,"June","Gampaha",1180
2012,"June","Kalutara",364
2012,"June","Kandy",298
2012,"June","Matale",81
2012,"June","N Eliya",58
2012,"June","Galle",221
2012,"June","Matara",147
2012,"June","Jaffna",34
2012,"June","Kilinochchi",16
2012,"June","Mannar",15
2012,"June","Vavuniya",2
2012,"June","Mulativu",4
2012,"June","Batticaloa",32
2012,"June","Ampara",15
2012,"June","Trincomalee",16
2012,"June","Kurunegala",342
2012,"June","Puttalam",178
2012,"June","Apura",56
2012,"June","Polonnaruwa",37
2012,"June","Badulla",57
2012,"June","Moneragala",38
2012,"June","Ratnapura",874
2012,"June","Kegalle",557
2012,"June","Kalmunai",23
2012,"July","Colombo",1314
2012,"July","Gampaha",969
2012,"July","Kalutara",348
2012,"July","Kandy",287
2012,"July","Matale",29
2012,"July","N Eliya",30
2012,"July","Galle",217
2012,"July","Matara",186
2012,"July","Jaffna",26
2012,"July","Kilinochchi",8
2012,"July","Mannar",19
2012,"July","Vavuniya",3
2012,"July","Mulativu",5
2012,"July","Batticaloa",11
2012,"July","Ampara",29
2012,"July","Trincomalee",8
2012,"July","Kurunegala",406
2012,"July","Puttalam",98
2012,"July","Apura",31
2012,"July","Polonnaruwa",22
2012,"July","Badulla",48
2012,"July","Moneragala",33
2012,"July","Ratnapura",621
2012,"July","Kegalle",385
2012,"July","Kalmunai",9
2012,"August","Colombo",1231
2012,"August","Gampaha",884
2012,"August","Kalutara",339
2012,"August","Kandy",355
2012,"August","Matale",62
2012,"August","N Eliya",30
2012,"August","Galle",241
2012,"August","Matara",241
2012,"August","Jaffna",36
2012,"August","Kilinochchi",11
2012,"August","Mannar",11
2012,"August","Vavuniya",16
2012,"August","Mulativu",3
2012,"August","Batticaloa",21
2012,"August","Ampara",13
2012,"August","Trincomalee",13
2012,"August","Kurunegala",401
2012,"August","Puttalam",142
2012,"August","Apura",34
2012,"August","Polonnaruwa",38
2012,"August","Badulla",40
2012,"August","Moneragala",36
2012,"August","Ratnapura",648
2012,"August","Kegalle",331
2012,"August","Kalmunai",11
2012,"September","Colombo",525
2012,"September","Gampaha",479
2012,"September","Kalutara",156
2012,"September","Kandy",135
2012,"September","Matale",46
2012,"September","N Eliya",21
2012,"September","Galle",78
2012,"September","Matara",141
2012,"September","Jaffna",41
2012,"September","Kilinochchi",6
2012,"September","Mannar",2
2012,"September","Vavuniya",20
2012,"September","Mulativu",2
2012,"September","Batticaloa",7
2012,"September","Ampara",9
2012,"September","Trincomalee",7
2012,"September","Kurunegala",320
2012,"September","Puttalam",253
2012,"September","Apura",26
2012,"September","Polonnaruwa",12
2012,"September","Badulla",35
2012,"September","Moneragala",16
2012,"September","Ratnapura",310
2012,"September","Kegalle",174
2012,"September","Kalmunai",3
2012,"October","Colombo",726
2012,"October","Gampaha",570
2012,"October","Kalutara",192
2012,"October","Kandy",177
2012,"October","Matale",44
2012,"October","N Eliya",17
2012,"October","Galle",60
2012,"October","Matara",196
2012,"October","Jaffna",143
2012,"October","Kilinochchi",2
2012,"October","Mannar",6
2012,"October","Vavuniya",13
2012,"October","Mulativu",0
2012,"October","Batticaloa",26
2012,"October","Ampara",11
2012,"October","Trincomalee",5
2012,"October","Kurunegala",311
2012,"October","Puttalam",159
2012,"October","Apura",27
2012,"October","Polonnaruwa",21
2012,"October","Badulla",41
2012,"October","Moneragala",17
2012,"October","Ratnapura",194
2012,"October","Kegalle",148
2012,"October","Kalmunai",22
2012,"November","Colombo",853
2012,"November","Gampaha",737
2012,"November","Kalutara",213
2012,"November","Kandy",185
2012,"November","Matale",47
2012,"November","N Eliya",30
2012,"November","Galle",78
2012,"November","Matara",158
2012,"November","Jaffna",205
2012,"November","Kilinochchi",5
2012,"November","Mannar",21
2012,"November","Vavuniya",9
2012,"November","Mulativu",6
2012,"November","Batticaloa",36
2012,"November","Ampara",14
2012,"November","Trincomalee",15
2012,"November","Kurunegala",497
2012,"November","Puttalam",251
2012,"November","Apura",34
2012,"November","Polonnaruwa",15
2012,"November","Badulla",49
2012,"November","Moneragala",29
2012,"November","Ratnapura",262
2012,"November","Kegalle",156
2012,"November","Kalmunai",69
2012,"December","Colombo",682
2012,"December","Gampaha",489
2012,"December","Kalutara",143
2012,"December","Kandy",186
2012,"December","Matale",69
2012,"December","N Eliya",13
2012,"December","Galle",58
2012,"December","Matara",100
2012,"December","Jaffna",184
2012,"December","Kilinochchi",8
2012,"December","Mannar",33
2012,"December","Vavuniya",11
2012,"December","Mulativu",14
2012,"December","Batticaloa",47
2012,"December","Ampara",6
2012,"December","Trincomalee",18
2012,"December","Kurunegala",599
2012,"December","Puttalam",265
2012,"December","Apura",119
2012,"December","Polonnaruwa",43
2012,"December","Badulla",54
2012,"December","Moneragala",19
2012,"December","Ratnapura",150
2012,"December","Kegalle",157
2012,"December","Kalmunai",138
2013,"January","Colombo",757
2013,"January","Gampaha",463
2013,"January","Kalutara",159
2013,"January","Kandy",193
2013,"January","Matale",48
2013,"January","N Eliya",17
2013,"January","Galle",57
2013,"January","Matara",48
2013,"January","Jaffna",100
2013,"January","Kilinochchi",7
2013,"January","Mannar",23
2013,"January","Vavuniya",11
2013,"January","Mulativu",12
2013,"January","Batticaloa",52
2013,"January","Ampara",14
2013,"January","Trincomalee",25
2013,"January","Kurunegala",720
2013,"January","Puttalam",175
2013,"January","Apura",80
2013,"January","Polonnaruwa",34
2013,"January","Badulla",42
2013,"January","Moneragala",34
2013,"January","Ratnapura",131
2013,"January","Kegalle",134
2013,"January","Kalmunai",94
2013,"February","Colombo",845
2013,"February","Gampaha",321
2013,"February","Kalutara",153
2013,"February","Kandy",215
2013,"February","Matale",47
2013,"February","N Eliya",32
2013,"February","Galle",60
2013,"February","Matara",75
2013,"February","Jaffna",77
2013,"February","Kilinochchi",4
2013,"February","Mannar",10
2013,"February","Vavuniya",8
2013,"February","Mulativu",7
2013,"February","Batticaloa",74
2013,"February","Ampara",17
2013,"February","Trincomalee",45
2013,"February","Kurunegala",485
2013,"February","Puttalam",170
2013,"February","Apura",74
2013,"February","Polonnaruwa",40
2013,"February","Badulla",49
2013,"February","Moneragala",19
2013,"February","Ratnapura",148
2013,"February","Kegalle",106
2013,"February","Kalmunai",142
2013,"March","Colombo",791
2013,"March","Gampaha",289
2013,"March","Kalutara",168
2013,"March","Kandy",134
2013,"March","Matale",49
2013,"March","N Eliya",30
2013,"March","Galle",92
2013,"March","Matara",65
2013,"March","Jaffna",84
2013,"March","Kilinochchi",7
2013,"March","Mannar",7
2013,"March","Vavuniya",12
2013,"March","Mulativu",17
2013,"March","Batticaloa",93
2013,"March","Ampara",20
2013,"March","Trincomalee",31
2013,"March","Kurunegala",303
2013,"March","Puttalam",98
2013,"March","Apura",90
2013,"March","Polonnaruwa",47
2013,"March","Badulla",45
2013,"March","Moneragala",27
2013,"March","Ratnapura",220
2013,"March","Kegalle",99
2013,"March","Kalmunai",138
2013,"April","Colombo",610
2013,"April","Gampaha",212
2013,"April","Kalutara",115
2013,"April","Kandy",83
2013,"April","Matale",32
2013,"April","N Eliya",15
2013,"April","Galle",57
2013,"April","Matara",28
2013,"April","Jaffna",115
2013,"April","Kilinochchi",5
2013,"April","Mannar",4
2013,"April","Vavuniya",3
2013,"April","Mulativu",18
2013,"April","Batticaloa",67
2013,"April","Ampara",7
2013,"April","Trincomalee",23
2013,"April","Kurunegala",134
2013,"April","Puttalam",67
2013,"April","Apura",36
2013,"April","Polonnaruwa",41
2013,"April","Badulla",32
2013,"April","Moneragala",23
2013,"April","Ratnapura",217
2013,"April","Kegalle",91
2013,"April","Kalmunai",44
2013,"May","Colombo",748
2013,"May","Gampaha",319
