"year","Month","Week.Ending","Week","Cases"
"2011"," September "," 02.09.11 ",35,428
"2011"," September "," 09.09.11 ",36,521
"2011"," September "," 16.09.11 ",37,534
"2011"," September "," 23.09.11 ",38,508
"2011"," September "," 30.09.11 ",39,454
"2011"," October "," 07.10.11 ",40,461
"2011"," October "," 14.10.11 ",41,482
"2011"," October "," 21.10.11 ",42,592
"2011"," October "," 28.10.11 ",43,592
"2011"," November "," 04.11.11 ",44,654
"2011"," November "," 11.11.11 ",45,403
"2011"," November "," 18.11.11 ",46,524
"2011"," November "," 25.11.11 ",47,622
"2011"," December "," 02.12.11 ",48,944
"2011"," December "," 09.12.11 ",49,806
"2011"," December "," 16.12.11 ",50,869
"2011"," December "," 23.12.11 ",51,985
"2011"," December "," 30.12.11 ",52,859
"2012"," January "," 06.01.12 ",1,867
"2012"," January "," 13.01.12 ",2,1065
"2012"," January "," 20.01.12 ",3,1081
"2012"," January "," 27.01.12 ",4,973
"2012"," February "," 03.02.12 ",5,1028
"2012"," February "," 10.02.12 ",6,724
"2012"," February "," 17.02.12 ",7,760
"2012"," February "," 24.02.12 ",8,633
"2012"," March "," 02.03.12 ",9,652
"2012"," March "," 09.03.12 ",10,464
"2012"," March "," 16.03.12 ",11,516
"2012"," March "," 23.03.12 ",12,511
"2012"," March "," 30.03.12 ",13,485
"2012"," April "," 06.04.12 ",14,464
"2012"," April "," 13.04.12 ",15,323
"2012"," April "," 20.04.12 ",16,637
"2012"," April "," 27.04.12 ",17,604
"2012"," May "," 04.05.12 ",18,538
"2012"," May "," 11.05.12 ",19,515
"2012"," May "," 18.05.12 ",20,686
"2012"," May "," 25.05.12 ",21,811
"2012"," June "," 01.06.12 ",22,920
"2012"," June "," 08.06.12 ",23,1088
"2012"," June "," 15.06.12 ",24,1403
"2012"," June "," 22.06.12 ",25,1297
"2012"," June "," 29.06.12 ",26,1247
"2012"," July "," 06.07.12 ",27,1273
"2012"," July "," 13.07.12 ",28,1317
"2012"," July "," 20.07.12 ",29,1191
"2012"," July "," 27.07.12 ",30,1412
"2012"," August "," 03.08.12 ",31,1080
"2012"," August "," 10.08.12 ",32,1253
"2012"," August "," 17.08.12 ",33,1271
"2012"," August "," 24.08.12 ",34,1011
"2012"," August "," 31.08.12 ",35,651
"2012"," September "," 07.09.12 ",36,831
"2012"," September "," 14.09.12 ",37,684
"2012"," September "," 21.09.12 ",38,650
"2012"," September "," 28.09.12 ",39,692
"2012"," October "," 05.10.12 ",40,685
"2012"," October "," 12.10.12 ",41,818
"2012"," October "," 19.10.12 ",42,880
"2012"," October "," 26.10.12 ",43,798
"2012"," November "," 02.11.12 ",44,786
"2012"," November "," 09.11.12 ",45,878
"2012"," November "," 16.11.12 ",46,734
"2012"," November "," 23.11.12 ",47,807
"2012"," November "," 30.11.12 ",48,829
"2012"," December "," 07.12.12 ",49,1014
"2012"," December "," 14.12.12 ",50,1008
"2012"," December "," 21.12.12 ",51,938
"2012"," December "," 28.12.12 ",52,678
"2013"," January "," 04.01.13 ",1,877
"2013"," January "," 11.01.13 ",2,860
"2013"," January "," 18.01.13 ",3,886
"2013"," January "," 25.01.13 ",4,839
"2013"," February "," 01.02.13 ",5,818
"2013"," February "," 08.02.13 ",6,813
"2013"," February "," 15.02.13 ",7,754
"2013"," February "," 22.02.13 ",8,871
"2013"," March "," 01.03.13 ",9,677
"2013"," March "," 08.03.13 ",10,742
"2013"," March "," 15.03.13 ",11,542
"2013"," March "," 22.03.13 ",12,627
"2013"," March "," 29.03.13 ",13,407
"2013"," April "," 05.04.13 ",14,619
"2013"," April "," 12.04.13 ",15,519
"2013"," April "," 19.04.13 ",16,449
"2013"," April "," 26.04.13 ",17,522
"2013"," May "," 03.05.13 ",18,564
"2013"," May "," 10.05.13 ",19,605
"2013"," May "," 17.05.13 ",20,517
"2013"," May "," 24.05.13 ",21,428
"2013"," May "," 31.05.13 ",22,500
"2013"," June "," 07.06.13 ",23,589
"2013"," June "," 14.06.13 ",24,597
"2013"," June "," 21.06.13 ",25,607
"2013"," June "," 28.06.13 ",26,634
"2013"," July "," 05.07.13 ",27,719
"2013"," July "," 12.07.13 ",28,720
"2013"," July "," 19.07.13 ",29,723
"2013"," July "," 26.07.13 ",30,762
"2013"," August "," 02.08.13 ",31,825
"2013"," August "," 09.08.13 ",32,645
"2013"," August "," 16.08.13 ",33,713
"2013"," August "," 23.08.13 ",34,584
"2013"," August "," 30.08.13 ",35,515
"2013"," September "," 06.09.13 ",36,594
"2013"," September "," 13.09.13 ",37,497
"2013"," September "," 20.09.13 ",38,390
"2013"," September "," 27.09.13 ",39,431
"2013"," October "," 04.10.13 ",40,384
"2013"," October "," 11.10.13 ",41,398
"2013"," October "," 18.10.13 ",42,326
"2013"," October "," 25.10.13 ",43,526
"2013"," November "," 01.11.13 ",44,378
"2013"," November "," 08.11.13 ",45,497
"2013"," November "," 15.11.13 ",46,469
"2013"," November "," 22.11.13 ",47,653
"2013"," November "," 29.11.13 ",48,614
"2013"," December "," 06.12.13 ",49,713
"2013"," December "," 13.12.13 ",50,686
"2013"," December "," 20.12.13 ",51,702
"2013"," December "," 27.12.13 ",52,729
"2014"," January "," 03.01.2014 ",1,761
"2014"," January "," 10.01.2014 ",2,840
"2014"," January "," 17.01.2014 ",3,688
"2014"," January "," 24.01.2014 ",4,742
"2014"," January "," 31.01.2014 ",5,579
"2014"," February "," 07.02.2014 ",6,510
"2014"," February "," 14.02.2014 ",7,498
"2014"," February "," 21.02.2014 ",8,591
"2014"," February "," 28.02.2014 ",9,412
"2014"," March "," 07.03.2014 ",10,473
"2014"," March "," 14.03.2014 ",11,372
"2014"," March "," 21.03.2014 ",12,450
"2014"," March "," 28.03.2014 ",13,353
"2014"," April "," 04.04.2014 ",14,367
"2014"," April "," 11.04.2014 ",15,400
"2014"," April "," 18.04.2014 ",16,209
"2014"," April "," 25.04.2014 ",17,706
"2014"," May "," 02.05.2014 ",18,568
"2014"," May "," 09.05.2015 ",19,579
"2014"," May "," 16.05.2014 ",20,527
"2014"," May "," 23.05.2014 ",21,1047
"2014"," May "," 30.05.2014 ",22,1571
"2014"," June "," 06.06.2014 ",23,1480
"2014"," June "," 13.06.2014 ",24,1633
"2014"," June "," 20.06.2014 ",25,1915
"2014"," June "," 27.06.2014 ",26,1708
"2014"," July "," 04.07.2014 ",27,1525
"2014"," July "," 11.07.2014 ",28,1554
"2014"," July "," 18.07.2014 ",29,1340
"2014"," July "," 25.07.2014 ",30,1302
"2014"," August "," 01.08.2014 ",31,868
"2014"," August "," 08.08.2014 ",32,936
"2014"," August "," 15.08.2014 ",33,794
"2014"," August "," 22.08.2014 ",34,784
"2014"," August "," 29.08.2014 ",35,640
"2014"," September "," 05.09.2014 ",36,574
"2014"," September "," 12.09.2014 ",37,620
"2014"," September "," 19.09.2014 ",38,705
"2014"," September "," 26.09.2014 ",39,741
"2014"," October "," 03.10.2014 ",40,735
"2014"," October "," 10.10.2014 ",41,715
"2014"," October "," 17.10.2014 ",42,893
"2014"," October "," 24.10.2014 ",43,862
"2014"," October "," 31.10.2014 ",44,1092
"2014"," November "," 07.11.2014 ",45,1059
"2014"," November "," 14.11.2014 ",46,1435
"2014"," November "," 21.11.2014 ",47,1449
"2014"," November "," 28.11.2014 ",48,1509
"2014"," December "," 05.12.2014 ",49,1464
"2014"," December "," 12.12.2014 ",50,1333
"2014"," December "," 19.12.2014 ",51,1388
"2014"," December "," 26.12.2014 ",52,1206
"2015"," January "," 02.01.2015 ",1,1259
"2015"," January "," 09.01.2015 ",2,1078
"2015"," January "," 16.01.2015 ",3,1220
"2015"," January "," 23.01.2015 ",4,1562
"2015"," January "," 30.01.2015 ",5,1226
"2015"," February "," 06.02.2015 ",6,931
"2015"," February "," 13.02.2015 ",7,1230
"2015"," February "," 20.02.2015 ",8,799
"2015"," February "," 27.02.2015 ",9,771
"2015"," March "," 06.03.2015 ",10,517
"2015"," March "," 13.03.2015 ",11,557
"2015"," March "," 20.03.2015 ",12,471
"2015"," March "," 27.03.2015 ",13,417
"2015"," April "," 03.04.2015 ",14,351
"2015"," April "," 10.04.2015 ",15,336
"2015"," April "," 17.04.2015 ",16,197
"2015"," April "," 24.04.2015 ",17,409
"2015"," May "," 01.05.2015 ",18,297
"2015"," May "," 08.05.2015 ",19,338
"2015"," May "," 15.05.2015 ",20,307
"2015"," May "," 22.05.2015 ",21,371
"2015"," May "," 29.05.2015 ",22,312
"2015"," June "," 05.06.2015 ",23,312
"2015"," June "," 12.06.2015 ",24,386
"2015"," June "," 19.06.2015 ",25,387
"2015"," June "," 26.06.2015 ",26,392
"2015"," July "," 03.07.2015 ",27,294
"2015"," July "," 10.07.2015 ",28,438
"2015"," July "," 17.07.2015 ",29,434
"2015"," July "," 24.07.2017 ",30,489
"2015"," July "," 31.07.2015 ",31,470
"2015"," August "," 07.08.2015 ",32,458
"2015"," August "," 14.08.2015 ",33,420
"2015"," August "," 21.08.2015 ",34,337
"2015"," August "," 28.08.2015 ",35,389
"2015"," September "," 04.09.2015 ",36,306
"2015"," September "," 11.09.2015 ",37,289
"2015"," September "," 18.09.2015 ",38,232
"2015"," September "," 25.09.2015 ",39,272
"2015"," October "," 02.10.2015 ",40,283
"2015"," October "," 09.10.2015 ",41,327
"2015"," October "," 16.10.2015 ",42,408
"2015"," October "," 23.10.2015 ",43,490
"2015"," October "," 30.10.2015 ",44,558
"2015"," November "," 06.11.2015 ",45,612
"2015"," November "," 13.11.2015 ",46,567
"2015"," November "," 20.11.2015 ",47,772
"2015"," November "," 27.11.2015 ",48,811
"2015"," December "," 04.12.2015 ",49,954
"2015"," December "," 11.12.2015 ",50,907
"2015"," December "," 18.12.2015 ",51,1011
"2015"," December "," 25.12.2015 ",52,729
"2016"," January "," 01.01.2016 ",1,1163
"2016"," January "," 08.01.2016 ",2,1253
"2016"," January "," 15.01.2016 ",3,1274
"2016"," January "," 22.01.2016 ",4,1563
"2016"," January "," 29.01.2016 ",5,1441
"2016"," February "," 05.02.2016 ",6,1114
"2016"," February "," 12.02.2016 ",7,1352
"2016"," February "," 19.02.2016 ",8,1078
"2016"," February "," 26.02.2016 ",9,895
"2016"," March "," 04.03.2016 ",10,823
"2016"," March "," 11.03.2016 ",11,635
"2016"," March "," 18.03.2016 ",12,745
"2016"," March "," 25.03.2016 ",13,493
"2016"," April "," 01.04.2016 ",14,692
"2016"," April "," 08.04.2016 ",15,600
"2016"," April "," 15.04.2016 ",16,294
"2016"," April "," 22.04.2016 ",17,573
"2016"," April "," 29.04.2016 ",18,673
"2016"," May "," 06.05.2016 ",19,575
"2016"," May "," 13.05.2016 ",20,577
"2016"," May "," 20.05.2016 ",21,611
"2016"," May "," 27.05.2016 ",22,659
"2016"," June "," 03.06.2016 ",23,861
"2016"," June "," 10.06.2016 ",24,1055
"2016"," June "," 17.06.2016 ",25,1078
"2016"," June "," 24.06.2016 ",26,1737
"2016"," July "," 01.07.2016 ",27,1990
"2016"," July "," 08.07.2016 ",28,1943
"2016"," July "," 15.07.2016 ",29,2503
"2016"," July "," 22.07.2016 ",30,2291
"2016"," July "," 29.07.2016 ",31,1988
"2016"," August "," 05.08.2016 ",32,1563
"2016"," August "," 12.08.2016 ",33,1329
"2016"," August "," 19.08.2016 ",34,1037
"2016"," August "," 26.08.2016 ",35,944
"2016"," September "," 02.09.2016 ",36,814
"2016"," September "," 09.09.2016 ",37,835
"2016"," September "," 16.09.2016 ",38,620
"2016"," September "," 23.09.2016 ",39,742
"2016"," September "," 30.09.2016 ",40,618
"2016"," October "," 07.10.2016 ",41,656
"2016"," October "," 14.10.2016 ",42,601
"2016"," October "," 21.10.2016 ",43,449
"2016"," October "," 28.10.2016 ",44,479
"2016"," November "," 04.11.2016 ",45,530
"2016"," November "," 11.11.2016 ",46,483
"2016"," November "," 18.11.2016 ",47,494
"2016"," November "," 25.11.2016 ",48,750
"2016"," December "," 02.12.2016 ",49,763
"2016"," December "," 09.12.2016 ",50,1326
"2016"," December "," 16.12.2016 ",51,1392
"2016"," December "," 23.12.2016 ",52,1838
"2016"," December "," 30.12.2016 ",53,2358
"2017"," January "," 06.01.2017 ",1,2774
"2017"," January "," 13.01.2017 ",2,2594
"2017"," January "," 20.01.2017 ",3,2925
"2017"," January "," 27.01.2017 ",4,2634
"2017"," February "," 03.02.2017 ",5,2417
"2017"," February "," 10.02.2017 ",6,2125
"2017"," February "," 17.02.2017 ",7,2350
"2017"," February "," 24.02.2017 ",8,1832
"2017"," March "," 03.03.2017 ",9,2396
"2017"," March "," 10.03.2017 ",10,2695
"2017"," March "," 17.03.2017 ",11,2583
"2017"," March "," 24.03.2017 ",12,2971
"2017"," March "," 31.03.2017 ",13,2895
"2017"," April "," 07.04.2017 ",14,2957
"2017"," April "," 14.04.2017 ",15,1991
"2017"," April "," 21.04.2017 ",16,3992
"2017"," April "," 28.04.2017 ",17,3570
"2017"," May "," 05.05.2017 ",18,3808
"2017"," May "," 12.05.2017 ",19,3230
"2017"," May "," 19.05.2017 ",20,4662
"2017"," May "," 26.05.2017 ",21,4236
"2017"," June "," 02.06.2017 ",22,4192
"2017"," June "," 09.06.2017 ",23,4438
"2017"," June "," 16.06.2017 ",24,4709
"2017"," June "," 23.06.2017 ",25,6292
"2017"," June "," 30.06.2017 ",26,5688
"2017"," July "," 07.07.2017 ",27,10064
"2017"," July "," 14.07.2017 ",28,10213
"2017"," July "," 21.07.2017 ",29,10699
"2017"," July "," 28.07.2017 ",30,10145
"2017"," August "," 04.08.2017 ",31,7926
"2017"," August "," 11.08.2017 ",32,5930
"2017"," August "," 18.08.2017 ",33,5042
"2017"," August "," 25.08.2017 ",34,3372
"2017"," September "," 01.09.2017 ",35,2496
"2017"," September "," 08.09.2018 ",36,2057
"2017"," September "," 15.09.2017 ",37,1875
"2017"," September "," 22.09.2017 ",38,1588
"2017"," September "," 29.09.2017 ",39,1498
"2017"," October "," 06.10.2017 ",40,1508
"2017"," October "," 13.10.2017 ",41,1680
"2017"," October "," 20.10.2017 ",42,1526
"2017"," October "," 27.10.2017 ",43,1880
"2017"," November "," 03.11.2017 ",44,1863
"2017"," November "," 10.11.2017 ",45,2505
"2017"," November "," 17.11.2017 ",46,2227
"2017"," November "," 24.11.2017 ",47,2219
"2017"," December "," 01.12.2017 ",48,1948
"2017"," December "," 08.12.2017 ",49,2520
"2017"," December "," 15.12.2017 ",50,2204
"2017"," December "," 22.12.2017 ",51,1913
"2017"," December "," 29.12.2017 ",52,1341
"2018","","",0,NA
"2018"," January "," 05.01.2018 ",1,2013
"2018"," January "," 12.01.2018 ",2,1843
"2018"," January "," 19.01.2018 ",3,1707
"2018"," January "," 26.01.2018 ",4,1574
"2018"," February "," 16.02.2018 ",7,919
"2018"," February "," 23.02.2018 ",8,750
"2018"," February "," 02.02.2018 ",5,1251
"2018"," February "," 09.02.2018 ",6,1105
