country,area,city,town
Taiwan,Central,Changhua County,Other
Taiwan,Central,Nantou County,Nantou City
Taiwan,Central,Nantou County,Puli Township
Taiwan,Central,Nantou County,Caotun Township
Taiwan,Central,Nantou County,Zhushan Township
Taiwan,Central,Nantou County,Jiji Township
Taiwan,Central,Nantou County,Mingjian Township
Taiwan,Central,Nantou County,Lugu Township
Taiwan,Central,Nantou County,Zhongliao Township
Taiwan,Central,Nantou County,Yuchi Township
Taiwan,Central,Nantou County,Guoxing Township
Taiwan,Central,Nantou County,Shuili Township
Taiwan,Central,Nantou County,Xinyi Township
Taiwan,Central,Nantou County,Ren'ai Township
Taiwan,Central,Nantou County,Other
Taiwan,Southern,Tainan City,Xinying District
Taiwan,Southern,Tainan City,Yanshui District
Taiwan,Southern,Tainan City,Baihe District
Taiwan,Southern,Tainan City,Madou District
Taiwan,Southern,Tainan City,Jiali District
Taiwan,Southern,Tainan City,Xinhua District
Taiwan,Southern,Tainan City,Shanhua District
Taiwan,Southern,Tainan City,Xuejia District
Taiwan,Southern,Tainan City,Liuying District
Taiwan,Southern,Tainan City,Houbi District
Taiwan,Southern,Tainan City,Dongshan District
Taiwan,Southern,Tainan City,Xiaying District
Taiwan,Southern,Tainan City,Liujia District
Taiwan,Southern,Tainan City,Guantian District
Taiwan,Southern,Tainan City,Danei District
Taiwan,Southern,Tainan City,Xigang District
Taiwan,Southern,Tainan City,Qigu District
Taiwan,Southern,Tainan City,Jiangjun District
Taiwan,Southern,Tainan City,Beimen District
Taiwan,Southern,Tainan City,Xinshi District
Taiwan,Southern,Tainan City,Anding District
Taiwan,Southern,Tainan City,Shanshang District
Taiwan,Southern,Tainan City,Yujing District
Taiwan,Southern,Tainan City,Nanxi District
Taiwan,Southern,Tainan City,Nanhua District
Taiwan,Southern,Tainan City,Zuozhen District
Taiwan,Southern,Tainan City,Rende District
Taiwan,Southern,Tainan City,Guiren District
Taiwan,Southern,Tainan City,Guanmiao District
Taiwan,Southern,Tainan City,Longqi District
Taiwan,Southern,Tainan City,Yongkang District
Taiwan,Southern,Tainan City,East District
Taiwan,Southern,Tainan City,South District
Taiwan,Southern,Tainan City,West Central District
Taiwan,Southern,Tainan City,North District
Taiwan,Southern,Tainan City,Annan District
Taiwan,Southern,Tainan City,Anping District
Taiwan,Southern,Tainan City,Other
Taiwan,Southern,Chiayi City,East District
Taiwan,Southern,Chiayi City,West District
Taiwan,Southern,Chiayi City,Other
Taiwan,Southern,Yunlin County,Douliu City
Taiwan,Southern,Yunlin County,Dounan Township
Taiwan,Southern,Yunlin County,Huwei Township
Taiwan,Southern,Yunlin County,Xiluo Township
Taiwan,Southern,Yunlin County,Tuku Township
Taiwan,Southern,Yunlin County,Beigang Township
Taiwan,Southern,Yunlin County,Gukeng Township
Taiwan,Southern,Yunlin County,Dapi Township
Taiwan,Southern,Yunlin County,Citong Township
Taiwan,Southern,Yunlin County,Linnei Township
Taiwan,Southern,Yunlin County,Erlun Township
Taiwan,Southern,Yunlin County,Lunbei Township
Taiwan,Southern,Yunlin County,Mailiao Township
Taiwan,Southern,Yunlin County,Dongshi Township
Taiwan,Southern,Yunlin County,Baozhong Township
Taiwan,Southern,Yunlin County,Taixi Township
Taiwan,Southern,Yunlin County,Yuanchang Township
Taiwan,Southern,Yunlin County,Sihu Township
Taiwan,Southern,Yunlin County,Kouhu Township
Taiwan,Southern,Yunlin County,Shuilin Township
Taiwan,Southern,Yunlin County,Other
Taiwan,Southern,Chiayi County,Puzi City
Taiwan,Southern,Chiayi County,Budai Township
Taiwan,Southern,Chiayi County,Dalin Township
Taiwan,Southern,Chiayi County,Minxiong Township
Taiwan,Southern,Chiayi County,Xikou Township
Taiwan,Southern,Chiayi County,Xingang Township
Taiwan,Southern,Chiayi County,Liujiao Township
Taiwan,Southern,Chiayi County,Dongshi Township
Taiwan,Southern,Chiayi County,Yizhu Township
Taiwan,Southern,Chiayi County,Lucao Township
Taiwan,Southern,Chiayi County,Taibao City
Taiwan,Southern,Chiayi County,Shuishang Township
Taiwan,Southern,Chiayi County,Zhongpu Township
Taiwan,Southern,Chiayi County,Zhuqi Township
Taiwan,Southern,Chiayi County,Meishan Township
Taiwan,Southern,Chiayi County,Fanlu Township
Taiwan,Southern,Chiayi County,Dapu Township
Taiwan,Southern,Chiayi County,Alishan Township
Taiwan,Southern,Chiayi County,Other
Taiwan,Kaoping,Kaohsiung City,Fengshan District
Taiwan,Kaoping,Kaohsiung City,Gangshan District
Taiwan,Kaoping,Kaohsiung City,Qishan District
Taiwan,Kaoping,Kaohsiung City,Meinong District
Taiwan,Kaoping,Kaohsiung City,Linyuan District
Taiwan,Kaoping,Kaohsiung City,Daliao District
Taiwan,Kaoping,Kaohsiung City,Dashu District
Taiwan,Kaoping,Kaohsiung City,Renwu District
Taiwan,Kaoping,Kaohsiung City,Dashe District
Taiwan,Kaoping,Kaohsiung City,Niaosong District
Taiwan,Kaoping,Kaohsiung City,Qiaotou District
Taiwan,Kaoping,Kaohsiung City,Yanchao District
Taiwan,Kaoping,Kaohsiung City,Tianliao District
Taiwan,Kaoping,Kaohsiung City,Alian District
Taiwan,Kaoping,Kaohsiung City,Luzhu District
Taiwan,Kaoping,Kaohsiung City,Hunei District
Taiwan,Kaoping,Kaohsiung City,Qieding District
Taiwan,Kaoping,Kaohsiung City,Yong'an District
Taiwan,Kaoping,Kaohsiung City,Mituo District
Taiwan,Kaoping,Kaohsiung City,Ziguan District
Taiwan,Kaoping,Kaohsiung City,Liugui District
Taiwan,Kaoping,Kaohsiung City,Jiaxian District
Taiwan,Kaoping,Kaohsiung City,Shanlin District
Taiwan,Kaoping,Kaohsiung City,Neimen District
Taiwan,Kaoping,Kaohsiung City,Maolin District
Taiwan,Kaoping,Kaohsiung City,Taoyuan District
Taiwan,Kaoping,Kaohsiung City,Namaxia District
Taiwan,Kaoping,Kaohsiung City,Yancheng District
Taiwan,Kaoping,Kaohsiung City,Gushan District
Taiwan,Kaoping,Kaohsiung City,Zuoying District
Taiwan,Kaoping,Kaohsiung City,Nanzi District
Taiwan,Kaoping,Kaohsiung City,Sanmin District
Taiwan,Kaoping,Kaohsiung City,Xinxing District
Taiwan,Kaoping,Kaohsiung City,Qianjin District
Taiwan,Kaoping,Kaohsiung City,Lingya District
Taiwan,Kaoping,Kaohsiung City,Qianzhen District
Taiwan,Kaoping,Kaohsiung City,Qijin District
Taiwan,Kaoping,Kaohsiung City,Xiaogang District
Taiwan,Kaoping,Kaohsiung City,Other
Taiwan,Kaoping,Pingtung County,Pingtung City
Taiwan,Kaoping,Pingtung County,Chaozhou Township
Taiwan,Kaoping,Pingtung County,Donggang Township
Taiwan,Kaoping,Pingtung County,Hengchun Township
Taiwan,Kaoping,Pingtung County,Wandan Township
Taiwan,Kaoping,Pingtung County,Changzhi Township
Taiwan,Kaoping,Pingtung County,Linluo Township
Taiwan,Kaoping,Pingtung County,Jiuru Township
Taiwan,Kaoping,Pingtung County,Ligang Township
Taiwan,Kaoping,Pingtung County,Yanpu Township
Taiwan,Kaoping,Pingtung County,Gaoshu Township
Taiwan,Kaoping,Pingtung County,Wanluan Township
Taiwan,Kaoping,Pingtung County,Neipu Township
Taiwan,Kaoping,Pingtung County,Zhutian Township
Taiwan,Kaoping,Pingtung County,Xinpi Township
Taiwan,Kaoping,Pingtung County,Fangliao Township
Taiwan,Kaoping,Pingtung County,Xinyuan Township
Taiwan,Kaoping,Pingtung County,Kanding Township
Taiwan,Kaoping,Pingtung County,Linbian Township
Taiwan,Kaoping,Pingtung County,Nanzhou Township
Taiwan,Kaoping,Pingtung County,Jiadong Township
Taiwan,Kaoping,Pingtung County,Liuqiu Township
Taiwan,Kaoping,Pingtung County,Checheng Township
Taiwan,Kaoping,Pingtung County,Manzhou Township
Taiwan,Kaoping,Pingtung County,Fangshan Township
Taiwan,Kaoping,Pingtung County,Sandimen Township
Taiwan,Kaoping,Pingtung County,Wutai Township
Taiwan,Kaoping,Pingtung County,Majia Township
Taiwan,Kaoping,Pingtung County,Taiwu Township
Taiwan,Kaoping,Pingtung County,Laiyi Township
Taiwan,Kaoping,Pingtung County,Chunri Township
Taiwan,Kaoping,Pingtung County,Shizi Township
Taiwan,Kaoping,Pingtung County,Mudan Township
Taiwan,Kaoping,Pingtung County,Other
Taiwan,Kaoping,Penghu County,Magong City
Taiwan,Kaoping,Penghu County,Huxi Township
Taiwan,Kaoping,Penghu County,Baisha Township
Taiwan,Kaoping,Penghu County,Xiyu Township
Taiwan,Kaoping,Penghu County,Wang'an Township
Taiwan,Kaoping,Penghu County,Qimei Township
Taiwan,Kaoping,Penghu County,Other
Taiwan,Eastern,Hualien County,Hualien City
Taiwan,Eastern,Hualien County,Fenglin Township
Taiwan,Eastern,Hualien County,Yuli Township
Taiwan,Eastern,Hualien County,Xincheng Township
Taiwan,Eastern,Hualien County,Ji'an Township
Taiwan,Eastern,Hualien County,Shoufeng Township
Taiwan,Eastern,Hualien County,Guangfu Township
Taiwan,Eastern,Hualien County,Fengbin Township
Taiwan,Eastern,Hualien County,Ruisui Township
Taiwan,Eastern,Hualien County,Fuli Township
Taiwan,Eastern,Hualien County,Xiulin Township
Taiwan,Eastern,Hualien County,Wanrong Township
Taiwan,Eastern,Hualien County,Zhuoxi Township
Taiwan,Eastern,Hualien County,Other
Taiwan,Eastern,Taitung County,Taitung City
Taiwan,Eastern,Taitung County,Chenggong Township
Taiwan,Eastern,Taitung County,Guanshan Township
Taiwan,Eastern,Taitung County,Beinan Township
Taiwan,Eastern,Taitung County,Dawu Township
Taiwan,Eastern,Taitung County,Taimali Township
Taiwan,Eastern,Taitung County,Donghe Township
Taiwan,Eastern,Taitung County,Changbin Township
Taiwan,Eastern,Taitung County,Luye Township
Taiwan,Eastern,Taitung County,Chishang Township
Taiwan,Eastern,Taitung County,Ludao Township
Taiwan,Eastern,Taitung County,Yanping Township
Taiwan,Eastern,Taitung County,Haiduan Township
Taiwan,Eastern,Taitung County,Daren Township
Taiwan,Eastern,Taitung County,Jinfeng Township
Taiwan,Eastern,Taitung County,Lanyu Township
Taiwan,Eastern,Taitung County,Other
