"City","District","lon","lat"
"Pingtung County","Laiyi Township",NA,NA
"Pingtung County","Ligang Township",NA,NA
"Pingtung County","Linbian Township",NA,NA
"Pingtung County","Linluo Township",120.5336665,22.6586565
"Pingtung County","Liuqiu Township",NA,NA
"Pingtung County","Majia Township",NA,NA
"Pingtung County","Manzhou Township",120.8384093,22.04385
"Pingtung County","Mudan Township",NA,NA
"Pingtung County","Nanzhou Township",120.5163949,22.4747339
"Pingtung County","Neipu Township",120.5663201,22.6151342
"Pingtung County","Other",NA,NA
"Pingtung County","Sandimen Township",120.6890055,22.8133088
"Pingtung County","Shizi Township",120.734995,22.2471686
"Pingtung County","Taiwu Township",120.6890055,22.5992424
"Pingtung County","Wandan Township",120.4703258,22.591522
"Pingtung County","Wanluan Township",NA,NA
"Pingtung County","Wutai Township",120.7809676,22.7509887
"Pingtung County","Xinpi Township",120.5854674,22.4817586
"Pingtung County","Xinyuan Township",120.442154,22.4774001
"Pingtung County","Yanpu Township",120.5624474,22.7436807
"Pingtung County","Zhutian Township",120.5326679,22.5939138
"Hsinchu City","East District",120.9933678,24.7920604
"Hsinchu City","North District",120.9474747,24.8238676
"Hsinchu City","Other",NA,NA
"Hsinchu City","Xiangshan District",120.9302603,24.7798216
"Hsinchu County","Baoshan Township",120.9991032,24.7427912
"Hsinchu County","Beipu Township",121.067907,24.6631393
"Hsinchu County","Emei Township",120.9991032,24.6788411
"Hsinchu County","Guanxi Township",NA,NA
"Hsinchu County","Hengshan Township",121.1366715,24.7113011
"Hsinchu County","Hukou Township",NA,NA
"Hsinchu County","Jianshi Township",121.3084088,24.5760667
"Hsinchu County","Other",NA,NA
"Hsinchu County","Qionglin Township",121.1080244,24.765792
"Hsinchu County","Wufeng Township",NA,NA
"Hsinchu County","Xinfeng Township",120.9991032,24.9132859
"Hsinchu County","Xinpu Township",NA,NA
"Hsinchu County","Zhudong Township",NA,NA
"Miaoli County","Dahu Township",120.8728615,24.3980966
"Miaoli County","Gongguan Township",120.8384093,24.5019211
"Miaoli County","Houlong Township",120.7906035,24.6144348
"Miaoli County","Nanzhuang Township",121.0105733,24.5802942
"Miaoli County","Other",NA,NA
"Miaoli County","Sanwan Township",120.9302603,24.6305288
"Miaoli County","Sanyi Township",120.769476,24.3892633
"Miaoli County","Shitan Township",NA,NA
"Miaoli County","Tai'an Township",121.03351,24.3831955
"Miaoli County","Tongluo Township",120.792458,24.4481942
"Miaoli County","Tongxiao Township",120.7234992,24.485028
"Miaoli County","Toufen Township",NA,NA
"Miaoli County","Touwu Township",120.8545433,24.5765856
"Miaoli County","Xihu Township",NA,NA
"Miaoli County","Yuanli Township",120.6775054,24.4098262
"Miaoli County","Zaoqiao Township",NA,NA
"Miaoli County","Zhunan Township",NA,NA
"Miaoli County","Zhuolan Township",NA,NA
"Taoyuan City","Bade District",121.2912463,24.9469059
"Taoyuan City","Daxi District",NA,NA
"Taoyuan City","Dayuan District",NA,NA
"Taoyuan City","Fuxing District",NA,NA
"Taoyuan City","Guanyin District",NA,NA
"Taoyuan City","Guishan District",121.3655989,25.0199092
"Taoyuan City","Longtan District",121.2053963,24.8444927
"Taoyuan City","Luzhu District",NA,NA
"Taoyuan City","Other",NA,NA
"Taoyuan City","Pingzhen District",121.2053963,24.9296022
"Taoyuan City","Taoyuan District",121.2300015,24.9553806
"Taoyuan City","Xinwu District",NA,NA
"Taoyuan City","Yangmei District",121.1366715,24.9242108
"Taoyuan City","Zhongli District",121.2053963,24.9721514
"Chiayi City","East District",120.4760853,23.4853348
"Chiayi City","Other",NA,NA
"Chiayi City","West District",120.4242401,23.4803964
"Chiayi County","Alishan Township",120.7809676,23.4354677
"Chiayi County","Budai Township",120.1704766,23.3627901
"Chiayi County","Dalin Township",120.4542004,23.6040709
"Chiayi County","Dapu Township",120.5969758,23.3040182
"Chiayi County","Dongshi Township",120.1704766,23.4701923
"Chiayi County","Fanlu Township",120.6084832,23.4407355
"Chiayi County","Liujiao Township",120.2873266,23.529833
"Chiayi County","Lucao Township",NA,NA
"Chiayi County","Meishan Township",120.6890055,23.5410247
"Chiayi County","Minxiong Township",120.440409,23.5203579
"Chiayi County","Other",NA,NA
"Chiayi County","Shuishang Township",120.4001659,23.4287422
"Chiayi County","Xikou Township",120.4011911,23.5925564
"Chiayi County","Xingang Township",120.3550808,23.538123
"Chiayi County","Yizhu Township",120.2166519,23.3530108
"Chiayi County","Zhongpu Township",120.5509358,23.3995944
"Chiayi County","Zhuqi Township",120.6084832,23.5049724
"Tainan City","Anding District",NA,NA
"Tainan City","Annan District",120.1358346,23.0585336
"Tainan City","Anping District",120.1647036,22.9934043
"Tainan City","Baihe District",120.4588059,23.3336369
"Tainan City","Beimen District",120.1242853,23.2866026
"Tainan City","Danei District",120.4011911,23.1421962
"Tainan City","Dongshan District",120.447285,23.2825014
"Tainan City","East District",120.2224227,22.98133
"Tainan City","Guanmiao District",NA,NA
"Tainan City","Guantian District",NA,NA
"Tainan City","Guiren District",120.2858846,22.9519268
"Tainan City","Houbi District",120.3550808,23.3665101
"Tainan City","Jiali District",NA,NA
"Tainan City","Jiangjun District",NA,NA
"Tainan City","Liujia District",NA,NA
"Tainan City","Liuying District",120.3550808,23.2806957
"Tainan City","Longqi District",NA,NA
"Tainan City","Madou District",120.2397336,23.1763401
"Tainan City","Nanhua District",NA,NA
"Tainan City","Nanxi District",NA,NA
"Tainan City","North District",NA,NA
"Tainan City","Other",NA,NA
"Tainan City","Qigu District",NA,NA
"Tainan City","Rende District",NA,NA
"Tainan City","Shanhua District",NA,NA
"Tainan City","Shanshang District",NA,NA
"Tainan City","South District",120.1877943,22.9563522
"Tainan City","West Central District",NA,NA
"Tainan City","Xiaying District",NA,NA
"Tainan City","Xigang District",NA,NA
"Tainan City","Xinhua District",120.3320195,23.0280873
"Tainan City","Xinshi District",120.2858846,23.0807324
"Tainan City","Xinying District",120.3089541,23.3119567
"Tainan City","Xuejia District",120.1704766,23.2553798
"Tainan City","Yanshui District",120.2397336,23.2622306
"Tainan City","Yongkang District",120.2628111,23.0211779
"Tainan City","Yujing District",120.4703258,23.1060822
"Tainan City","Zuozhen District",120.4242401,23.0300785
"Yunlin County","Baozhong Township",NA,NA
"Yunlin County","Beigang Township",120.2858846,23.5958633
"Yunlin County","Citong Township",120.5394232,23.7769338
"Yunlin County","Dapi Township",NA,NA
"Yunlin County","Dongshi Township",120.2570421,23.693257
"Yunlin County","Dounan Township",120.4760808,23.6771369
"Yunlin County","Erlun Township",NA,NA
"Yunlin County","Gukeng Township",120.5969758,23.6466411
"Yunlin County","Huwei Township",NA,NA
"Yunlin County","Kouhu Township",120.1630864,23.6178327
"Yunlin County","Linnei Township",120.6084832,23.7618842
"Yunlin County","Lunbei Township",120.3531749,23.7601594
"Yunlin County","Mailiao Township",120.2562662,23.7485306
"Yunlin County","Other",NA,NA
"Yunlin County","Shuilin Township",120.2397336,23.5628088
"Yunlin County","Sihu Township",120.1935663,23.6370834
"Yunlin County","Taixi Township",120.1935663,23.7229714
"Yunlin County","Tuku Township",120.3550808,23.6882639
"Yunlin County","Xiluo Township",120.447285,23.7755286
"Yunlin County","Yuanchang Township",120.3320195,23.6288771
"Keelung City","Anle District",121.7024448,25.1474144
"Keelung City","Nuannuan District",121.748042,25.0836163
"Keelung City","Other",NA,NA
"Keelung City","Qidu District",121.685341,25.1143924
"Keelung City","Ren'ai District",121.7451927,25.1187161
"Keelung City","Xinyi District",121.7822278,25.1284336
"Keelung City","Zhongshan District",121.7252457,25.152587
"Keelung City","Zhongzheng District",121.7736823,25.1489988
"Kinmen County","Jincheng Township",118.3155101,24.4320647
"Kinmen County","Jinhu Township",NA,NA
"Kinmen County","Jinning Township",118.3345061,24.4567205
"Kinmen County","Jinsha Township",NA,NA
"Kinmen County","Lieyu Township",NA,NA
"Kinmen County","Other",NA,NA
"Kinmen County","Wuqiu Township",NA,NA
"Lienchiang County","Beigan Township",NA,NA
"Lienchiang County","Dongyin Township",120.4904831,26.3656992
"Lienchiang County","Juguang Township",NA,NA
"Lienchiang County","Nangan Township",119.9306863,26.1534361
"Lienchiang County","Other",NA,NA
"New Taipei City","Bali District",121.3983016,25.1443896
"New Taipei City","Banqiao District",121.4618415,25.0114095
"New Taipei City","Gongliao District",NA,NA
"New Taipei City","Jinshan District",NA,NA
"New Taipei City","Linkou District",121.3881378,25.0790108
"New Taipei City","Luzhou District",NA,NA
"New Taipei City","Other",NA,NA
"New Taipei City","Pinglin District",121.7107613,24.9350844
"New Taipei City","Pingxi District",121.7408654,25.0248314
"New Taipei City","Ruifang District",NA,NA
"New Taipei City","Sanchong District",121.4867114,25.0614534
"New Taipei City","Sanxia District",121.3744903,24.9358605
"New Taipei City","Sanzhi District",NA,NA
"New Taipei City","Shenkeng District",NA,NA
"New Taipei City","Shiding District",121.6452827,25.0098662
"New Taipei City","Shimen District",121.5671383,25.2908277
"New Taipei City","Shuangxi District",121.822098,24.9971842
"New Taipei City","Shulin District",121.4198606,24.9815605
"New Taipei City","Taishan District",121.4327919,25.0581641
"New Taipei City","Tamsui District",121.4433706,25.1719805
"New Taipei City","Tucheng District",121.438034,24.968371
"New Taipei City","Wanli District",121.6397184,25.1676024
"New Taipei City","Wugu District",121.4386586,25.0848317
"New Taipei City","Wulai District",121.5497801,24.8663721
"New Taipei City","Xindian District",121.5394822,24.978282
"New Taipei City","Xinzhuang District",121.4178347,25.0265985
"New Taipei City","Xizhi District",121.6397184,25.0616059
"New Taipei City","Yingge District",121.3427262,24.9614967
"New Taipei City","Yonghe District",NA,NA
"New Taipei City","Zhonghe District",121.4853103,24.9962178
"Taipei City","Beitou District",121.515018,25.1151759
"Taipei City","Da'an District",121.5427093,25.0261583
"Taipei City","Datong District",121.5113064,25.0627243
"Taipei City","Nangang District",121.6111949,25.0312347
"Taipei City","Neihu District",121.5909027,25.0689422
"Taipei City","Other",NA,NA
"Taipei City","Shilin District",NA,NA
"Taipei City","Songshan District",121.5638621,25.0541591
"Taipei City","Wanhua District",121.4970294,25.0262857
"Taipei City","Wenshan District",121.57125,24.9929212
"Taipei City","Xinyi District",121.5769572,25.0287024
"Taipei City","Zhongshan District",NA,NA
"Taipei City","Zhongzheng District",121.5198716,25.0421407
"Yilan County","Datong Township",NA,NA
"Yilan County","Dongshan Township",121.7537404,24.631919
"Yilan County","Jiaoxi Township",NA,NA
"Yilan County","Luodong Township",121.7708337,24.675606
"Yilan County","Nan'ao Township",121.6739371,24.4065995
"Yilan County","Other",NA,NA
"Yilan County","Sanxing Township",121.662532,24.6744894
"Yilan County","Su'ao Township",121.8533264,24.594229
"Yilan County","Toucheng Township",NA,NA
"Yilan County","Wujie Township",NA,NA
"Yilan County","Yuanshan Township",NA,NA
"Yilan County","Zhuangwei Township",NA,NA
