Letalidad,Country,Country sp,Total,Dengue,Dengue Grave,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Muertes,PAHO Code Num,PAHO Code,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,TIS,Tipo,W Pais,Year
0,Chile,Chile,10,10,0,CI,CL,CHL,152,0,439,CHI,AMR,LAC,SAR,LAM,SCR,CHI,Preliminar,CHL,2017
0,Paraguay,Paraguay,1832,1832,0,PA,PY,PRY,600,0,472,PAR,AMR,LAC,SAR,LAM,SCR,PAR,Preliminar,PRY,2017
,Uruguay,Uruguay,0,0,0,UY,UY,URY,858,0,482,URU,AMR,LAC,SAR,LAM,SCR,URU,Preliminar,URY,2017
0,Cuba,Cuba,1248,1229,19,CU,CU,CUB,192,0,445,CUB,AMR,LAC,LCR,LAM,LCR,CUB,Preliminar,CUB,2017
0.073583517,Dominican Republic,República Dominicana,1359,1271,88,DR,DO,DOM,214,1,448,DOR,AMR,LAC,LCR,LAM,LCR,DOR,Preliminar,DOM,2017
0,Puerto Rico,Puerto Rico,9,9,0,RQ,PR,PRI,630,0,475,PUR,AMR,LAC,LCR,LAM,LCR,PUR,Preliminar,PRI,2017
0,Virgin Islands (US),Islas Vírgenes (EUA),1,1,0,VQ,VI,VIR,850,0,483,VIS,AMR,LAC,NLC,CAR,NLC,VUS,Preliminar,VIS,2017
,Anguilla,Anguila,22,22,0,AV,AI,AIA,660,,411,ANG,AMR,LAC,NLC,CAR,NLC,ANG,Preliminar,ANG,2017
0,Antigua and Barbuda,Antigua y Barbuda,1,1,0,AC,AG,ATG,28,0,431,ANT,AMR,LAC,NLC,CAR,NLC,ANT,Preliminar,ATG,2017
,Aruba,Aruba,1775,1775,0,AA,AW,ABW,533,,533,ARU,AMR,LAC,NLC,CAR,NLC,ARU,Preliminar,ABW,2017
0,Bahamas,Bahamas,14,14,0,BF,BS,BHS,44,0,426,BAH,AMR,LAC,NLC,CAR,NLC,BAH,Preliminar,BHS,2017
0,Barbados,Barbados,398,398,0,BB,BB,BRB,52,0,427,BAR,AMR,LAC,NLC,CAR,NLC,BAR,Preliminar,BRB,2017
,Bermuda,Bermuda,0,0,0,BD,BM,BMU,60,0,429,BER,AMR,NAR,NLC,NAR,NAR,BER,Preliminar,BMU,2017
0,Virgin Islands (UK),Islas Vírgenes (RU),67,67,0,VI,VG,VGB,92,0,436,VIK,AMR,LAC,NLC,CAR,NLC,VIB,Preliminar,VIR,2017
0,Cayman Islands,Islas Caimán,31,31,0,CJ,KY,CYM,136,0,438,CAY,AMR,LAC,NLC,CAR,NLC,CAY,Preliminar,CYM,2017
0,Dominica,Dominica,33,33,0,DO,DM,DMA,212,0,447,DOM,AMR,LAC,NLC,CAR,NLC,DOM,Preliminar,DMA,2017
0,French Guiana,Guayana Francesa,625,625,0,FG,GF,GUF,254,0,456,FRG,AMR,LAC,LCR,LAM,LCR,FRG,Preliminar,GUF,2017
0,Grenada,Granada,195,195,0,GJ,GD,GRD,308,0,457,GRE,AMR,LAC,NLC,CAR,NLC,GRE,Preliminar,GRD,2017
0,Guadeloupe,Guadalupe,455,455,0,GP,GP,GLP,312,0,459,GUA,AMR,LAC,LCR,LAM,LCR,GUA,Preliminar,GLP,2017
0,Guyana,Guyana,5,5,0,GY,GY,GUY,328,0,432,GUY,AMR,LAC,NLC,CAR,NLC,GUY,Preliminar,GUY,2017
0,Jamaica,Jamaica,70,70,0,JM,JM,JAM,388,0,464,JAM,AMR,LAC,NLC,CAR,NLC,JAM,Preliminar,JAM,2017
0,Martinique,Martinica,72,72,0,MB,MQ,MTQ,474,0,491,MAR,AMR,LAC,LCR,LAM,LCR,MAR,Preliminar,MTQ,2017
,Montserrat,Montserrat,0,0,0,MH,MS,MSR,500,0,465,MON,AMR,LAC,NLC,CAR,NLC,MNT,Preliminar,MON,2017
0,Saint Barthelemy,San Bartolomé,35,35,0,TB,BL,BLM,652,0,652,,,,,,,,Preliminar,,2017
0,Saint Kitts and Nevis,Saint Kitts y Nevis,9,9,0,SC,KN,KNA,659,0,477,SKN,AMR,LAC,NLC,CAR,NLC,SCN,Preliminar,KNA,2017
0,Saint Lucia,Santa Lucía,38,38,0,ST,LC,LCA,662,0,481,SLU,AMR,LAC,NLC,CAR,NLC,STL,Preliminar,LCA,2017
0,Saint Martin,Isla de San Martín (Francia),157,157,0,RN,MF,MAF,663,0,663,,,,,,,,Preliminar,,2017
0,Saint Vincent and the Grenadines,San Vicente y las Granadinas,3,3,0,VC,VC,VCT,670,0,479,SVG,AMR,LAC,NLC,CAR,NLC,SVT,Preliminar,VCT,2017
0,Trinidad and Tobago,Trinidad y Tobago,300,300,0,TD,TT,TTO,780,0,478,TRT,AMR,LAC,NLC,CAR,NLC,TRT,Preliminar,TTO,2017
0,Turks and Caicos Islands,Islas Turcas y Caicos,201,201,0,TK,TC,TCA,796,0,473,TUC,AMR,LAC,NLC,CAR,NLC,TCA,Preliminar,TUC,2017
0,Costa Rica,Costa Rica,23319,23298,21,CS,CR,CRI,188,0,443,COR,AMR,LAC,CAI,LAM,CAI,COR,Final,CRI,2016
0,Costa Rica,Costa Rica,17394,17388,6,CS,CR,CRI,188,0,443,COR,AMR,LAC,CAI,LAM,CAI,COR,Final,CRI,2015
0,Antigua and Barbuda,Antigua y Barbuda,14,14,0,AC,AG,ATG,28,0,431,ANT,AMR,LAC,NLC,CAR,NLC,ANT,Preliminar,ATG,2015
0,Argentina,Argentina,4774,4774,0,AR,AR,ARG,32,0,425,ARG,AMR,LAC,SAR,LAM,SCR,ARG,Preliminar,ARG,2015
0,Bahamas,Bahamas,10,10,0,BF,BS,BHS,44,0,426,BAH,AMR,LAC,NLC,CAR,NLC,BAH,Preliminar,BHS,2015
0.255754476,Barbados,Barbados,391,390,1,BB,BB,BRB,52,1,427,BAR,AMR,LAC,NLC,CAR,NLC,BAR,Preliminar,BRB,2015
,Bermuda,Bermuda,0,0,0,BD,BM,BMU,60,0,429,BER,AMR,NAR,NLC,NAR,NAR,BER,Preliminar,BMU,2015
,Bolivia,Bolivia,27013,26927,86,BL,BO,BOL,68,,428,BOL,AMR,LAC,SAR,LAM,ANR,BOL,Final,BOL,2015
0.052334494,Brazil,Brasil,1649008,1647439,1569,BR,BR,BRA,76,863,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Preliminar,BRA,2015
0,Belize,Belice,4687,4571,116,BH,BZ,BLZ,84,0,434,BEL,AMR,LAC,CAI,LAM,CAI,BLZ,Preliminar,BLZ,2015
0,Virgin Islands (UK),Islas Vírgenes (RU),103,102,1,VI,VG,VGB,92,0,436,VIK,AMR,LAC,NLC,CAR,NLC,VIB,Preliminar,VIR,2015
,Canada,Canadá,0,0,0,CA,CA,CAN,124,0,437,CAN,AMR,NAR,NAR,NAR,NAR,CAN,Preliminar,CAN,2015
0,Cayman Islands,Islas Caimán,40,40,0,CJ,KY,CYM,136,0,438,CAY,AMR,LAC,NLC,CAR,NLC,CAY,Preliminar,CYM,2015
0,Chile,Chile,40,40,0,CI,CL,CHL,152,0,439,CHI,AMR,LAC,SAR,LAM,SCR,CHI,Preliminar,CHL,2015
0.160715026,Colombia,Colombia,96444,95023,1421,CO,CO,COL,170,155,441,COL,AMR,LAC,SAR,LAM,ANR,COL,Preliminar,COL,2015
0,Cuba,Cuba,1691,1691,0,CU,CU,CUB,192,0,445,CUB,AMR,LAC,LCR,LAM,LCR,CUB,Preliminar,CUB,2015
0,Dominica,Dominica,38,38,0,DO,DM,DMA,212,0,447,DOM,AMR,LAC,NLC,CAR,NLC,DOM,Preliminar,DMA,2015
0.627639606,Dominican Republic,República Dominicana,17048,15194,1854,DR,DO,DOM,214,107,448,DOR,AMR,LAC,LCR,LAM,LCR,DOR,Preliminar,DOM,2015
0.018749854,Ecuador,Ecuador,42667,42611,56,EC,EC,ECU,218,8,451,ECU,AMR,LAC,SAR,LAM,ANR,ECU,Preliminar,ECU,2015
0.011959577,El Salvador,El Salvador,50169,49804,365,ES,SV,SLV,222,6,453,ELS,AMR,LAC,CAI,LAM,CAI,ELS,Preliminar,SLV,2015
0,French Guiana,Guayana Francesa,2603,2603,0,FG,GF,GUF,254,0,456,FRG,AMR,LAC,LCR,LAM,LCR,FRG,Preliminar,GUF,2015
0,Grenada,Granada,25,25,0,GJ,GD,GRD,308,0,457,GRE,AMR,LAC,NLC,CAR,NLC,GRE,Preliminar,GRD,2015
0,Guadeloupe,Guadalupe,201,201,0,GP,GP,GLP,312,0,459,GUA,AMR,LAC,LCR,LAM,LCR,GUA,Preliminar,GLP,2015
0.049839406,Guatemala,Guatemala,18058,18008,50,GT,GT,GTM,320,9,458,GUT,AMR,LAC,CAI,LAM,CAI,GUT,Preliminar,GTM,2015
0,Guyana,Guyana,388,388,0,GY,GY,GUY,328,0,432,GUY,AMR,LAC,NLC,CAR,NLC,GUY,Preliminar,GUY,2015
0,Haiti,Haití,130,130,0,HA,HT,HTI,332,0,460,HAI,AMR,LAC,LCR,LAM,LCR,HAI,Preliminar,HTI,2015
0.011152251,Honduras,Honduras,44834,43772,1062,HO,HN,HND,340,5,462,HON,AMR,LAC,CAI,LAM,CAI,HON,Preliminar,HND,2015
0,Jamaica,Jamaica,88,88,0,JM,JM,JAM,388,0,464,JAM,AMR,LAC,NLC,CAR,NLC,JAM,Preliminar,JAM,2015
0,Martinique,Martinica,207,207,0,MB,MQ,MTQ,474,0,491,MAR,AMR,LAC,LCR,LAM,LCR,MAR,Preliminar,MTQ,2015
0.019126293,Mexico,México,219593,214129,5464,MX,MX,MEX,484,42,466,MEX,AMR,LAC,CAI,LAM,MEX,MEX,Preliminar,MEX,2015
,Montserrat,Montserrat,0,0,0,MH,MS,MSR,500,0,465,MON,AMR,LAC,NLC,CAR,NLC,MNT,Preliminar,MON,2015
0,Aruba,Aruba,335,335,0,AA,AW,ABW,533,0,533,ARU,AMR,LAC,NLC,CAR,NLC,ARU,Preliminar,ABW,2015
0.030409926,Nicaragua,Nicaragua,49326,49311,15,NU,NI,NIC,558,15,468,NIC,AMR,LAC,CAI,LAM,CAI,NIC,Preliminar,NIC,2015
0.119510009,Panama,Panamá,3347,3341,6,PM,PA,PAN,591,4,470,PAN,AMR,LAC,CAI,LAM,CAI,PAN,Preliminar,PAN,2015
0.007283109,Paraguay,Paraguay,68652,68639,13,PA,PY,PRY,600,5,472,PAR,AMR,LAC,SAR,LAM,SCR,PAR,Preliminar,PRY,2015
0.114406898,Peru,Perú,35837,35714,123,PE,PE,PER,604,41,474,PER,AMR,LAC,SAR,LAM,ANR,PER,Preliminar,PER,2015
0,Puerto Rico,Puerto Rico,1867,1867,0,RQ,PR,PRI,630,0,475,PUR,AMR,LAC,LCR,LAM,LCR,PUR,Preliminar,PRI,2015
0,Saint Barthelemy,San Bartolomé,428,428,0,TB,BL,BLM,652,0,652,,,,,,,,Preliminar,,2015
0,Saint Kitts and Nevis,Saint Kitts y Nevis,5,5,0,SC,KN,KNA,659,0,477,SKN,AMR,LAC,NLC,CAR,NLC,SCN,Preliminar,KNA,2015
0,Anguilla,Anguila,8,8,0,AV,AI,AIA,660,0,411,ANG,AMR,LAC,NLC,CAR,NLC,ANG,Preliminar,ANG,2015
0,Saint Lucia,Santa Lucía,25,25,0,ST,LC,LCA,662,0,481,SLU,AMR,LAC,NLC,CAR,NLC,STL,Preliminar,LCA,2015
0,Saint Martin,Isla de San Martín (Francia),1488,1488,0,RN,MF,MAF,663,0,663,,,,,,,,Preliminar,,2015
0,Saint Vincent and the Grenadines,San Vicente y las Granadinas,13,13,0,VC,VC,VCT,670,0,479,SVG,AMR,LAC,NLC,CAR,NLC,SVT,Preliminar,VCT,2015
0,Suriname,Suriname,15,15,0,NS,SR,SUR,740,0,476,SUR,AMR,LAC,NLC,CAR,NLC,SUR,Preliminar,SUR,2015
0.177830468,Trinidad and Tobago,Trinidad y Tobago,1687,1687,0,TD,TT,TTO,780,3,478,TRT,AMR,LAC,NLC,CAR,NLC,TRT,Preliminar,TTO,2015
0,Turks and Caicos Islands,Islas Turcas y Caicos,331,331,0,TK,TC,TCA,796,0,473,TUC,AMR,LAC,NLC,CAR,NLC,TCA,Preliminar,TUC,2015
0,United States of America,Estados Unidos de América,751,751,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Preliminar,USA,2015
0,Uruguay,Uruguay,13,13,0,UY,UY,URY,858,0,482,URU,AMR,LAC,SAR,LAM,SCR,URU,Preliminar,URY,2015
0.131600111,Venezuela,Venezuela,68389,68109,280,VE,VE,VEN,862,90,484,VEN,AMR,LAC,SAR,LAM,ANR,VEN,Preliminar,VEN,2015
0,Puerto Rico,Puerto Rico,204,204,0,RQ,PR,PRI,630,0,475,PUR,AMR,LAC,LCR,LAM,LCR,PUR,Final,PRI,2016
0,Antigua and Barbuda,Antigua y Barbuda,103,103,0,AC,AG,ATG,28,0,431,ANT,AMR,LAC,NLC,CAR,NLC,ANT,Preliminar,ATG,2016
0.01258574,Argentina,Argentina,79455,79455,0,AR,AR,ARG,32,10,425,ARG,AMR,LAC,SAR,LAM,SCR,ARG,Final,ARG,2016
0,Bahamas,Bahamas,82,82,0,BF,BS,BHS,44,0,426,BAH,AMR,LAC,NLC,CAR,NLC,BAH,Preliminar,BHS,2016
0,Barbados,Barbados,1433,1433,0,BB,BB,BRB,52,0,427,BAR,AMR,LAC,NLC,CAR,NLC,BAR,Preliminar,BRB,2016
0,Bermuda,Bermuda,2,2,0,BD,BM,BMU,60,0,429,BER,AMR,NAR,NLC,NAR,NAR,BER,Preliminar,BMU,2016
0.003149011,Bolivia,Bolivia,31756,31700,56,BL,BO,BOL,68,1,428,BOL,AMR,LAC,SAR,LAM,ANR,BOL,Preliminar,BOL,2016
0.04278474,Brazil,Brasil,1500535,1499674,861,BR,BR,BRA,76,642,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Preliminar,BRA,2016
0,Belize,Belice,192,192,0,BH,BZ,BLZ,84,0,434,BEL,AMR,LAC,CAI,LAM,CAI,BLZ,Preliminar,BLZ,2016
0,Virgin Islands (UK),Islas Vírgenes (RU),100,100,0,VI,VG,VGB,92,0,436,VIK,AMR,LAC,NLC,CAR,NLC,VIB,Preliminar,VIR,2016
,Canada,Canadá,0,0,0,CA,CA,CAN,124,0,437,CAN,AMR,NAR,NAR,NAR,NAR,CAN,Final,CAN,2016
0,Cayman Islands,Islas Caimán,150,150,0,CJ,KY,CYM,136,0,438,CAY,AMR,LAC,NLC,CAR,NLC,CAY,Preliminar,CYM,2016
0,Chile,Chile,33,33,0,CI,CL,CHL,152,0,439,CHI,AMR,LAC,SAR,LAM,SCR,CHI,Preliminar,CHL,2016
0.05779122,Colombia,Colombia,103822,102775,1047,CO,CO,COL,170,60,441,COL,AMR,LAC,SAR,LAM,ANR,COL,Preliminar,COL,2016
0,Cuba,Cuba,1836,1807,29,CU,CU,CUB,192,0,445,CUB,AMR,LAC,LCR,LAM,LCR,CUB,Preliminar,CUB,2016
0,Dominica,Dominica,351,351,0,DO,DM,DMA,212,0,447,DOM,AMR,LAC,NLC,CAR,NLC,DOM,Preliminar,DMA,2016
0.586907449,Dominican Republic,República Dominicana,6645,6004,641,DR,DO,DOM,214,39,448,DOR,AMR,LAC,LCR,LAM,LCR,DOR,Preliminar,DOM,2016
0.028268551,Ecuador,Ecuador,14150,14111,39,EC,EC,ECU,218,4,451,ECU,AMR,LAC,SAR,LAM,ANR,ECU,Preliminar,ECU,2016
0.011377859,El Salvador,El Salvador,8789,8583,206,ES,SV,SLV,222,1,453,ELS,AMR,LAC,CAI,LAM,CAI,ELS,Final,SLV,2016
0,French Guiana,Guayana Francesa,522,522,0,FG,GF,GUF,254,0,456,FRG,AMR,LAC,LCR,LAM,LCR,FRG,Preliminar,GUF,2016
0,Grenada,Granada,151,151,0,GJ,GD,GRD,308,0,457,GRE,AMR,LAC,NLC,CAR,NLC,GRE,Preliminar,GRD,2016
0,Guadeloupe,Guadalupe,177,177,0,GP,GP,GLP,312,0,459,GUA,AMR,LAC,LCR,LAM,LCR,GUA,Preliminar,GLP,2016
0.011307101,Guatemala,Guatemala,8844,8797,47,GT,GT,GTM,320,1,458,GUT,AMR,LAC,CAI,LAM,CAI,GUT,Preliminar,GTM,2016
0,Guyana,Guyana,303,303,0,GY,GY,GUY,328,0,432,GUY,AMR,LAC,NLC,CAR,NLC,GUY,Preliminar,GUY,2016
0.013065633,Honduras,Honduras,22961,22648,313,HO,HN,HND,340,3,462,HON,AMR,LAC,CAI,LAM,CAI,HON,Preliminar,HND,2016
0,Jamaica,Jamaica,2269,2266,3,JM,JM,JAM,388,0,464,JAM,AMR,LAC,NLC,CAR,NLC,JAM,Preliminar,JAM,2016
0,Martinique,Martinica,158,158,0,MB,MQ,MTQ,474,0,491,MAR,AMR,LAC,LCR,LAM,LCR,MAR,Preliminar,MTQ,2016
0.026139972,Mexico,México,130069,129263,806,MX,MX,MEX,484,34,466,MEX,AMR,LAC,CAI,LAM,MEX,MEX,Final,MEX,2016
0,Montserrat,Montserrat,25,25,0,MH,MS,MSR,500,0,465,MON,AMR,LAC,NLC,CAR,NLC,MNT,Preliminar,MON,2016
0,Aruba,Aruba,1319,1319,0,AA,AW,ABW,533,0,533,ARU,AMR,LAC,NLC,CAR,NLC,ARU,Preliminar,ABW,2016
0.018115942,Nicaragua,Nicaragua,88320,88320,0,NU,NI,NIC,558,16,468,NIC,AMR,LAC,CAI,LAM,CAI,NIC,Preliminar,NIC,2016
0.114155251,Panama,Panamá,7884,7872,12,PM,PA,PAN,591,9,470,PAN,AMR,LAC,CAI,LAM,CAI,PAN,Preliminar,PAN,2016
0.022787154,Paraguay,Paraguay,70215,70167,48,PA,PY,PRY,600,16,472,PAR,AMR,LAC,SAR,LAM,SCR,PAR,Final,PRY,2016
0.116103929,Peru,Perú,31868,31744,124,PE,PE,PER,604,37,474,PER,AMR,LAC,SAR,LAM,ANR,PER,Preliminar,PER,2016
0,Saint Barthelemy,San Bartolomé,78,78,0,TB,BL,BLM,652,0,652,,,,,,,,Preliminar,,2016
0,Saint Kitts and Nevis,Saint Kitts y Nevis,136,136,0,SC,KN,KNA,659,0,477,SKN,AMR,LAC,NLC,CAR,NLC,SCN,Preliminar,KNA,2016
0,Anguilla,Anguila,50,50,0,AV,AI,AIA,660,0,411,ANG,AMR,LAC,NLC,CAR,NLC,ANG,Preliminar,ANG,2016
0,Saint Lucia,Santa Lucía,196,196,0,ST,LC,LCA,662,0,481,SLU,AMR,LAC,NLC,CAR,NLC,STL,Preliminar,LCA,2016
0,Saint Martin,Isla de San Martín (Francia),29,29,0,RN,MF,MAF,663,0,663,,,,,,,,Preliminar,,2016
0,Saint Vincent and the Grenadines,San Vicente y las Granadinas,89,89,0,VC,VC,VCT,670,0,479,SVG,AMR,LAC,NLC,CAR,NLC,SVT,Preliminar,VCT,2016
0,Suriname,Suriname,6,6,0,NS,SR,SUR,740,0,476,SUR,AMR,LAC,NLC,CAR,NLC,SUR,Preliminar,SUR,2016
0,Trinidad and Tobago,Trinidad y Tobago,1801,1801,0,TD,TT,TTO,780,0,478,TRT,AMR,LAC,NLC,CAR,NLC,TRT,Preliminar,TTO,2016
0,Turks and Caicos Islands,Islas Turcas y Caicos,484,484,0,TK,TC,TCA,796,0,473,TUC,AMR,LAC,NLC,CAR,NLC,TCA,Preliminar,TUC,2016
0,Virgin Islands (US),Islas Vírgenes (EUA),11,11,0,VQ,VI,VIR,850,0,483,VIS,AMR,LAC,NLC,CAR,NLC,VUS,final,VIS,2016
0,Uruguay,Uruguay,1337,1337,0,UY,UY,URY,858,0,482,URU,AMR,LAC,SAR,LAM,SCR,URU,Preliminar,URY,2016
0.102518539,Venezuela,Venezuela,29263,29150,113,VE,VE,VEN,862,30,484,VEN,AMR,LAC,SAR,LAM,ANR,VEN,Preliminar,VEN,2016
