"defini","WKENDDATE","X.ILI.CHR","X.ILI.ETR","X.ILI.JMR","X.ILI.KKR","X.ILI.MCR","X.ILI.MSR","X.ILI.NDR","X.ILI.NER","X.ILI.SCR","X.ILI.SER","X.ILI.SUL","X.ILI.UCR","X.ILI.WTR","X.ILI"
"5","2/6/10","0","0.2","3.3","1.4","1.4","1.1","2.3","0","0","0.2","0","0.5","0.5","0.93"
"6","2/13/10","0","0.5","2.2","4.3","2.3","0.2","3.8","1.2","0","0.8","0.4","0.5","0.9","1.49"
"7","2/20/10","0.2","0.6","0","0.7","1.2","0.5","1.9","0","0","2.7","0","0.6","1.3","0.96"
"8","2/27/10","0.2","1.1","1.4","0.7","2.3","0.7","2.7","0.4","0","0.8","0","0.5","0","1.21"
"9","3/6/10","0.2","0.5","2.5","3.1","2.1","0.4","8.7","0.3","0","1.9","0.3","0.2","0.2","1.52"
"10","3/13/10","0.4","1.1","2.4","1.8","0.9","1.2","4.9","0.6","0","0.5","0.3","0.4","0.5","1.37"
"11","3/20/10","0.9","0.3","1.1","1.5","1","0.4","2.4","0","0","0.5","0","0.9","0","0.85"
"12","3/27/10","0","0.5","0.9","1.2","1.6","0","1.6","0.6","0","0.3","0","0.5","0","0.83"
"13","4/3/10","0.3","0.3","1.4","1.7","0.8","0.1","1.6","0","0","1.4","0","0.7","0.2","0.87"
"14","4/10/10","0.1","0","0.5","0","0.4","0","1","0","0","0.3","0","0","0.2","0.36"
"15","4/17/10","0","0.3","0.7","0.3","0.7","0","0.8","0","0","0.2","0","0.2","0.2","0.43"
"16","4/24/10","0","0.1","0.6","0.7","0.1","0","0.4","0","0","0","0","0.1","0.2","0.21"
"17","5/1/10","0","0","0.5","0.2","0.3","1.2","0.9","0.7","0","0","0","0","0.2","0.33"
"18","5/8/10","0","0","0.4","0.1","0.4","0.1","0.3","0.3","0","0.2","0","0.3","0.2","0.2"
"19","5/15/10","0.2","0","0","0","0.2","0","1","0.6","0","0.5","0","0.1","0.3","0.28"
"20","5/22/10","0","0","0.3","0","0","0","0.4","0.3","0","0.2","0","0","0","0.09"
"21","5/29/10","0","0","0","0","0.2","0","0.3","0","0","0","0","0","0","0.09"
"22","6/5/10","0","0","0.9","0.1","0.2","0.2","0","0","0","0","0","0","0","0.21"
"23","6/12/10","0","0","0","0","1.2","0.6","0.3","0","0","0","0","0","0","0.1"
"24","6/19/10","0","0","0.1","0","0.2","0","0.2","0","0","0","0","0","0","0.05"
"25","6/26/10","0","0.1","0","0.1","0","0.3","0.7","0","0","0","0","0.1","0","0.11"
"26","7/3/10","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0.03"
"27","7/10/10","0","0","0.1","0","0","0.2","0.3","0","0","0","0","0","0","0.06"
"28","7/17/10","0","0","0","0","0","0.1","0","0","0","0.2","0","0","0","0.03"
"29","7/24/10","0","0","0.1","0","0.2","0.7","0","0","0","0","0","0","0","0.05"
"30","7/31/10","0","0","0.1","0","0","0","0.2","0","0","0","0","0","0","0.06"
"31","8/7/10","0","0","0.3","0","0.2","0","0","0","0","0","0","0","0","0.05"
"32","8/14/10","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0.02"
"33","8/21/10","0","0","0.1","0","0","0","0.1","0","0.7","0.2","0","0","0","0.06"
"34","8/28/10","0","0.1","0.1","0.1","0","0","0.2","0.7","0","0","0","0","0","0.08"
"35","9/4/10","0","0","0.1","0.2","0","0","1.8","0.2","0.8","0","0","0","0","0.16"
"36","9/11/10","0","0","0.2","0.2","0","0","0.4","0","0","0","0","0","0.2","0.11"
"37","9/18/10","0.2","0.1","0.3","0.8","0.1","0","0.5","0.3","0","0.1","0","0","0","0.19"
"38","9/25/10","0","0","0","0.7","0.3","0","0.4","0.3","0","0","0","0.2","0","0.23"
"39","10/2/10","0","0.2","0","0.3","0.1","0","0.6","0.3","0.4","0","0.3","0","0","0.21"
"40","10/9/10","0","0.3","0.6","0.3","0.9","0","0.8","0","1.1","0","0","0","0","0.36"
"41","10/16/10","0","0","2.4","0.3","0.1","0","1","0","0","0","1.2","0","0","0.4"
"42","10/23/10","0","0.3","2.2","0.4","0","0","1","0.3","0","0","0","0","0","0.49"
"43","10/30/10","0.4","0.1","2.4","0.9","0","0","1","0.3","0.3","0.3","0","0","0","0.45"
"44","11/6/10","0","0.1","2.9","0.3","0.3","0","1.3","0","1.4","0","0","0","0.3","0.46"
"45","11/13/10","0.5","0.4","2.7","1.1","0.1","0","0.9","0","0","0.6","0","0.1","0","0.59"
"46","11/20/10","0","0.4","4.3","0.7","0.2","1.1","2.1","0","0.3","0.1","0","0","0.2","0.73"
"47","11/27/10","0.4","0","4.3","0.6","0.2","0.7","1.3","0","0","0","1.4","0","0","0.76"
"48","12/4/10","0.5","0.3","4.8","0.3","0.2","0.6","1.4","0","0","0.7","0","0.2","0.5","0.83"
"49","12/11/10","0.4","0.4","4","0.1","0.2","0","4","0","0.3","0.4","0.4","0.8","0.3","1.16"
"50","12/18/10","0.9","0.4","0","1.7","0.7","3.2","4.8","0.4","0","1.5","0","0.9","0","1.24"
"51","12/25/10","0","0.8","6.9","0.2","0","1.8","9.9","0","0","1.5","0","0.6","0","2.76"
"52","1/1/11","0.9","1.2","5.1","1.5","0","0.9","10.9","0.4","0.5","1","0","0","0","2.76"
"1","1/8/11","0.5","0.4","4.7","1.2","0.3","0.5","8.9","0.2","0","0","1","0.4","0.8","1.54"
"2","1/15/11","0","0.4","8.6","3.1","1.8","2.6","8.5","0.4","0","3.1","0","1.6","0.4","3.12"
"3","1/22/11","1.4","1.9","7.1","4.5","4.4","0","9.6","0.2","0","2.6","0.7","1.7","0.6","3.63"
"4","1/29/11","4.1","1.2","9.8","5.2","5.3","0.1","12","0.6","0","5.6","1.6","2.8","0.8","4.24"
"5","2/5/11","3.5","6.7","11.2","5.9","6.5","0.3","12.8","0.8","0.6","6.9","5.4","2.4","1","6.45"
"6","2/12/11","1.6","7.4","7.7","3.7","7.6","0.7","13.8","0.9","0","6","2.1","2.2","1.1","6.3"
"7","2/19/11","1.5","4.2","8.7","2.5","6.3","2","8.1","1.4","0.9","4.6","6","4.5","0.6","4.78"
"8","2/26/11","0.4","6","6.7","3.1","4.8","0","8.7","0","0","5.7","2","2.2","0.5","4.65"
"9","3/5/11","1.2","2.7","7.6","1.6","3.2","0","13.4","1.2","0","3.1","4.6","1.3","1.8","3.33"
"10","3/12/11","0","1","4.4","1.2","1.2","0.5","7.6","6.5","0","2.4","3.4","0.2","0","1.88"
"11","3/19/11","0.3","0.7","5.3","0.2","0.8","0","4.6","0","0","0.6","0.5","0.3","0","1.41"
"12","3/26/11","0.2","0.3","3.1","0.4","0.1","0.1","2.5","0","0","0.2","1.2","0.4","0","0.78"
"13","4/2/11","0.4","0.2","3.5","1.1","0.6","0","1.2","0","0","0","0","0.3","0","0.71"
"14","4/9/11","0.2","0.2","4.3","0.5","0.3","0","5.6","0","0","0.1","0.4","0.4","0.4","0.79"
"15","4/16/11","0","0","3.9","0.4","0.3","0","1.1","0","0","0.1","0","0.4","0","0.58"
"16","4/23/11","0","0.1","5.1","0.4","0","0","1.1","0","0","0","0","0.2","0","0.68"
"17","4/30/11","0","0.1","3.5","0","0","0","0.6","0","0","0.3","0.5","0.3","0.3","0.41"
"18","5/7/11","0","0.1","0","0.2","0","0","0.4","0","0","0.2","0","0","0","0.11"
"19","5/14/11","0","0.1","0","0.2","0","0","0.2","0","0","0.2","0","0.3","0","0.1"
"20","5/21/11","0","0","0","0","0","0","0.4","0","0","0.2","0.5","0","0","0.06"
"21","5/28/11","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0.02"
"22","6/4/11","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0.02"
"23","6/11/11","0","0","0","0","0","0","0.3","0","0","0.2","0.7","0","0","0.07"
"24","6/18/11","0","0","0","0","0","0.8","0","0","0","0","0","0.2","0","0.03"
"25","6/25/11","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0.01"
"26","7/2/11","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0.02"
"27","7/9/11","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0.02"
"28","7/16/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01"
"29","7/23/11","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0.02"
"30","7/30/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02"
"31","8/6/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01"
"32","8/13/11","0","0","0","0","0","0","0.1","0","0","0","0.5","0","0","0.03"
"33","8/20/11","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0.06"
"34","8/27/11","0","0","0","0","0","0","0.5","0","0.4","0","0","0","0","0.08"
"35","9/3/11","0","0.1","0","0.2","0","2.5","0.7","0","0","0","0","0","0","0.14"
"36","9/10/11","0","0","0","0","0.1","0","1.5","0","0","0","0","0","0","0.15"
"37","9/17/11","0.3","0.1","0","0.1","0.2","0","1","0","0.4","0","0","0.1","0","0.29"
"38","9/24/11","0.2","0.1","0","0.3","0.2","0","1.4","0","0","0","0","0","0","0.37"
"39","10/1/11","0","0.1","0","0.2","0.2","0","1.3","0","0","0","0","0.4","0.7","0.43"
"40","10/8/11","0","0.4","0","0.6","0.4","0","0","0","0","0.2","0","0","0","0.28"
"41","10/15/11","0.3","0.6","0","0.1","0.3","0","1.3","0.4","0.4","0","0","0","0.3","0.35"
"42","10/22/11","0","0.2","0","0.2","0.2","0","1.3","0.3","0","0.6","0","0.2","0.3","0.42"
"43","10/29/11","0.5","0.4","0","0.4","0.1","0.2","0","0","0","0.4","0","0.2","0.3","0.29"
"44","11/5/11","0.4","0.3","0","0.4","0.5","0.3","1.5","0","0.4","0","0","0","0","0.5"
"45","11/12/11","1.4","0.3","0.7","0.8","0.5","0","3.1","0.4","0.4","0.3","0.5","0","0","0.83"
"46","11/19/11","0.1","0","0.7","0.8","0.2","0","2.6","0.9","0.3","0","0","0.3","0","0.69"
"47","11/26/11","0","1.5","0.9","0.1","0.3","0","2.8","0","0","0","0","0","0.5","0.89"
"48","12/3/11","0.6","0.3","0.8","0.5","0.2","1.6","2.6","0","0","0","0","0","0","0.63"
"49","12/10/11","0.8","1.7","1.3","0.3","0","0","3.3","0","0","0.4","0.8","0","0.5","1.06"
"50","12/17/11","0.8","0.1","1.5","3.6","0.2","0","2.7","0","0","0","0.2","0.2","0","0.66"
"51","12/24/11","0","0.2","0.9","0","0.6","0","3.9","0.4","0","0","0.4","0.2","0","0.52"
"52","12/31/11","0.3","0.5","3.3","0","0","0","3.4","0","0","1.4","0","0.5","0","0.94"
"1","1/7/12","0.2","1.3","0","0","0","0.3","2","0.4","0","0.3","0","0.3","0","0.72"
"2","1/14/12","0.2","1.1","1.9","0.2","0.1","0","1.6","0","0","0.2","0.4","0.4","0.3","0.77"
"3","1/21/12","0.4","1.9","1.6","0.3","0.2","0","2.3","0","0","1","0","0.4","0","1.17"
"4","1/28/12","0.7","2.1","3.6","0.6","0.3","0","2.4","0","0.4","2.2","0","0.3","0","1.26"
"5","2/4/12","0.1","1.5","1.6","0.2","0.3","0","2.8","0","0","0.2","0.2","0.2","0.3","0.87"
"6","2/11/12","0.7","0.6","3","0.4","0.2","0","0.6","0","0","5.7","0","0.5","0","0.94"
"7","2/18/12","0.2","2.1","5.3","0.3","0.9","0","3","0.8","0","2.6","0","0.4","0.4","1.58"
"8","2/25/12","0.3","3","0","0.3","0.4","2.2","4.5","0.4","0","3.5","0","0.5","0","1.81"
"9","3/3/12","0.3","2.3","8.6","0.2","0.8","2.8","5.5","0.2","0","2.1","0","0.9","0.3","1.96"
"10","3/10/12","0.3","1.6","9","0.6","0.2","0.4","8","0.6","0.5","1.3","0","1.2","0","1.82"
"11","3/17/12","0","4.6","12.4","0.4","2","2.5","5.6","0.2","0","0.4","0","0.3","0.5","2.7"
"12","3/24/12","0.3","2.1","0.3","0.9","2.1","5.8","0","0","0.2","0","0.6","0.6","0","1.46"
"13","3/31/12","0.2","1","0.2","0","0.1","2.1","0","0","0.8","0","0.2","0.5","0","0.74"
"14","4/7/12","0","1.7","0","0.3","0.5","0","0.5","0","0","0.4","0","0","0","0.69"
"15","4/14/12","0","1.5","7.7","0","0.4","0","2.4","0","0.4","0","0","0","0","1.09"
"16","4/21/12","0","0.2","2.6","0.3","0.3","0.6","2.3","0","0","0.3","0","0.1","0.3","0.49"
"17","4/28/12","0","1.4","0","0.1","0.4","0","1.3","0","0","0","0","0","0","0.5"
"1","1/5/13","1.1","12.8","1.8","1.8","1.5","12.4","3.6","1.4","0.5","4.4","0.6","0.6","0.3","6.93"
"2","1/12/13","2","7","4.2","1.1","2","7.5","5.5","2.6","0.8","3.8","1.1","0.9","2","4.29"
"3","1/19/13","0.9","5.6","2.3","1.1","1.7","0.7","3.2","0.6","0.4","2.5","0.7","0.8","1","2.69"
"4","1/26/13","1.7","1.8","1.6","0.8","2.1","0","5.1","0","0","2.5","0","0.8","0.5","1.88"
"5","2/2/13","0.4","5.1","1.7","0.7","3","1.6","4.7","0","0","1.8","0.6","0.7","0.9","2.7"
"6","2/9/13","1","5.2","2.6","0.8","4.1","1.1","2","0","0.7","1.2","0.2","0.5","0","2.27"
"7","2/16/13","0.5","4.2","3.1","1.2","2.4","7.8","2.4","0.5","0","0.9","0","1.2","1","2.99"
"8","2/23/13","0","4","1.9","0.6","2.2","0","2.9","0","0","0.6","0.3","0.3","0.7","1.95"
"9","3/2/13","0","2.8","2.6","0.6","0.3","0.4","2.1","0","0.4","2.1","0","0.5","0.3","1.57"
"10","3/9/13","1.1","4.7","2.5","1","1","7.1","3.4","1.5","0","1.4","0","0","0.5","2.91"
"11","3/16/13","0.2","4","1.5","0.1","1.6","0.3","0.7","0","0.5","1.4","0","1.1","0.3","1.54"
"12","3/23/13","2.1","3","0","0.8","1.4","0.1","2","0","0","1.5","0","0.5","0","1.52"
"13","3/30/13","0.5","5.3","0.9","0","0.6","2.2","1.2","0","0","1.9","0","0.3","0","1.69"
"14","4/6/13","0","2.1","0.6","0.5","0.6","0","0.3","0","0","0","0","0","0","0.89"
"15","4/13/13","0.2","1.9","0.8","1.2","0.4","0","0.3","0","0","1.5","0","0.2","0","0.93"
"16","4/20/13","0","1.4","0.4","1.2","0","0","0.4","0","0","0","0","0","0.3","0.61"
"17","4/27/13","0","1.1","0.2","0.6","0.4","0","0.4","0","0","0","0","0","0","0.5"
"18","5/4/13","0","0.4","0","0.3","0.1","0","0.6","0","0","0","0","0","0","0.26"
"19","5/11/13","0","0.4","0.2","0.1","0.1","0","0","0","0.4","0.4","0","0","0","0.2"
"20","5/18/13","0","0.3","0","0","0","0.6","0.8","0","0","0","0","0","0.3","0.13"
"21","5/25/13","0","0.1","0.2","0.1","0","0","1.7","0","0","0","0","0","0.7","0.12"
"22","6/1/13","0","0.1","0","0","0.3","0","1.3","0","0","1","0","0","0","0.11"
"23","6/8/13","0","0.1","0.2","0","0.2","0","0","0","0","0","0","0","0","0.05"
"24","6/15/13","0","0.1","0","0","0.7","0","1.3","0","0","0","0","0","0","0.13"
"25","6/22/13","0","0","0.2","0","0.7","0","0","0","0","0","0","0","0","0.11"
"26","6/29/13","0","0","0","0.1","0.3","0","0","0","0","0","0","0","0","0.04"
"27","7/6/13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","7/13/13","0","0","0","0","0.2","0","0","0","0","0","0","0","0","0.01"
"29","7/20/13","0","0","0","0","0","0","0","0","0","0","0","0.2","0","0.02"
"30","7/27/13","0","0","0","0.1","0","0","0.2","0","0","0","0","0","0","0.02"
"31","8/3/13","0","0","0","0.1","0.2","0","0","0","0","0","0","0","0","0.03"
"32","8/10/13","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0.01"
"33","8/17/13","0","0","0","0.1","0","0","0.7","0","0","0.2","0","0","0","0.05"
"34","8/24/13","0","0","1","0","0.3","0","0","0","0","0","0","0.5","0","0.1"
"35","8/31/13","0","0","0.9","0.2","0.1","0.2","0","0","0.6","0","0","0.5","0.3","0.15"
"36","9/7/13","0","0","0.8","0","0","0","0","0","0","0","0","0","0","0.05"
"37","9/14/13","0","0.2","0.6","0.1","0.8","0","0.2","0","0.5","0","0","0","0","0.17"
"38","9/21/13","0","0.1","1.2","0.1","0.8","0","0","0","0","0","0","0","0.3","0.18"
"39","9/28/13","0","0.2","2","0.2","0.7","0","0","0","0","0","0","0.4","0.3","0.3"
"40","10/5/13","0","0.4","0.7","0.4","0.8","0","0.9","0","0.5","0","0","0","0.3","0.31"
"41","10/12/13","0","0.2","1.2","0.2","0.5","0","0.4","0","0","0","0","0","0.3","0.21"
"42","10/19/13","0","0.3","0.7","0","0.7","0","0.7","1.7","0","0","0","0","0.4","0.32"
"43","10/26/13","0","0.1","0.4","0.5","0.6","0","0.6","0","0","0","0","0","0.6","0.24"
"44","11/2/13","0.1","0.4","1.8","0.4","0.3","0.2","0.2","0","0","0","0","0.2","0.3","0.36"
"45","11/9/13","0","0.3","0","0.7","1.3","0","0","0","0","0.4","0","0","0","0.39"
"46","11/16/13","0.4","0.4","1.8","0.8","0.7","0","0.7","0","0","0.1","0","0.2","0","0.54"
"47","11/23/13","0.1","1.7","1.7","0.6","0.9","0","0","0","1.1","0","0","0.5","0.5","0.85"
"48","11/30/13","0.2","2.3","1.3","0.5","0.3","0","2.9","0.8","0","0","0","0","0","1.12"
"49","12/7/13","0.7","4.7","1.2","0.6","0.5",NA,"0.8","1","0.7","1","0","0","0.4","1.8"
"50","12/14/13","0.7","2.4","3.3","0.7","1.6",NA,"5.3","0.3","0","1.5","0.2","0.3","0.8","1.49"
"51","12/21/13","1.6","4.7",NA,"0.3","3.8","0.2","7.1","3.1",NA,"1.3","0","0.2","0.3","2.63"
"52","12/28/13","1.4","5.5","8.4","3.3","6.6",NA,"0","0","1","0","0.5","1.6","0","3.75"
"1","1/4/14","2.8","11","6.6","2.4","2",NA,"6.8","3.6","0","9.9","1.4","0","1.1","6.65"
"2","1/11/14","1.6","16.4","4.2","3.3","1.8","3.8","10.1","1.8","0.5","4.8","0.2","0.5","0.7","6.4"
"3","1/18/14","1.1","10.9","3.3","4.8","2",NA,"4.2","0.9","0.9","3.2",NA,"0","0","5.34"
"4","1/25/14","1.7","8.8","2.6","3.9","2.8","0","4.4","1.1","0","3.1","0","0.8","0.7","4.3"
"5","2/1/14","1","7.2","3.5","3.2","1.2","3.1","1.6","1","0","1.5","0.2","0.9","0.5","3.34"
"6","2/8/14","1.1","6","4.6","1","2.1","2.5","1.4","0","0","1.7","0","0","0","1.94"
"7","2/15/14","0.7","6","2.9","1.8","1.2","2","1.1","0.5","0","0.9","0.3","0.6","0.6","2.48"
"8","2/22/14","0.6","2.5","1.2","2","1.1","0","2.5","0.8","0.9","1.6","0","0.5","0","1.57"
"9","3/1/14","0.3","3.3","0.9","1.2","1","1.5","0.9","0","0","1","0","0","0","1.42"
"10","3/8/14","0.4","3.9","1.7","1.5","0.3",NA,"2.2","0","0","0.5","0","0","0","1.66"
"11","3/15/14","0","2.6",NA,"0.6","0.8",NA,"0.3","0.4","0","0","0","0.2","0","1"
"12","3/22/14","0.5","2.5","0.7","0.5","2.4",NA,"0","0","0","0.2","0","0","0","1.17"
"13","3/29/14","0","3.8","1.2","0.3","1.1",NA,"0.4","0.7","0","0.1","0","0.2","0","1.29"
"14","4/5/14","0.1","0.3",NA,"0.2","0.8",NA,"1.5","1.3","0","0.1","0","0","0","0.32"
"15","4/12/14","0","1",NA,"0.4","0.2",NA,"1.1","0.4","0","0",NA,"0","0","0.48"
"16","4/19/14","0","0.4","0","0.4","0.1","0","0","0","0","0","0","0","0","0.18"
"17","4/26/14","0","0.7","0.2","0.1","0.2","0","0.3","0","0","0","0","0","0","0.21"
"18","5/3/14","0","0.2",NA,"0.1","0.4",NA,"0","0","0","0","0.3","0","0","0.14"
"19","5/10/14","0","0.4",NA,"0","0.1",NA,"1.7","0","0","0","0","0.2","0","0.17"
"20","5/17/14","0","0.3","0","0","0",NA,"0","0","0","0","0.4","0","0","0.14"
"21","5/24/14","0","0.3",NA,"0","0",NA,"1.8","0","0","0",NA,"0","0","0.14"
"22","5/31/14","0","0.1","0.5","0","0",NA,"0","0","0","0","0.5","0","0","0.09"
"23","6/7/14","0","0.1","0","0","0",NA,"0","1.2","0","0","0","0","0.3","0.1"
"24","6/14/14","0","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0.07"
"25","6/21/14","0","0.1",NA,"0.1","0",NA,"0","0","0","0","0","0","0","0.05"
"26","6/28/14","0","0.1","0","0","0.1",NA,"0","0","0","0","0","0","0","0.05"
"27","7/5/14","0","0.1",NA,"0","0",NA,"1","0","0","0","0","0","0","0.05"
"28","7/12/14","0","0","0","0","0.1",NA,"0.4","0","0","0","0","0","0","0.04"
"29","7/19/14","0","0","0.2","0","0",NA,"0","0","0","0","0","0","0","0.03"
"30","7/26/14","0","0.1","0","0","0",NA,"0","0","0","0","0","0","0.4","0.03"
"31","8/2/14","0","0.4","0","0","0.3",NA,"0.7","0","0","0","0","0","0","0.11"
