"RIO COMPRIDO"," 31 161","0","0","0","2","1","3","2","0","4","0","6","1","8","8","5","13","20","12","18","7","7","10","5","4","6","8","2","1","1","1","3","0","3","0","2","1","1","0","0","0","1","0","0","2","0","3","0","2","3","0","6","10","  192"
"CIDADE NOVA"," 4 031","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","2","1","2","0","1","1","0","5","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","  25"
"ESTÁCIO"," 20 722","1","0","1","2","5","1","0","4","4","4","0","3","4","2","5","3","6","15","8","8","8","11","5","3","3","7","0","0","1","0","0","3","1","1","1","0","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","  126"
"VII SÃO CRISTOVÃO"," 65 395","  2","  1","  2","  0","  4","  3","  3","  2","  4","  1","  1","  6","  9","  11","  14","  19","  43","  46","  40","  29","  33","  33","  33","  27","  20","  24","  21","  10","  13","  10","  6","  5","  8","  6","  3","  3","  1","  1","  1","  3","  2","  1","  5","  1","  2","  4","  6","  5","  5","  8","  8","  26","  574"
"SÃO CRISTOVÃO"," 35 455","1","0","1","0","2","3","2","0","3","0","1","3","3","7","10","12","23","34","22","19","23","25","20","20","14","11","11","7","8","7","3","2","4","4","3","2","1","1","0","1","1","1","3","0","1","3","3","3","3","6","3","14","  354"
"MANGUEIRA"," 11 311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","8","0","3","2","1","1","3","3","2","1","2","1","3","2","2","1","0","0","0","0","0","0","1","0","2","1","0","0","2","1","1","0","1","1","  53"
"BENFICA"," 18 629","1","1","1","0","2","0","1","2","1","1","0","3","6","4","4","6","17","8","10","10","7","6","12","6","3","10","8","2","3","2","0","1","2","1","0","1","0","0","1","2","0","0","0","0","1","1","1","1","1","2","4","11","  167"
"VASCO DA GAMA[1]"," ","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"XXI PAQUETÁ"," 3 698","  1","  0","  0","  1","  3","  3","  0","  0","  2","  3","  0","  2","  6","  6","  16","  20","  11","  27","  12","  3","  6","  7","  5","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  141"
"PAQUETÁ"," 3 698","  1","  0","  0","  1","  3","  3","  0","  0","  2","  3","  0","  2","  6","  6","  16","  20","  11","  27","  12","  3","  6","  7","  5","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  141"
"XXIII SANTA TERESA"," 39 163","  0","  0","  0","  0","  3","  4","  3","  1","  9","  5","  3","  7","  12","  25","  25","  24","  22","  29","  21","  22","  18","  9","  13","  13","  6","  4","  7","  2","  2","  3","  2","  0","  3","  1","  4","  1","  2","  1","  1","  1","  1","  2","  0","  0","  1","  4","  1","  3","  6","  5","  2","  24","  357"
"SANTA TERESA"," 39 163","  0","  0","  0","  0","  3","  4","  3","  1","  9","  5","  3","  7","  12","  25","  25","  24","  22","  29","  21","  22","  18","  9","  13","  13","  6","  4","  7","  2","  2","  3","  2","  0","  3","  1","  4","  1","  2","  1","  1","  1","  1","  2","  0","  0","  1","  4","  1","  3","  6","  5","  2","  24","  357"
"ÁREA DE PLANEJAMENTO 2.1"," 641 078","  2","  8","  12","  18","  33","  26","  32","  35","  37","  36","  55","  50","  100","  155","  137","  172","  200","  196","  174","  109","  104","  85","  71","  43","  50","  20","  26","  19","  20","  11","  5","  11","  10","  6","  3","  8","  5","  4","  2","  1","  4","  8","  5","  12","  7","  4","  1","  1","  4","  21","  23","  43"," 2 224"
"IV BOTAFOGO"," 234 713","  2","  0","  6","  6","  16","  9","  9","  13","  16","  28","  25","  27","  60","  83","  78","  89","  115","  103","  96","  64","  52","  48","  40","  27","  35","  16","  15","  10","  11","  6","  5","  7","  9","  3","  1","  6","  3","  4","  2","  0","  3","  4","  2","  5","  2","  0","  0","  1","  3","  13","  9","  25"," 1 212"
"FLAMENGO"," 52 510","0","0","2","1","2","3","2","1","4","2","4","4","4","6","9","12","8","14","14","8","4","7","6","5","5","1","1","2","1","0","2","1","0","0","0","0","1","2","0","0","2","1","0","0","0","0","0","0","0","3","3","4","  151"
"GLORIA"," 10 986","0","0","1","0","3","1","1","3","1","3","3","4","11","19","7","14","13","16","15","11","6","5","5","5","4","0","0","1","2","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","  162"
"LARANJEIRAS"," 45 299","0","0","0","4","3","2","2","3","3","10","4","6","20","14","21","26","26","31","26","21","13","14","8","3","6","5","5","1","4","2","0","0","1","2","1","1","1","0","1","0","0","0","0","2","1","0","0","0","1","4","2","6","  306"
"CATETE"," 20 617","1","0","2","0","5","0","3","5","5","7","10","6","12","19","10","17","29","20","21","11","12","10","9","7","10","2","5","3","2","2","0","1","2","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","1","2","1","3","  259"
"COSME VELHO"," 7 313","0","0","0","0","0","0","0","0","0","3","1","1","3","1","4","3","4","4","4","2","1","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","  37"
"BOTAFOGO"," 76 962","1","0","1","1","3","2","1","1","3","2","2","4","4","19","19","15","31","14","12","8","12","9","9","7","6","8","2","2","1","1","2","4","4","1","0","3","1","1","0","0","1","0","1","3","1","0","0","1","1","4","3","8","  239"
"HUMAITÁ"," 14 886","0","0","0","0","0","1","0","0","0","0","1","0","5","4","4","2","3","3","3","2","3","0","3","0","0","0","2","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","  41"
"URCA"," 6 140","0","0","0","0","0","0","0","0","0","1","0","2","1","1","4","0","1","1","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  17"
"V COPACABANA"," 157 391","  0","  3","  2","  3","  7","  9","  11","  11","  9","  2","  7","  5","  11","  12","  16","  25","  19","  30","  25","  17","  20","  10","  11","  6","  8","  1","  5","  4","  3","  3","  0","  0","  0","  2","  2","  2","  2","  0","  0","  0","  0","  0","  1","  4","  2","  1","  0","  0","  1","  6","  6","  14","  338"
"LEME"," 14 681","0","0","0","0","2","0","0","2","2","0","1","2","2","0","0","3","1","1","0","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","3","  28"
"COPACABANA"," 142 710","0","3","2","3","5","9","11","9","7","2","6","3","9","12","16","22","18","29","25","16","17","10","10","6","7","1","5","4","3","3","0","0","0","2","2","1","2","0","0","0","0","0","1","3","2","1","0","0","1","6","5","11","  310"
"VI LAGOA"," 178 374","  0","  5","  3","  7","  6","  5","  10","  9","  7","  3","  16","  16","  22","  44","  26","  42","  47","  42","  46","  15","  19","  11","  7","  5","  3","  3","  1","  2","  4","  1","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  3","  2","  2","  0","  0","  0","  0","  4","  3","  446"
"IPANEMA"," 46 813","0","0","1","1","0","1","1","0","0","0","5","4","8","13","9","11","9","15","17","3","5","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","  109"
"LEBLON"," 45 539","0","0","0","1","0","1","1","2","2","2","2","1","3","10","2","5","7","9","8","5","3","3","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","2","1","  77"
"LAGOA"," 19 367","0","0","0","2","0","0","0","0","0","0","1","4","2","2","5","2","3","1","4","3","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  36"
"JARDIM BOTÃNICO"," 20 235","0","1","1","2","1","0","2","1","0","0","3","2","6","9","1","12","15","10","10","2","6","2","3","1","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","  98"
"GÁVEA"," 20 922","0","3","1","0","2","2","4","3","3","0","3","3","2","5","4","7","7","1","0","1","0","2","3","1","1","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","  64"
"VIDIGAL"," 15 643","0","1","0","0","2","1","2","3","2","1","2","1","1","5","4","3","4","4","3","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  42"
"SÃO CONRADO"," 9 854","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","2","2","2","4","1","1","0","0","0","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  20"
"XXVII ROCINHA"," 70 600","  0","  0","  1","  2","  4","  3","  2","  2","  5","  3","  7","  2","  7","  16","  17","  16","  19","  21","  7","  13","  13","  16","  13","  5","  4","  0","  5","  3","  2","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  1","  3","  1","  0","  1","  1","  1","  0","  0","  2","  4","  1","  228"
"ROCINHA"," 70 600","  0","  0","  1","  2","  4","  3","  2","  2","  5","  3","  7","  2","  7","  16","  17","  16","  19","  21","  7","  13","  13","  16","  13","  5","  4","  0","  5","  3","  2","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  1","  3","  1","  0","  1","  1","  1","  0","  0","  2","  4","  1","  228"
"ÁREA DE PLANEJAMENTO 2.2"," 356 036","  1","  2","  3","  23","  19","  30","  31","  14","  33","  24","  30","  34","  68","  98","  89","  138","  175","  198","  200","  107","  94","  81","  55","  74","  55","  32","  29","  15","  17","  5","  2","  7","  7","  4","  8","  3","  5","  4","  4","  2","  3","  7","  3","  2","  7","  2","  9","  16","  15","  37","  43","  101"," 2 065"
"VIII TIJUCA"," 174 263","  0","  0","  1","  8","  9","  13","  12","  3","  24","  15","  10","  14","  43","  54","  47","  86","  93","  103","  93","  48","  45","  40","  34","  30","  27","  17","  17","  8","  9","  2","  1","  5","  5","  1","  6","  1","  2","  3","  2","  1","  1","  5","  1","  2","  3","  1","  4","  10","  6","  15","  23","  46"," 1 049"
"PRAÇA DA BANDEIRA"," 8 642","0","0","0","0","0","1","1","0","3","0","0","1","2","1","1","2","5","5","7","1","2","2","2","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","  42"
"TIJUCA"," 158 390","0","0","1","7","7","12","11","3","21","14","9","12","37","47","42","74","84","90","81","46","39","33","28","25","26","17","17","7","7","2","1","5","4","1","6","1","2","3","2","1","1","5","1","2","2","1","4","9","6","15","21","43","  935"
"ALTO DA BOA VISTA"," 7 231","0","0","0","1","2","0","0","0","0","1","1","1","4","6","4","10","4","8","5","1","4","5","4","5","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","  72"
"IX VILA ISABEL"," 181 772","  1","  2","  2","  15","  10","  17","  19","  11","  9","  9","  20","  20","  25","  44","  42","  52","  82","  95","  107","  59","  49","  41","  21","  44","  28","  15","  12","  7","  8","  3","  1","  2","  2","  3","  2","  2","  3","  1","  2","  1","  2","  2","  2","  0","  4","  1","  5","  6","  9","  22","  20","  55"," 1 016"
"MARACANÃ"," 27 073","0","0","0","5","0","2","5","1","1","1","3","1","5","5","5","5","17","12","11","8","1","3","3","6","6","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","4","  115"
"VILA ISABEL"," 82 026","1","1","1","8","5","9","9","7","4","5","9","11","12","26","27","36","39","60","67","36","28","20","15","27","12","6","8","4","6","1","0","0","2","1","0","2","3","0","0","1","2","2","0","0","3","0","0","2","5","12","5","24","  564"
"ANDARAI"," 36 112","0","0","0","0","2","5","1","2","2","1","2","3","2","5","3","4","11","4","10","6","5","4","0","3","3","5","2","1","1","0","0","0","0","1","2","0","0","0","2","0","0","0","0","0","1","0","2","2","1","3","6","15","  122"
"GRAJAU"," 36 561","0","1","1","2","3","1","4","1","2","2","6","5","6","8","7","7","15","19","19","9","15","14","3","8","7","3","2","2","1","1","1","2","0","1","0","0","0","1","0","0","0","0","2","0","0","1","2","1","3","7","8","12","  215"
"ÁREA DE PLANEJAMENTO 3.1"," 912 347","  4","  12","  13","  31","  69","  49","  61","  40","  41","  81","  85","  97","  150","  242","  205","  296","  455","  585","  453","  227","  190","  214","  347","  109","  96","  57","  64","  39","  37","  20","  28","  23","  12","  25","  12","  23","  12","  9","  8","  13","  18","  37","  27","  19","  30","  30","  30","  35","  61","  119","  126","  302"," 5 368"
"X RAMOS"," 156 251","  1","  3","  3","  12","  28","  17","  29","  13","  14","  35","  38","  36","  42","  75","  69","  96","  146","  182","  136","  100","  90","  91","  191","  51","  46","  27","  40","  13","  21","  6","  13","  9","  4","  16","  4","  15","  5","  4","  4","  4","  7","  27","  15","  9","  18","  22","  13","  13","  23","  39","  44","  67"," 2 026"
"MANGUINHOS"," 37 544","0","0","0","1","2","1","1","1","0","1","0","0","3","3","5","6","22","18","16","14","7","11","18","7","10","2","6","1","4","1","1","0","0","1","0","2","0","1","0","1","0","4","1","2","1","5","2","2","4","8","6","14","  216"
"BONSUCESSO"," 18 103","1","3","0","3","5","3","7","3","0","12","5","9","14","32","27","30","53","74","55","49","48","37","100","21","17","11","18","7","7","3","7","6","4","13","2","10","2","1","1","3","3","14","10","4","10","13","8","5","12","14","20","32","  848"
"RAMOS"," 36 775","0","0","2","4","11","9","10","6","11","10","8","12","10","23","14","34","42","54","40","23","24","29","50","13","12","7","11","3","9","1","2","1","0","1","2","2","3","1","0","0","2","4","2","3","4","3","3","4","4","9","12","14","  558"
"OLARIA"," 63 829","0","0","1","4","10","4","11","3","3","12","25","15","15","17","23","26","29","36","25","14","11","14","23","10","7","7","5","2","1","1","3","2","0","1","0","1","0","1","3","0","2","5","2","0","3","1","0","2","3","8","6","7","  404"
"XI PENHA"," 326 878","  1","  4","  5","  13","  30","  22","  17","  23","  13","  35","  32","  46","  78","  130","  101","  152","  235","  326","  238","  87","  66","  69","  98","  37","  24","  23","  13","  15","  7","  3","  9","  7","  3","  1","  2","  5","  4","  4","  3","  7","  2","  3","  2","  0","  4","  3","  6","  11","  15","  45","  42","  113"," 2 234"
"PENHA"," 73 792","0","0","2","6","9","5","8","4","4","8","6","14","13","16","16","24","52","57","46","18","18","17","17","11","10","9","5","5","6","0","3","5","1","0","1","1","2","3","1","2","0","1","1","0","1","3","1","6","9","21","14","27","  509"
"PENHA CIRCULAR"," 55 294","0","2","1","1","2","0","1","4","0","5","8","1","3","6","5","9","11","14","14","6","1","1","11","1","1","0","2","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","6","  127"
"BRÁS DE PINA"," 59 834","0","0","0","1","5","6","3","2","1","6","8","6","4","9","8","12","25","34","33","14","6","7","10","2","2","4","2","1","0","0","1","2","1","1","1","1","2","1","1","2","1","2","1","0","3","0","3","2","2","11","11","8","  268"
"CORDOVIL"," 45 810","0","0","1","0","1","2","0","1","0","3","4","5","10","12","7","12","15","31","24","9","11","8","15","6","2","3","2","2","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","16","  211"
"PARADA DE LUCAS"," 23 889","0","0","0","1","0","0","0","2","0","0","0","0","3","4","5","5","21","14","12","7","4","6","13","2","0","1","0","2","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","1","6","  114"
"VIGÁRIO GERAL"," 42 237","1","0","1","2","5","1","2","6","3","10","2","6","24","30","22","29","44","63","34","15","11","13","15","7","3","1","1","2","1","0","2","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","1","3","1","3","6","31","  404"
"JARDIM AMÉRICA"," 26 023","0","2","0","2","8","8","3","4","5","3","4","14","21","53","38","61","67","113","75","18","15","17","17","8","6","5","1","2","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","5","3","19","  601"
"XX ILHA DO GOVERNADOR"," 229 718","  2","  5","  5","  6","  8","  10","  15","  4","  13","  11","  15","  14","  28","  35","  34","  43","  72","  73","  77","  37","  30","  53","  42","  21","  24","  7","  10","  11","  8","  9","  6","  7","  4","  8","  5","  2","  1","  1","  1","  2","  9","  5","  9","  9","  6","  3","  9","  6","  18","  24","  31","  104","  992"
"RIBEIRA"," 3 581","0","0","0","0","0","0","0","0","1","1","0","0","1","3","0","2","1","2","1","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  16"
"ZUMBI"," 2 378","0","0","0","0","0","0","3","1","0","0","0","0","4","1","4","2","1","5","4","1","2","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","  35"
"CACUIA"," 11 428","0","0","0","0","0","2","2","1","0","0","0","0","0","3","3","2","4","2","9","0","2","3","2","0","3","0","1","1","0","1","0","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","2","1","0","2","0","4","  55"
"PITANGUEIRAS"," 10 674","1","0","0","0","0","1","0","0","1","0","2","0","3","6","4","5","2","7","5","3","1","4","1","3","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","  63"
"PRAIA DA BANDEIRA"," 6 716","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","1","1","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","  12"
"COCOTÁ"," 5 242","0","1","0","0","1","0","1","0","1","0","0","0","3","4","1","0","2","5","1","1","2","2","2","1","0","2","1","0","1","0","0","0","0","1","2","0","0","0","0","1","3","1","0","0","1","0","0","1","3","2","2","11","  60"
"BANCÁRIOS"," 13 379","0","1","0","1","3","2","2","0","3","1","0","2","3","2","1","1","12","3","2","4","2","3","1","2","6","1","0","0","2","1","0","1","0","3","0","0","0","0","0","0","0","1","2","3","1","1","2","2","3","1","1","16","  98"
"FREGUESIA (ILHA DO GOVERNADOR)"," 20 177","1","0","2","0","1","0","1","1","0","2","0","1","0","1","0","4","4","4","9","1","1","1","8","0","0","0","1","3","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","2","5","11","  71"
"JARDIM GUANABARA"," 32 034","0","1","0","0","1","0","1","0","1","1","1","3","5","4","9","8","14","14","15","5","4","5","6","2","3","0","1","0","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","2","6","  122"
"JARDIM CARIOCA"," 27 583","0","0","0","2","0","0","0","0","1","3","3","3","1","3","4","6","5","8","10","5","6","7","7","4","4","1","1","3","2","1","0","0","1","1","0","0","0","0","0","0","3","0","0","1","0","0","2","0","2","5","1","11","  117"
"TAUA"," 35 341","0","2","2","1","2","4","3","1","4","1","6","1","2","5","2","4","9","5","6","2","2","5","2","1","4","1","5","1","2","1","2","3","1","2","0","0","0","1","0","0","1","2","4","1","3","0","0","0","2","4","8","13","  133"
"MONERÓ"," 6 269","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","2","1","3","3","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","4","4","1","  32"
"PORTUGUESA"," 27 315","0","0","0","1","0","0","0","0","0","2","2","0","4","1","3","4","6","8","5","8","6","7","7","5","1","0","0","1","0","0","1","0","0","0","1","2","0","0","0","0","1","0","3","2","0","0","2","0","1","3","3","12","  102"
"GALEÃO"," 25 869","0","0","1","1","0","0","1","0","0","0","1","2","1","1","2","4","7","8","6","3","2","8","2","2","1","1","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","3","8","  71"
"CIDADE UNIVERSITÁRIA"," 1 732","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","  5"
"GERICINÓ","  0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"XXIX COMPLEXO DO ALEMÃO"," 67 983","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"
"COMPLEXO DO ALEMÃO"," 67 983","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"
"XXX MARÉ"," 131 517","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  1","  2","  2","  1","  5","  2","  3","  2","  3","  4","  0","  15","  0","  2","  0","  1","  0","  1","  2","  0","  0","  1","  0","  1","  1","  2","  0","  0","  0","  0","  2","  1","  1","  2","  2","  2","  5","  5","  11","  9","  18","  113"
"MARÉ"," 131 517","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  1","  2","  2","  1","  5","  2","  3","  2","  3","  4","  0","  15","  0","  2","  0","  1","  0","  1","  2","  0","  0","  1","  0","  1","  1","  2","  0","  0","  0","  0","  2","  1","  1","  2","  2","  2","  5","  5","  11","  9","  18","  113"
