"Área Programática, Regiões","População","","","","","","","","","","","","","","","","","","","","","","","","S E M A","N A","E P I D","E M I","O L Ó G","I C A","","","","","","","","","","","","","","","","","","","","","","","","Total"
"Administrativas e Bairros","Censo 2010","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52",""
"Área Programática 2.1","638050","46","29","35","21","29","40","40","39","40","28","26","31","40","28","21","27","27","32","21","15","11","10","7","5","4","1","3","4","3","5","2","2","3","1","3","3","3","1","1","0","1","1","5","0","2","0","1","0","4","5","10","3","719"
"IV Botafogo","239729","12","7","6","10","15","12","22","14","16","13","12","10","17","11","9","8","8","4","3","4","1","4","3","2","0","0","0","1","1","3","1","1","1","1","3","1","1","0","1","0","1","1","2","0","2","0","0","0","2","0","4","0","250"
"Flamengo","50043","2","0","0","2","5","2","1","2","3","0","1","0","0","1","3","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","32"
"Glória","9661","1","0","1","1","1","0","2","0","0","0","1","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Laranjeiras","45554","1","0","1","1","1","3","1","2","3","3","1","0","3","1","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","32"
"Catete","24057","0","1","2","1","0","2","5","0","2","4","1","1","3","3","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","35"
"Cosme Velho","7178","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Botafogo","82890","7","5","1","3","7","3","9","9","7","5","7","6","7","4","4","4","3","1","0","3","0","4","3","2","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","112"
"Humaitá","13285","1","0","0","0","0","2","2","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Urca","7061","0","1","0","2","1","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"V Copacabana","161 191","8","6","8","5","8","12","12","11","9","7","2","8","7","4","3","3","4","8","5","6","0","1","1","1","0","0","3","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","4","1","1","154"
"Leme","14799","1","0","0","0","3","2","4","1","1","1","0","1","1","2","0","0","0","7","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","31"
"Copacabana","146392","7","6","8","5","5","10","8","10","8","6","2","7","6","2","3","3","4","1","2","4","0","1","0","1","0","0","3","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","123"
"VI Lagoa","167 774","14","13","12","5","3","14","5","10","10","3","5","3","3","4","4","7","7","9","6","0","5","2","2","1","2","0","0","0","1","2","0","0","0","0","0","0","1","1","0","0","0","0","2","0","0","0","1","0","0","1","3","1","162"
"Ipanema","42743","2","1","3","0","2","4","0","2","1","1","1","1","2","1","2","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","1","0","34"
"Leblon","46044","2","4","4","1","0","3","2","2","3","1","1","0","0","0","0","1","1","2","2","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"Lagoa","21198","1","2","0","0","0","1","1","2","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Jardim Botânico","18009","1","3","1","1","0","2","0","0","2","1","0","0","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","17"
"Gávea","16003","5","0","1","0","0","2","2","2","0","0","0","0","0","0","0","2","3","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","23"
"Vidigal","12797","1","2","2","1","1","2","0","2","1","0","2","2","0","2","1","2","1","3","1","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"São Conrado","10980","2","1","1","2","0","0","0","0","3","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"XXVII Rocinha","69 356","12","3","9","1","3","2","1","4","5","5","7","10","13","9","5","9","8","11","7","5","5","3","1","1","2","1","0","2","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","1","153"
"Rocinha","69 356","12","3","9","1","3","2","1","4","5","5","7","10","13","9","5","9","8","11","7","5","5","3","1","1","2","1","0","2","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","1","153"
"Área Programática 2.2","371 120","25","12","19","20","18","23","18","20","18","32","43","83","113","97","140","72","75","37","24","14","11","6","7","2","6","3","5","5","4","2","1","1","0","3","2","2","0","0","0","0","0","3","0","1","1","1","0","1","1","1","2","3","977"
"VIII Tijuca","181 810","6","5","1","10","8","7","6","7","4","5","5","9","12","6","14","10","12","4","3","2","5","3","2","0","3","2","3","2","1","0","0","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","1","1","164"
"Praça da Bandeira","8662","0","1","0","0","1","0","0","0","1","1","0","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Tijuca","163805","6","4","1","8","7","7","5","7","2","2","4","8","10","5","12","10","12","4","3","1","5","3","2","0","3","2","3","2","1","0","0","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","1","1","146"
"Alto da Boa Vista","9343","0","0","0","2","0","0","1","0","1","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"IX Vila Isabel","189 310","19","7","18","10","10","16","12","13","14","27","38","74","101","91","126","62","63","33","21","12","6","3","5","2","3","1","2","3","3","2","1","1","0","3","1","2","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1","2","813"
"Maracanã","25256","1","0","0","0","1","4","0","0","1","0","1","4","1","5","4","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"Vila Isabel","86018","13","3","14","9","7","8","9","11","10","23","33","66","86","79","114","49","55","26","14","8","5","2","4","1","3","1","2","1","2","1","1","1","0","2","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","670"
"Andaraí","39365","1","1","1","0","1","1","1","0","2","3","2","1","5","3","5","4","2","4","2","1","0","1","1","0","0","0","0","2","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","49"
"Grajaú","38671","4","3","3","1","1","3","2","2","1","1","2","3","9","4","3","8","4","3","4","2","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67"
"Área Programática 3.1","886 551","69","40","24","33","47","71","109","123","191","282","265","321","509","396","337","277","226","139","138","73","39","60","44","22","16","24","21","19","13","12","5","7","10","1","8","3","5","1","1","4","3","5","1","4","7","10","9","14","13","9","14","12","4086"
"X Ramos","153 177","11","9","1","2","12","14","17","19","31","28","29","38","75","70","64","68","57","26","27","14","8","19","15","4","3","5","6","9","6","2","0","1","2","1","2","2","1","1","0","1","0","0","0","1","2","1","0","7","4","1","3","2","721"
"Manguinhos","36160","3","3","1","1","1","1","1","2","5","1","5","0","6","9","10","5","5","2","1","1","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","1","73"
"Bonsucesso","18711","3","3","0","0","1","6","6","1","6","2","3","4","4","9","8","16","12","7","3","0","2","4","2","0","1","0","1","2","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","2","2","1","0","1","117"
"Ramos","40792","2","1","0","0","7","5","5","9","11","11","7","12","26","12","18","28","15","9","11","8","1","12","7","2","1","2","2","3","2","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","3","1","0","1","0","240"
"Olaria","57514","3","2","0","1","3","2","5","7","9","14","14","22","39","40","28","19","25","8","12","5","5","3","4","1","1","3","1","4","4","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","2","0","291"

"XI Penha","321 887","29","18","13","17","26","41","64","63","98","126","117","157","224","176","131","96","99","74","55","35","20","24","16","11","7","10","7","6","4","3","2","2","7","0","3","0","2","0","1","2","2","3","1","3","3","9","5","3","7","6","8","7","1843"
"Penha","78678","10","2","5","5","9","23","42","43","59","79","79","86","96","72","56","42","30","17","10","5","5","8","5","1","3","1","1","2","2","2","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","2","1","0","0","806"
"Penha Circular","47816","1","2","0","2","4","3","2","5","1","5","8","22","29","34","26","14","17","8","7","3","0","4","2","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","209"
"Brás de Pina","59222","11","4","5","1","6","4","3","5","8","11","12","15","32","27","11","10","6","10","10","11","9","3","3","2","1","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","225"
"Cordovil","45202","0","3","1","2","1","4","7","4","14","19","5","16","34","24","18","13","27","22","13","6","4","6","0","1","1","2","2","2","0","0","0","0","0","0","0","0","2","0","0","1","1","0","1","1","1","3","2","1","0","0","0","1","265"
"Parada de Lucas","23923","0","3","0","2","3","3","1","1","5","1","1","1","7","5","4","8","4","5","0","2","1","0","3","2","0","0","1","0","1","1","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","2","1","0","1","1","1","1","76"
"Vigário Geral","41820","5","2","1","2","0","1","6","2","5","7","5","4","11","6","13","2","8","6","7","7","0","3","1","3","0","3","0","0","1","0","0","1","3","0","0","0","0","0","0","1","0","1","0","0","2","1","1","1","1","2","3","2","130"
"Jardim América","25226","2","2","1","3","3","3","3","3","6","4","7","13","15","8","3","7","7","6","8","1","1","0","2","1","1","2","2","0","0","0","2","0","2","0","0","0","0","0","1","0","0","1","0","0","0","3","0","0","1","2","4","2","132"
"XX Ilha Do Governador","212 574","12","10","4","7","4","6","7","5","6","5","4","6","15","14","14","15","6","7","5","10","4","4","5","3","1","2","2","1","1","2","2","2","0","0","2","0","0","0","0","1","0","1","0","0","1","0","2","2","1","2","2","2","207"
"Ribeira","3528","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Zumbi","2016","2","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Cacuia","11013","0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","1","0","2","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","16"
"Pitangueiras","11756","2","2","1","0","0","0","0","0","0","0","0","1","0","1","2","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Praia da Bandeira","5948","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Cocotá","4877","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Bancários","12512","0","1","0","0","0","0","1","0","0","0","0","1","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","10"
"Freguesia (Ilha do Governador)","19437","1","0","0","0","1","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","10"
"Jardim Guanabara","32213","3","2","3","3","1","1","1","0","0","1","1","0","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Jardim Carioca","24848","1","0","0","0","1","0","0","0","0","0","0","0","3","2","0","0","0","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","13"
"Tauá","29567","1","0","0","0","0","2","0","0","0","1","1","0","1","5","5","2","0","0","0","1","2","2","1","1","0","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","31"
"Moneró","6476","1","1","0","1","0","0","0","2","1","0","0","0","0","1","1","2","1","2","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Portuguesa","23856","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Galeão","22971","0","1","0","1","1","1","2","1","3","2","2","3","5","0","1","7","1","1","1","3","0","1","1","0","1","0","2","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","47"
"Cidade Universitária","1556","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"XXIX Complexo do Alemão","69 143","15","3","6","7","5","10","21","36","55","122","113","118","195","133","118","93","62","30","48","13","6","12","7","4","5","7","2","2","2","5","1","1","1","0","0","0","2","0","0","0","0","1","0","0","1","0","2","2","1","0","1","0","1268"
"Complexo do Alemão","69 143","15","3","6","7","5","10","21","36","55","122","113","118","195","133","118","93","62","30","48","13","6","12","7","4","5","7","2","2","2","5","1","1","1","0","0","0","2","0","0","0","0","1","0","0","1","0","2","2","1","0","1","0","1268"
"XXX Maré","129 770","2","0","0","0","0","0","0","0","1","1","2","2","0","3","10","5","2","2","3","1","1","1","1","0","0","0","4","1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","47"
"Maré","129 770","2","0","0","0","0","0","0","0","1","1","2","2","0","3","10","5","2","2","3","1","1","1","1","0","0","0","4","1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","47"
"Área Programática 3.2","569 970","38","26","23","20","36","51","60","52","52","68","108","151","215","227","222","198","134","101","93","36","44","35","24","10","17","9","13","8","11","14","5","2","2","3","2","1","2","2","2","1","0","1","0","2","1","4","5","6","8","8","6","10","2169"
"XII Inhaúma","143 625","23","12","9","11","8","15","24","17","24","31","26","58","69","54","72","59","52","28","32","14","19","14","7","3","6","2","4","1","2","8","1","0","1","2","1","0","1","0","2","0","0","0","0","0","0","0","3","2","1","3","1","4","726"
"Higienópolis","15734","0","2","0","1","1","1","2","1","4","1","1","2","1","0","2","0","1","3","1","0","2","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","31"
"Jacaré","9276","2","2","0","0","1","0","2","0","3","4","2","4","9","4","5","8","3","8","5","3","8","1","1","1","2","0","0","0","0","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","86"
"Maria da Graça","7972","0","1","0","0","1","0","0","0","0","0","0","1","0","5","4","2","3","1","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","25"
"Del Castilho","15610","5","1","2","1","0","3","1","2","1","2","0","6","7","3","4","6","10","1","1","1","5","1","0","0","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","69"
"Inhaúma","45698","11","5","6","7","3","8","10","9","11","17","11","27","15","26","26","22","14","6","16","3","2","3","1","2","2","0","2","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","2","273"
"Engenho da Rainha","26659","2","1","1","1","1","2","5","4","2","1","8","12","31","8","11","9","6","3","1","1","1","3","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","119"
"Tomas Coelho","22676","3","0","0","1","1","1","4","1","3","6","4","6","6","8","20","12","15","6","7","5","1","4","3","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","123"
"XIII Méier","388506","14","14","13","9","28","36","35","35","27","37","82","92","141","171","148","137","81","73","58","22","25","20","17","7","11","7","9","7","9","6","4","2","0","1","1","1","1","2","0","1","0","1","0","2","1","4","2","4","7","5","5","6","1421"
"São Francisco Xavier","8343","2","0","0","0","2","3","3","2","3","3","7","2","4","4","8","1","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48"
"Rocha","8766","0","2","0","0","0","2","1","1","0","1","3","6","0","2","1","1","3","1","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","31"
"Riachuelo","12653","0","0","0","0","1","0","2","0","1","0","2","2","5","2","2","5","3","4","2","2","0","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Sampaio","10895","0","0","0","0","1","0","1","0","1","6","5","15","23","25","15","13","9","4","5","3","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","132"
"Engenho Novo","42172","1","3","2","1","1","5","5","3","2","3","13","21","28","31","26","24","11","14","14","5","6","1","2","2","3","2","1","0","0","1","1","1","0","1","0","0","0","1","0","0","0","1","0","0","1","1","2","1","3","1","1","1","247"
"Lins de Vasconcelos","37487","1","1","0","0","1","2","1","2","4","0","4","2","15","21","13","19","13","6","2","5","5","3","3","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","128"
"Méier","49828","3","2","4","3","6","6","3","4","5","7","11","8","10","9","23","17","5","11","5","1","3","3","2","0","2","3","4","1","2","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","1","173"
"Todos ds Santos","24646","1","0","0","0","2","2","2","2","1","2","1","0","5","2","4","2","1","3","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","34"
"Cachambi","42415","1","2","1","1","3","2","2","4","1","2","7","5","10","11","7","7","5","4","6","0","4","3","0","1","0","1","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","99"
"Engenho de Dentro","45540","1","2","3","1","2","7","1","8","0","4","10","4","10","16","14","10","9","13","5","2","1","1","1","1","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","133"
"Água Santa","8756","0","0","1","0","0","0","2","1","1","0","0","1","0","1","0","2","2","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"Encantado","15021","1","0","1","0","0","1","1","1","2","2","3","5","3","5","4","5","2","3","4","1","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","49"
"Piedade","43378","1","1","0","1","3","4","6","4","2","2","3","9","11","27","16","13","9","5","9","0","0","2","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","133"
