"CIDADE NOVA"," 4 031","0","0","0","1","1","1","1","1","0","0","0","0","3","2","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  14"
"ESTÁCIO"," 20 722","1","1","0","0","2","1","2","3","3","2","5","3","2","5","1","5","4","1","1","1","0","2","0","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","  51"
"VII SÃO CRISTOVÃO"," 65 395","  1","  1","  2","  2","  11","  7","  9","  9","  10","  4","  7","  9","  16","  6","  17","  8","  13","  12","  10","  3","  1","  4","  1","  2","  2","  2","  1","  0","  0","  0","  3","  0","  0","  0","  0","  1","  2","  0","  1","  0","  0","  2","  0","  0","  1","  1","  1","  2","  0","  5","  1","  1","  191"
"SÃO CRISTOVÃO"," 35 455","0","0","1","1","9","5","3","7","9","3","7","7","12","4","13","7","10","7","3","2","0","3","1","2","2","1","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","1","0","0","1","0","1","1","0","2","0","1","  131"
"MANGUEIRA"," 11 311","0","1","0","0","2","0","3","1","0","0","0","1","2","1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  16"
"BENFICA"," 18 629","1","0","1","1","0","2","3","1","1","1","0","1","2","1","3","1","2","4","6","1","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","3","1","0","  44"
"VASCO DA GAMA[1]"," ","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"XXI PAQUETÁ"," 3 698","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5"
"PAQUETÁ"," 3 698","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5"
"XXIII SANTA TERESA"," 39 163","  1","  2","  3","  2","  5","  3","  2","  5","  10","  10","  6","  11","  13","  19","  6","  13","  3","  4","  3","  2","  2","  2","  1","  3","  1","  0","  0","  0","  0","  0","  0","  1","  2","  1","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  3","  1","  0","  0","  145"
"SANTA TERESA"," 39 163","  1","  2","  3","  2","  5","  3","  2","  5","  10","  10","  6","  11","  13","  19","  6","  13","  3","  4","  3","  2","  2","  2","  1","  3","  1","  0","  0","  0","  0","  0","  0","  1","  2","  1","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  3","  1","  0","  0","  145"
"ÁREA DE PLANEJAMENTO 2.1"," 641 078","  8","  10","  22","  28","  26","  37","  37","  43","  56","  75","  84","  96","  129","  121","  126","  155","  82","  85","  56","  33","  34","  34","  29","  13","  14","  15","  8","  8","  12","  2","  7","  3","  5","  9","  3","  7","  7","  5","  5","  5","  4","  3","  4","  6","  7","  7","  4","  2","  11","  10","  13","  11"," 1 616"
"IV BOTAFOGO"," 234 713","  2","  4","  8","  12","  12","  12","  13","  15","  14","  21","  29","  41","  50","  42","  58","  59","  27","  31","  18","  13","  17","  13","  9","  5","  4","  4","  3","  4","  7","  0","  4","  3","  3","  4","  1","  2","  3","  2","  4","  1","  0","  0","  1","  0","  1","  3","  0","  0","  1","  3","  0","  1","  584"
"FLAMENGO"," 52 510","1","0","0","4","5","1","3","1","0","4","2","5","4","4","4","10","1","3","2","2","1","1","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","  65"
"GLORIA"," 10 986","0","0","0","0","2","2","0","1","1","4","5","6","8","3","6","15","9","6","3","2","5","3","4","2","1","2","1","0","1","0","0","1","0","1","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","1","  99"
"LARANJEIRAS"," 45 299","0","2","0","1","2","1","2","1","2","0","2","1","1","3","7","4","4","3","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  41"
"CATETE"," 20 617","0","1","1","1","1","2","1","1","2","1","3","7","5","6","9","6","2","1","2","0","2","3","1","0","2","2","1","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","  69"
"COSME VELHO"," 7 313","0","0","1","0","0","2","2","1","0","0","2","1","3","2","2","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  19"
"BOTAFOGO"," 76 962","1","1","5","6","2","3","5","9","6","11","14","18","27","24","28","24","11","13","7","5","6","5","3","2","1","0","1","3","4","0","2","2","1","2","0","2","3","2","0","1","0","0","0","0","1","3","0","0","0","0","0","0","  264"
"HUMAITÁ"," 14 886","0","0","0","0","0","1","0","0","1","0","1","2","1","0","1","0","0","2","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  14"
"URCA"," 6 140","0","0","1","0","0","0","0","1","2","1","0","1","1","0","1","0","0","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  13"
"V COPACABANA"," 157 391","  0","  0","  9","  7","  5","  10","  9","  12","  15","  23","  20","  20","  28","  26","  27","  39","  22","  13","  8","  3","  6","  3","  4","  1","  2","  0","  1","  1","  0","  1","  2","  0","  0","  1","  0","  5","  4","  2","  0","  3","  2","  2","  1","  3","  4","  2","  1","  1","  3","  0","  2","  1","  354"
"LEME"," 14 681","0","0","0","1","1","1","0","1","0","2","1","2","2","1","2","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","  25"
"COPACABANA"," 142 710","0","0","9","6","4","9","9","11","15","21","19","18","26","25","25","33","20","13","8","3","6","3","4","1","2","0","1","1","0","1","2","0","0","1","0","5","3","2","0","3","2","1","0","3","4","2","1","1","3","0","2","1","  329"
"VI LAGOA"," 178 374","  1","  0","  1","  7","  5","  9","  6","  6","  18","  19","  21","  13","  29","  36","  31","  30","  22","  22","  20","  7","  5","  9","  7","  1","  6","  4","  1","  0","  0","  1","  1","  0","  0","  2","  1","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  1","  0","  0","  2","  3","  4","  0","  355"
"IPANEMA"," 46 813","0","0","0","4","0","2","1","1","3","3","5","2","8","4","6","12","6","11","6","1","0","3","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","  83"
"LEBLON"," 45 539","0","0","1","0","2","1","0","2","2","4","7","3","7","14","8","3","7","6","6","2","2","2","4","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","  89"
"LAGOA"," 19 367","0","0","0","0","0","0","0","0","3","2","1","2","4","2","1","3","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","  24"
"JARDIM BOTÃNICO"," 20 235","0","0","0","2","1","4","0","1","3","3","1","3","3","2","3","3","0","1","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","  38"
"GÁVEA"," 20 922","0","0","0","1","1","1","1","2","4","3","4","3","3","10","4","5","3","3","0","1","1","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","2","0","0","  60"
"VIDIGAL"," 15 643","1","0","0","0","0","1","3","0","2","4","2","0","4","4","6","4","4","1","6","1","2","1","2","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  52"
"SÃO CONRADO"," 9 854","0","0","0","0","1","0","1","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","  9"
"XXVII ROCINHA"," 70 600","  5","  6","  4","  2","  4","  6","  9","  10","  9","  12","  14","  22","  22","  17","  10","  27","  11","  19","  10","  10","  6","  9","  9","  6","  2","  7","  3","  3","  5","  0","  0","  0","  2","  2","  1","  0","  0","  0","  1","  1","  2","  1","  2","  1","  1","  1","  3","  1","  5","  4","  7","  9","  323"
"ROCINHA"," 70 600","  5","  6","  4","  2","  4","  6","  9","  10","  9","  12","  14","  22","  22","  17","  10","  27","  11","  19","  10","  10","  6","  9","  9","  6","  2","  7","  3","  3","  5","  0","  0","  0","  2","  2","  1","  0","  0","  0","  1","  1","  2","  1","  2","  1","  1","  1","  3","  1","  5","  4","  7","  9","  323"
"ÁREA DE PLANEJAMENTO 2.2"," 356 036","  0","  3","  6","  4","  6","  9","  13","  4","  9","  10","  10","  7","  18","  17","  10","  9","  20","  14","  14","  11","  21","  11","  3","  5","  7","  3","  4","  0","  2","  0","  2","  1","  0","  3","  0","  1","  0","  0","  0","  1","  1","  0","  1","  0","  0","  1","  2","  0","  3","  1","  2","  0","  269"
"VIII TIJUCA"," 174 263","  0","  3","  3","  3","  5","  3","  6","  1","  7","  7","  5","  2","  9","  9","  3","  8","  13","  2","  7","  8","  9","  6","  1","  4","  4","  3","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  2","  0","  2","  0","  141"
"PRAÇA DA BANDEIRA"," 8 642","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  7"
"TIJUCA"," 158 390","0","3","3","3","2","2","4","0","7","6","5","2","8","7","3","4","11","2","7","8","9","4","1","2","4","3","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","2","0","2","0","  120"
"ALTO DA BOA VISTA"," 7 231","0","0","0","0","1","1","1","1","0","1","0","0","1","1","0","2","1","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  14"
"IX VILA ISABEL"," 181 772","  0","  0","  3","  1","  1","  6","  7","  3","  2","  3","  5","  5","  9","  8","  7","  1","  7","  12","  7","  3","  12","  5","  2","  1","  3","  0","  3","  0","  2","  0","  2","  1","  0","  1","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  1","  1","  0","  0","  128"
"MARACANÃ"," 27 073","0","0","1","0","1","0","1","0","0","1","0","0","2","3","2","0","1","2","1","0","5","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  23"
"VILA ISABEL"," 82 026","0","0","1","0","0","3","3","2","1","0","3","4","4","2","2","1","4","5","4","2","5","0","1","1","2","0","2","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","  58"
"ANDARAI"," 36 112","0","0","0","0","0","1","3","0","1","1","1","0","2","2","3","0","0","2","2","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  24"
"GRAJAU"," 36 561","0","0","1","1","0","2","0","1","0","1","1","1","1","1","0","0","2","3","0","0","2","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","  23"
"ÁREA DE PLANEJAMENTO 3.1"," 912 347","  1","  6","  23","  29","  35","  24","  32","  30","  21","  53","  45","  32","  32","  32","  30","  26","  16","  16","  15","  11","  8","  12","  11","  5","  8","  7","  3","  6","  3","  0","  3","  3","  4","  1","  4","  0","  2","  4","  1","  0","  1","  0","  8","  3","  1","  4","  4","  6","  3","  5","  2","  6","  637"
"X RAMOS"," 156 251","  0","  1","  9","  12","  9","  11","  12","  10","  5","  19","  12","  11","  13","  11","  17","  6","  5","  5","  8","  4","  1","  7","  3","  0","  5","  3","  1","  2","  1","  0","  2","  0","  1","  0","  2","  0","  2","  3","  0","  0","  1","  0","  4","  2","  0","  1","  2","  3","  1","  1","  1","  2","  231"
"MANGUINHOS"," 37 544","0","0","1","1","0","1","3","2","1","4","3","1","2","1","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  27"
"BONSUCESSO"," 18 103","0","1","3","4","6","8","4","5","2","8","7","6","4","5","12","5","3","3","4","4","0","3","2","0","1","1","0","0","1","0","2","0","1","0","1","0","0","1","0","0","1","0","0","2","0","0","0","0","0","1","1","0","  112"
"RAMOS"," 36 775","0","0","0","5","0","1","2","2","0","5","1","1","4","3","2","1","1","1","1","0","1","2","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","3","0","0","1","1","2","1","0","0","2","  49"
"OLARIA"," 63 829","0","0","5","2","3","1","3","1","2","2","1","3","3","2","2","0","1","0","3","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","  43"
"XI PENHA"," 326 878","  0","  2","  11","  13","  18","  7","  8","  6","  8","  18","  14","  9","  8","  4","  3","  6","  3","  6","  1","  1","  2","  3","  1","  2","  1","  0","  0","  0","  0","  0","  0","  3","  2","  1","  1","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","  3","  1","  1","  1","  2","  1","  2","  176"
"PENHA"," 73 792","0","0","2","2","7","0","1","2","2","7","4","2","2","0","0","4","1","4","0","1","1","0","0","1","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","  51"
"PENHA CIRCULAR"," 55 294","0","0","2","3","1","0","0","1","0","3","1","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","  20"
"BRÁS DE PINA"," 59 834","0","0","3","3","4","1","2","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","  24"
"CORDOVIL"," 45 810","0","1","3","0","1","1","1","2","1","3","1","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  19"
"PARADA DE LUCAS"," 23 889","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  5"
"VIGÁRIO GERAL"," 42 237","0","1","0","3","3","2","1","0","1","1","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","  20"
"JARDIM AMÉRICA"," 26 023","0","0","1","2","0","3","2","0","3","3","4","3","4","2","3","2","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","  37"
"XX ILHA DO GOVERNADOR"," 229 718","  0","  3","  1","  2","  4","  5","  9","  12","  5","  12","  14","  10","  8","  7","  7","  13","  2","  3","  5","  4","  4","  1","  2","  2","  1","  1","  1","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  1","  0","  0","  1","  2","  0","  2","  0","  1","  150"
"RIBEIRA"," 3 581","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","  2"
"ZUMBI"," 2 378","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  4"
"CACUIA"," 11 428","0","0","0","0","0","0","1","1","0","1","4","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  10"
"PITANGUEIRAS"," 10 674","0","0","0","0","0","0","0","2","0","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","  10"
"PRAIA DA BANDEIRA"," 6 716","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  4"
"COCOTÁ"," 5 242","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  8"
"BANCÁRIOS"," 13 379","0","0","0","0","0","1","0","3","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  9"
"FREGUESIA (ILHA DO GOVERNADOR)"," 20 177","0","0","0","0","1","0","1","2","0","0","0","0","2","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  11"
"JARDIM GUANABARA"," 32 034","0","0","0","0","0","0","1","1","0","1","0","0","0","3","2","4","0","3","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  21"
"JARDIM CARIOCA"," 27 583","0","0","0","0","1","0","2","0","0","4","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","  18"
"TAUA"," 35 341","0","0","0","0","0","1","1","0","0","0","1","0","1","1","1","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  12"
"MONERÓ"," 6 269","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  2"
"PORTUGUESA"," 27 315","0","2","1","0","2","0","1","1","0","0","1","4","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","  15"
"GALEÃO"," 25 869","0","0","0","1","0","1","2","1","2","5","3","1","0","0","1","0","0","0","0","2","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  24"
"CIDADE UNIVERSITÁRIA"," 1 732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"GERICINÓ","  0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"XXIX COMPLEXO DO ALEMÃO"," 67 983","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2"
"COMPLEXO DO ALEMÃO"," 67 983","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2"
"XXX MARÉ"," 131 517","  1","  0","  2","  2","  4","  1","  3","  1","  3","  4","  5","  2","  3","  10","  3","  1","  6","  2","  1","  2","  1","  1","  5","  1","  1","  3","  1","  4","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  78"
"MARÉ"," 131 517","  1","  0","  2","  2","  4","  1","  3","  1","  3","  4","  5","  2","  3","  10","  3","  1","  6","  2","  1","  2","  1","  1","  5","  1","  1","  3","  1","  4","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  78"
