Áreas de Planejamento, Regiões Administrativas e Bairros,População Censo 2000,Semana 01,Semana 02, Semana 03, Semana 04, Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10, Semana 11, Semana 12, Semana 13, Semana 14, Semana 15, Semana 16,Semana 17, Semana 18, Semana 19,Semana 20, Semana 21, Semana 22, Semana 23,Semana 24,Semana 25,Semana 26, Semana 27,Semana 28, Semana 29, Semana 30,Semana 31,Semana 32,Semana 33, Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42, Semana 43,Semana 44,Semana 45,Semana 46, Semana 47, Semana 48, Semana 49,Semana 50,Semana 51,Semana 52
CATUMBI, 12 967,4,11,26,25,35,31,27,25,42,41,42,14,20,13,8,3,2,1,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,
RIO COMPRIDO, 31 161,7,15,45,81,80,88,105,54,90,91,74,66,47,42,22,12,6,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,2,1,0,1,1,0,
CIDADE NOVA, 4 031,2,4,13,15,20,19,16,7,5,24,20,8,3,4,3,4,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESTÁCIO, 20 722,8,15,39,67,61,54,59,64,63,52,49,49,13,18,20,2,7,7,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,2,1,0,0,
VII SÃO CRISTOVÃO, 65 395,  21,  66,  202,  189,  160,  224,  234,  255,  216,  234,  158,  77,  48,  42,  34,  20,  11,  10,  5,  7,  6,  1,  2,  0,  0,  0,  1,  0,  0,  0,  0,  1,  2,  0,  0,  0,  0,  1,  0,  0,  0,  0,  1,  0,  0,  1,  2,  0,  4,  4,  2,  3,
SÃO CRISTOVÃO, 35 455,13,42,132,122,96,136,140,166,141,156,110,47,29,27,19,13,8,7,3,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,
MANGUEIRA, 11 311,4,7,23,19,23,33,29,39,23,38,15,12,13,5,8,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,
BENFICA, 18 629,4,17,47,48,41,55,65,50,52,40,33,18,6,10,7,3,2,3,2,1,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,
VASCO DA GAMA[1], ,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
XXI PAQUETÁ, 3 698,  3,  8,  30,  29,  11,  18,  18,  13,  29,  57,  59,  22,  18,  16,  5,  6,  1,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  2,  2,  3,  0,  1,  1,  1,
PAQUETÁ, 3 698,  3,  8,  30,  29,  11,  18,  18,  13,  29,  57,  59,  22,  18,  16,  5,  6,  1,  1,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  2,  2,  3,  0,  1,  1,  1,
XXIII SANTA TERESA, 39 163,  18,  67,  114,  97,  155,  92,  62,  70,  76,  146,  125,  79,  44,  37,  18,  20,  10,  3,  6,  4,  0,  0,  0,  1,  1,  1,  0,  2,  0,  0,  0,  1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  3,  5,  1,  1,  2,
SANTA TERESA, 39 163,  18,  67,  114,  97,  155,  92,  62,  70,  76,  146,  125,  79,  44,  37,  18,  20,  10,  3,  6,  4,  0,  0,  0,  1,  1,  1,  0,  2,  0,  0,  0,  1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  3,  5,  1,  1,  2,
ÁREA DE PLANEJAMENTO 2.1, 641 078,  68,  162,  402,  451,  558,  607,  639,  737, 1 177, 1 648, 1 597, 1 237,  885,  682,  583,  316,  218,  147,  150,  63,  26,  14,  11,  13,  10,  3,  2,  6,  4,  6,  3,  4,  3,  0,  1,  2,  1,  0,  0,  2,  4,  0,  3,  2,  5,  7,  9,  17,  20,  11,  5,  11,
IV BOTAFOGO, 234 713,  35,  79,  183,  184,  258,  175,  223,  301,  348,  571,  460,  333,  222,  226,  167,  81,  75,  36,  70,  10,  8,  5,  4,  7,  3,  3,  1,  4,  2,  3,  2,  3,  1,  0,  1,  1,  0,  0,  0,  1,  0,  0,  1,  1,  3,  1,  8,  9,  7,  5,  0,  5,
FLAMENGO, 52 510,2,15,29,30,43,15,24,36,40,62,54,34,33,31,30,10,6,4,7,1,2,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,1,
GLORIA, 10 986,1,9,20,23,26,14,10,16,29,49,43,20,23,16,6,4,10,2,2,3,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,
LARANJEIRAS, 45 299,7,9,28,42,55,29,25,28,57,106,56,47,42,25,28,20,11,5,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
CATETE, 20 617,2,17,35,33,56,20,10,12,46,83,57,42,27,26,18,13,14,3,4,1,1,1,1,2,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,5,1,1,2,0,1,
COSME VELHO, 7 313,0,1,3,7,5,2,2,5,12,17,13,7,6,5,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
BOTAFOGO, 76 962,22,28,64,40,63,77,137,170,132,216,212,166,82,115,73,31,28,18,48,5,4,1,2,1,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,2,
HUMAITÁ, 14 886,1,0,2,7,7,12,11,20,24,28,18,15,7,3,6,0,2,3,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
URCA, 6 140,0,0,2,2,3,6,4,14,8,10,7,2,2,5,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
V COPACABANA, 157 391,  15,  41,  116,  145,  159,  180,  225,  178,  243,  315,  302,  234,  165,  149,  105,  77,  50,  32,  28,  13,  4,  5,  3,  2,  3,  0,  0,  1,  1,  0,  1,  1,  1,  0,  0,  1,  0,  0,  0,  1,  2,  0,  2,  1,  0,  4,  0,  1,  7,  3,  2,  3,
LEME, 14 681,2,1,5,6,10,11,16,9,13,16,19,14,8,16,8,7,4,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,
COPACABANA, 142 710,13,40,111,139,149,169,209,169,230,299,283,220,157,133,97,70,46,27,24,12,4,5,2,2,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,1,7,3,2,2,
VI LAGOA, 178 374,  15,  31,  69,  67,  101,  164,  137,  153,  340,  470,  460,  360,  252,  156,  184,  84,  47,  44,  35,  20,  7,  3,  4,  3,  1,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  2,  1,  5,  3,  1,  3,  1,
IPANEMA, 46 813,1,7,6,10,20,31,32,29,98,108,117,113,40,22,30,9,11,5,6,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,
LEBLON, 45 539,1,9,16,20,21,50,44,33,82,86,76,52,37,33,34,15,13,8,6,4,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,
LAGOA, 19 367,5,0,6,5,8,8,9,10,22,13,20,11,6,3,9,1,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
JARDIM BOTÃNICO, 20 235,6,4,14,11,18,30,25,22,30,51,37,26,45,15,26,7,5,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
GÁVEA, 20 922,1,6,13,15,19,23,16,18,27,45,36,30,19,13,26,10,6,3,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
VIDIGAL, 15 643,0,3,12,4,12,19,9,38,77,154,159,119,92,66,55,38,8,25,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,
SÃO CONRADO, 9 854,1,2,2,2,3,3,2,3,4,13,15,9,13,4,4,4,4,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
XXVII ROCINHA, 70 600,  3,  11,  34,  55,  40,  88,  54,  105,  246,  292,  375,  310,  246,  151,  127,  74,  46,  35,  17,  20,  7,  1,  0,  1,  3,  0,  1,  1,  1,  2,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  2,  3,  2,  0,  2,
ROCINHA, 70 600,  3,  11,  34,  55,  40,  88,  54,  105,  246,  292,  375,  310,  246,  151,  127,  74,  46,  35,  17,  20,  7,  1,  0,  1,  3,  0,  1,  1,  1,  2,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  2,  3,  2,  0,  2,
ÁREA DE PLANEJAMENTO 2.2, 356 036,  68,  208,  435,  577, 1 074,  981,  900,  718,  653,  771,  636,  431,  284,  290,  167,  97,  48,  20,  27,  19,  10,  2,  4,  4,  0,  0,  2,  4,  1,  0,  1,  0,  0,  1,  1,  1,  1,  0,  2,  2,  4,  1,  3,  1,  1,  8,  6,  8,  9,  6,  4,  1,
VIII TIJUCA, 174 263,  37,  104,  246,  365,  602,  522,  483,  346,  399,  506,  419,  278,  194,  191,  115,  61,  36,  11,  15,  13,  7,  1,  4,  2,  0,  0,  2,  1,  1,  0,  1,  0,  0,  0,  0,  1,  0,  0,  0,  1,  3,  1,  3,  1,  1,  7,  4,  4,  6,  5,  1,  1,
PRAÇA DA BANDEIRA, 8 642,1,11,11,18,39,35,40,25,31,22,14,8,9,12,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,1,
TIJUCA, 158 390,36,85,219,326,544,462,417,285,335,431,339,220,152,128,85,44,28,6,9,6,5,1,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,2,0,2,1,0,5,3,2,3,2,1,0,
ALTO DA BOA VISTA, 7 231,0,8,16,21,19,25,26,36,33,53,66,50,33,51,23,13,8,5,5,7,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,2,0,0,
IX VILA ISABEL, 181 772,  31,  104,  189,  212,  472,  459,  417,  372,  254,  265,  217,  153,  90,  99,  52,  36,  12,  9,  12,  6,  3,  1,  0,  2,  0,  0,  0,  3,  0,  0,  0,  0,  0,  1,  1,  0,  1,  0,  2,  1,  1,  0,  0,  0,  0,  1,  2,  4,  3,  1,  3,  0,
MARACANÃ, 27 073,5,13,17,21,26,30,31,35,20,23,28,17,25,18,11,0,3,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
VILA ISABEL, 82 026,14,54,95,80,187,181,164,134,85,95,67,47,27,30,17,22,3,3,9,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,
ANDARAI, 36 112,6,12,27,60,108,121,95,84,62,71,57,39,14,22,14,8,3,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,
GRAJAU, 36 561,6,25,50,51,151,127,127,119,87,76,65,50,24,29,10,6,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,
ÁREA DE PLANEJAMENTO 3.1, 912 347,  441,  869, 1 766, 1 533, 1 438, 1 342, 1 281, 1 210, 1 607, 2 221, 1 794,  959,  587,  472,  233,  111,  59,  66,  23,  16,  42,  6,  9,  9,  8,  5,  2,  2,  2,  1,  3,  1,  6,  3,  1,  0,  0,  1,  1,  0,  5,  6,  4,  7,  5,  17,  28,  34,  27,  28,  9,  28,
X RAMOS, 156 251,  159,  284,  751,  703,  534,  309,  351,  311,  390,  634,  517,  311,  263,  245,  132,  52,  34,  48,  15,  12,  27,  2,  3,  2,  2,  1,  0,  0,  0,  0,  0,  0,  2,  1,  0,  0,  0,  0,  1,  0,  1,  5,  4,  6,  1,  9,  15,  17,  6,  10,  7,  4,
MANGUINHOS, 37 544,25,76,216,209,103,17,19,21,32,56,48,29,6,13,5,5,1,14,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,7,8,0,2,0,1,
BONSUCESSO, 18 103,79,129,338,280,318,196,229,191,174,288,231,149,116,86,44,14,10,15,4,4,20,0,2,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,2,0,4,6,7,3,0,1,2,
RAMOS, 36 775,33,43,145,170,93,69,90,86,151,206,183,86,104,110,73,26,19,10,8,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,3,2,2,1,5,4,1,
OLARIA, 63 829,22,36,52,44,20,27,13,13,33,84,55,47,37,36,10,7,4,9,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,3,2,0,
XI PENHA, 326 878,  110,  232,  560,  539,  210,  282,  244,  273,  431,  559,  500,  290,  122,  77,  40,  25,  15,  14,  6,  2,  4,  0,  0,  1,  0,  1,  0,  0,  2,  1,  2,  1,  0,  0,  1,  0,  0,  0,  0,  0,  2,  0,  0,  0,  1,  2,  4,  5,  5,  7,  0,  4,
PENHA, 73 792,25,58,119,104,51,56,23,21,57,95,70,39,35,22,15,6,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,5,0,2,
PENHA CIRCULAR, 55 294,5,10,24,19,7,14,5,6,4,14,15,9,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRÁS DE PINA, 59 834,16,18,54,37,19,19,20,16,29,32,26,15,9,6,1,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,
CORDOVIL, 45 810,8,15,36,44,34,91,139,133,120,92,120,58,16,7,5,4,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,
PARADA DE LUCAS, 23 889,8,12,25,38,10,14,14,28,22,26,29,11,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VIGÁRIO GERAL, 42 237,28,60,117,110,48,54,23,28,44,60,53,37,8,7,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
JARDIM AMÉRICA, 26 023,20,59,185,187,41,34,20,41,155,240,187,121,50,30,14,10,8,2,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,
XX ILHA DO GOVERNADOR, 229 718,  136,  226,  239,  129,  540,  543,  552,  418,  529,  730,  531,  235,  150,  125,  41,  30,  8,  3,  0,  2,  5,  4,  6,  6,  6,  3,  2,  2,  0,  0,  1,  0,  3,  2,  0,  0,  0,  1,  0,  0,  2,  1,  0,  1,  1,  4,  4,  8,  14,  9,  2,  20,
RIBEIRA, 3 581,1,4,6,0,13,6,13,5,12,7,3,2,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ZUMBI, 2 378,6,6,7,7,25,17,19,23,21,42,30,9,4,9,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CACUIA, 11 428,8,16,22,1,46,44,38,58,54,72,61,25,14,22,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,
PITANGUEIRAS, 10 674,11,7,6,8,32,40,42,21,54,85,45,20,8,6,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,
PRAIA DA BANDEIRA, 6 716,1,1,0,1,1,5,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
COCOTÁ, 5 242,10,17,12,5,24,25,27,26,37,38,22,15,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
BANCÁRIOS, 13 379,13,23,28,26,67,34,42,41,29,61,38,12,14,11,3,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
FREGUESIA (ILHA DO GOVERNADOR), 20 177,5,13,17,19,47,26,34,23,50,40,31,19,11,8,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,
JARDIM GUANABARA, 32 034,14,11,17,12,43,51,62,27,55,65,51,22,12,8,2,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
JARDIM CARIOCA, 27 583,19,37,16,8,36,34,45,40,35,73,61,16,9,13,3,0,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,
TAUA, 35 341,11,22,30,16,44,39,29,36,28,44,32,14,20,7,5,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,
MONERÓ, 6 269,3,5,9,3,12,12,17,11,10,13,9,6,4,2,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,
PORTUGUESA, 27 315,17,30,39,17,85,121,74,42,55,67,52,41,18,15,4,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,1,4,2,1,
GALEÃO, 25 869,17,33,27,6,64,87,104,59,84,115,86,32,25,20,2,9,6,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,2,
CIDADE UNIVERSITÁRIA, 1 732,0,1,3,0,1,2,4,5,3,5,7,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GERICINÓ,  0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
XXIX COMPLEXO DO ALEMÃO, 67 983,  0,  0,  0,  0,  0,  2,  0,  0,  8,  6,  8,  10,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
COMPLEXO DO ALEMÃO, 67 983,  0,  0,  0,  0,  0,  2,  0,  0,  8,  6,  8,  10,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,
XXX MARÉ, 131 517,  36,  127,  216,  162,  154,  206,  134,  208,  249,  292,  238,  113,  51,  25,  20,  4,  2,  1,  2,  0,  6,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  2,  5,  4,  2,  2,  0,  0,
MARÉ, 131 517,  36,  127,  216,  162,  154,  206,  134,  208,  249,  292,  238,  113,  51,  25,  20,  4,  2,  1,  2,  0,  6,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,  2,  5,  4,  2,  2,  0,  0,
ÁREA DE PLANEJAMENTO 3.2, 551 903,  161,  241,  524,  639,  742,  825, 1 067, 1 247,  902,  875,  773,  490,  335,  222,  127,  60,  49,  42,  30,  19,  9,  5,  10,  5,  0,  1,  1,  5,  2,  2,  3,  2,  4,  4,  0,  0,  1,  0,  3,  3,  1,  3,  6,  3,  5,  19,  11,  27,  23,  5,  9,  6,
XII INHAUMA, 128 576,  39,  60,  128,  126,  157,  152,  152,  199,  221,  221,  224,  128,  74,  45,  16,  15,  6,  11,  9,  2,  2,  4,  4,  4,  0,  0,  0,  2,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0,  1,  0,  0,  1,  1,  3,  6,  3,  12,  9,  1,  2,  1,
HIGIENÓPOLIS, 16 037,4,7,17,14,11,10,10,18,12,12,19,9,4,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
MARIA DA GRACA, 7 851,4,5,4,3,12,12,4,12,10,5,9,5,4,2,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,
DEL CASTILHO, 12 191,4,6,7,10,16,15,19,19,26,28,26,8,6,3,1,0,1,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
INHAÚMA, 42 792,11,22,55,52,64,49,48,74,83,70,78,37,24,23,8,3,5,4,2,1,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,4,0,0,0,
