"CIDADE NOVA"," 4 031","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  2"
"ESTÁCIO"," 20 722","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","  4"
"VII SÃO CRISTOVÃO"," 65 395","  1","  1","  0","  2","  2","  3","  1","  1","  2","  0","  1","  1","  3","  0","  2","  0","  1","  1","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  28"
"SÃO CRISTOVÃO"," 35 455","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","  6"
"MANGUEIRA"," 11 311","0","0","0","2","1","2","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  9"
"BENFICA"," 18 629","1","1","0","0","1","1","1","0","0","0","0","1","1","0","2","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  13"
"VASCO DA GAMA[1]"," ","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"XXI PAQUETÁ"," 3 698","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"PAQUETÁ"," 3 698","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"XXIII SANTA TERESA"," 39 163","  1","  2","  0","  0","  3","  1","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  13"
"SANTA TERESA"," 39 163","  1","  2","  0","  0","  3","  1","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  13"
"ÁREA DE PLANEJAMENTO 2.1"," 641 078","  15","  18","  11","  5","  26","  21","  20","  19","  14","  12","  9","  17","  5","  5","  1","  0","  2","  3","  2","  5","  5","  2","  2","  2","  0","  3","  7","  0","  2","  1","  0","  0","  0","  1","  0","  2","  0","  1","  0","  1","  0","  3","  1","  2","  3","  2","  1","  1","  1","  1","  4","  14","  272"
"IV BOTAFOGO"," 234 713","  4","  8","  2","  1","  10","  6","  7","  6","  2","  5","  1","  5","  4","  1","  0","  0","  1","  1","  0","  0","  3","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  1","  0","  0","  0","  1","  5","  81"
"FLAMENGO"," 52 510","2","3","1","0","1","3","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  14"
"GLORIA"," 10 986","1","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  5"
"LARANJEIRAS"," 45 299","0","0","0","0","0","2","2","1","0","1","0","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  11"
"CATETE"," 20 617","0","1","0","0","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  7"
"COSME VELHO"," 7 313","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  5"
"BOTAFOGO"," 76 962","1","4","1","1","2","1","3","2","1","3","0","2","2","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","3","  34"
"HUMAITÁ"," 14 886","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","  5"
"URCA"," 6 140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"V COPACABANA"," 157 391","  3","  1","  3","  2","  3","  4","  8","  7","  7","  2","  2","  4","  0","  1","  0","  0","  1","  0","  2","  0","  1","  0","  1","  1","  0","  1","  3","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  1","  0","  0","  1","  0","  1","  2","  6","  73"
"LEME"," 14 681","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  4"
"COPACABANA"," 142 710","3","0","3","2","3","4","8","7","6","2","2","3","0","1","0","0","1","0","2","0","1","0","1","1","0","1","3","0","1","0","0","0","0","1","0","0","0","0","0","1","0","2","0","0","1","0","0","1","0","1","2","5","  69"
"VI LAGOA"," 178 374","  5","  5","  4","  1","  6","  10","  4","  5","  3","  1","  1","  4","  0","  3","  1","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  1","  3","  64"
"IPANEMA"," 46 813","1","0","1","0","2","4","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","  15"
"LEBLON"," 45 539","0","3","2","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","  15"
"LAGOA"," 19 367","0","1","0","0","0","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  6"
"JARDIM BOTÃNICO"," 20 235","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  4"
"GÁVEA"," 20 922","1","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","  8"
"VIDIGAL"," 15 643","1","1","0","0","2","1","1","0","1","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  12"
"SÃO CONRADO"," 9 854","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  4"
"XXVII ROCINHA"," 70 600","  3","  4","  2","  1","  7","  1","  1","  1","  2","  4","  5","  4","  1","  0","  0","  0","  0","  1","  0","  3","  1","  1","  1","  1","  0","  2","  2","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  1","  0","  0","  0","  54"
"ROCINHA"," 70 600","  3","  4","  2","  1","  7","  1","  1","  1","  2","  4","  5","  4","  1","  0","  0","  0","  0","  1","  0","  3","  1","  1","  1","  1","  0","  2","  2","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  1","  0","  0","  0","  54"
"ÁREA DE PLANEJAMENTO 2.2"," 356 036","  9","  13","  6","  15","  26","  17","  12","  4","  7","  3","  5","  2","  2","  3","  6","  0","  1","  1","  1","  3","  2","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  7","  153"
"VIII TIJUCA"," 174 263","  4","  3","  2","  9","  7","  6","  5","  2","  3","  0","  1","  0","  1","  1","  1","  0","  0","  1","  0","  2","  1","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  3","  58"
"PRAÇA DA BANDEIRA"," 8 642","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  2"
"TIJUCA"," 158 390","3","3","1","8","7","6","5","2","3","0","1","0","1","1","1","0","0","1","0","2","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","  53"
"ALTO DA BOA VISTA"," 7 231","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  3"
"IX VILA ISABEL"," 181 772","  5","  10","  4","  6","  19","  11","  7","  2","  4","  3","  4","  2","  1","  2","  5","  0","  1","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  4","  95"
"MARACANÃ"," 27 073","0","3","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  6"
"VILA ISABEL"," 82 026","2","3","2","3","12","6","5","0","2","2","3","0","0","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","  49"
"ANDARAI"," 36 112","2","2","1","1","6","3","1","1","1","0","0","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  24"
"GRAJAU"," 36 561","1","2","1","2","0","2","0","1","1","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  16"
"ÁREA DE PLANEJAMENTO 3.1"," 912 347","  22","  28","  29","  26","  20","  19","  17","  19","  27","  20","  10","  12","  9","  14","  10","  5","  5","  4","  7","  6","  0","  1","  6","  0","  0","  2","  1","  3","  1","  2","  1","  0","  1","  0","  2","  0","  0","  1","  0","  0","  1","  0","  0","  3","  2","  0","  2","  1","  2","  0","  1","  10","  352"
"X RAMOS"," 156 251","  10","  9","  12","  11","  2","  5","  3","  5","  7","  7","  4","  5","  4","  3","  5","  0","  0","  1","  1","  2","  0","  1","  4","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  2","  0","  0","  2","  111"
"MANGUINHOS"," 37 544","3","4","3","3","1","0","0","0","2","2","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  21"
"BONSUCESSO"," 18 103","5","2","2","3","1","1","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","  23"
"RAMOS"," 36 775","1","1","5","3","0","2","1","3","2","1","3","1","3","1","3","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","  35"
"OLARIA"," 63 829","1","2","2","2","0","2","2","1","2","3","1","3","1","2","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","  32"
"XI PENHA"," 326 878","  7","  10","  13","  11","  9","  7","  9","  10","  7","  10","  5","  7","  3","  6","  5","  3","  5","  3","  4","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  7","  149"
"PENHA"," 73 792","3","3","7","3","3","1","2","2","2","2","1","1","0","2","2","2","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","  45"
"PENHA CIRCULAR"," 55 294","0","1","1","1","2","2","2","1","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  15"
"BRÁS DE PINA"," 59 834","2","1","1","4","1","1","3","5","1","6","1","3","1","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","  37"
"CORDOVIL"," 45 810","1","4","1","1","0","0","1","1","1","1","2","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  19"
"PARADA DE LUCAS"," 23 889","0","1","0","1","1","1","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  8"
"VIGÁRIO GERAL"," 42 237","0","0","2","1","2","1","0","1","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","  15"
"JARDIM AMÉRICA"," 26 023","1","0","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  10"
"XX ILHA DO GOVERNADOR"," 229 718","  2","  4","  0","  2","  7","  4","  4","  3","  10","  1","  1","  0","  0","  3","  0","  2","  0","  0","  1","  1","  0","  0","  0","  0","  0","  2","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  1","  55"
"RIBEIRA"," 3 581","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  1"
"ZUMBI"," 2 378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  1"
"CACUIA"," 11 428","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  3"
"PITANGUEIRAS"," 10 674","0","0","0","0","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  5"
"PRAIA DA BANDEIRA"," 6 716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"COCOTÁ"," 5 242","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  2"
"BANCÁRIOS"," 13 379","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  6"
"FREGUESIA (ILHA DO GOVERNADOR)"," 20 177","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  5"
"JARDIM GUANABARA"," 32 034","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","  7"
"JARDIM CARIOCA"," 27 583","1","1","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","  9"
"TAUA"," 35 341","0","0","0","0","1","1","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  6"
"MONERÓ"," 6 269","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  1"
"PORTUGUESA"," 27 315","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  4"
"GALEÃO"," 25 869","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  4"
"CIDADE UNIVERSITÁRIA"," 1 732","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  1"
"GERICINÓ","  0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"XXIX COMPLEXO DO ALEMÃO"," 67 983","  1","  2","  4","  1","  1","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  14"
"COMPLEXO DO ALEMÃO"," 67 983","  1","  2","  4","  1","  1","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  14"
"XXX MARÉ"," 131 517","  2","  3","  0","  1","  1","  2","  0","  1","  3","  1","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  23"
"MARÉ"," 131 517","  2","  3","  0","  1","  1","  2","  0","  1","  3","  1","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  23"
