"Área Programática, Regiões Administrativas e BairrosCordovilParada de Lucas","Pop. Censo 201045.20223.923","Jan44","Fev12","Mar02","Abr10","Mai30","Jun10","Jul00","Ago20","Set21","Out22","Nov00","Dez01","Total1612"
"Vigário GeralJardim AméricaXX Ilha Do GovernadorRibeiraZumbiCacuiaPitangueirasPraia da BandeiraCocotáBancáriosFreguesia (Ilha do Governador)Jardim Guanabara","41.82025.226 212 5743.5282.01611.01311.7565.9484.87712.51219.43732.213","6338103102154","4311000002012","106001000200","215000000102","164000000000","125000000010","012000000000","012001000000","100000000000","206000010200","003000000001","100000000000","191782105114679"
"Jardim CariocaTauáMoneróPortuguesaGaleãoCidade UniversitáriaXXIX Complexo do AlemãoComplexo do AlemãoXXX MaréMaréÁrea Programática 3.2XII InhaúmaHigienópolisMaria da Graça","24.84829.5676.47623.85622.9711.556 69 143 69 143 129 770 129 770 569 970 134 34915.7347.972","543270111144581131","120120221129100","010200001121401","000110111118410","200101110013210","010210552213200","01010033008300","100000220015500","000000110011510","00111022008200","10100000117100","000000000010310","109511121282810102114372"
"Del CastilhoInhaúmaEngenho da RainhaTomas CoelhoXIII MéierJacaréSão Francisco XavierRochaRiachueloSampaio","15.61045.69826.65922.676397.7829.2768.3438.76612.65310.895","14024701110","10002720001","01021600000","12001300001","0010901001","0020910000","0201500110","1112910101","2101600001","1001610000","0001500001","0200700000","71341015952326"

"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Engenho NovoLins de VasconcelosMéierTodos ds SantosCachambiEngenho de DentroÁgua SantaEncantado","42.17237.48749.82824.64642.41545.5408.75615.021","46844711","44501302","31400300","11400100","20101100","22000300","10100000","10221000","02110000","01000100","00101000","10100200","191728782113"
"PiedadeAboliçãoPilaresXVIII JacarezinhoJacarezinhoÁrea Programática 3.3XIV IrajáVila KosmosVicente de Carvalho","43.37811.35627.250 37 839 37 839 942 638 202 95218.27424.964","22500481311","4011128801","20311401211","21211411330","00222341512","0102226730","1000015621","0001122610","0010020900","30000201021","1101111101","300006402","18514993111041410"
"Vila da PenhaVista AlegreIrajáColégioXV MadureiraCampinhoQuintino BocaiúvaCavalcantiEngenheiro LealCascaduraMadureiraVaz LoboTuriaçuRocha MirandaHonório GurgelOswaldo CruzBento RibeiroMarechal HermesXXII AnchietaGuadalupeAnchieta","25.4658.62296.38229.245 372 55510.15631.18516.1416.11334.45650.10615.16717.24644.18821.98934.04043.70748.061 158 31847.14455.652","5042170500120101421541","213170400100000101411","2152120301101011112622","1162150110251021011540","1182131010130000124000","102190100001041011211","011120000000000110100","0221112000201100032320","014440000000000031110","106050000001030010220","000070010100000113210","002010000000000100000","1384316103314319105210410161631185"

"Área Programática, Regiões Administrativas e BairrosParque Anchieta","Pop. Censo 201026.212","Jan0","Fev0","Mar1","Abr0","Mai0","Jun0","Jul0","Ago0","Set0","Out0","Nov1","Dez0","Total2"
"Ricardo de AlbuquerqueXXV PavunaCoelho NetoAcariBarros Filho","29.310 208 81332.42327.34714.049","013113","29111","110020","18210","06011","08220","16000","12000","06102","03020","01000","01000","6737107"
"Costa BarrosPavunaParque ColumbiaÁrea Programática 4.0","28.44297.350 9 202909.368","26042","06030","44024","05032","04024","13018","1508","11010","03034","01037","10034","1009","11380302"
"XVI JacarepaguáJacarepaguáAnilGardênia AzulCuricicaFreguesia (Jacarepaguá)Pechincha","572.030157.32624.17217.71531.18970.51134.709","34322194","23110331","17511011","21420243","19102044","10300022","5100001","7120000","20511030","24910122","22211052","5000001","2073511773321"
"TaquaraTanquePraça SecaVila ValqueireXXXIV Cidade De DeusCidade de DeusXXIV Barra Da TijucaJoáItanhangáBarra da TijucaCamorim","102.12637.85664.14732.27936.51536.515300.82381838.415135.9241.970","24701170140","73221160030","31310070050","112200110060","30320050010","10110080080","10200030020","30100030020","433011130160","611100130091","503300120070","20020040110","38132814339203541"
"Vargem PequenaVargem GrandeRecreio dos BandeirantesGrumariÁrea Programática 5.1","27.25014.03982.240167671.041","002085","111056","101054","203045","112040","000034","001021","001032","015045","111038","221023","011018","87190491"
"XXXIII RealengoDeodoroVila MilitarCampo dos AfonsosJardim Sulacap","243.00610.84213.1841.36513.062","271001","101001","120000","110101","110100","40000","50010","30001","90001","90002","80000","40001","1132218"

"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"Magalhães BastosRealengo","24.430180.123","322","44","111","18","19","04","13","02","17","07","08","03","1288"
"XVII Bangu","428.035","58","46","42","34","29","30","16","29","36","29","15","14","378"
"Padre Miguel","64.228","5","10","4","5","5","5","1","4","6","3","4","2","54"
"Bangu","243.125","39","27","29","21","18","22","14","21","26","18","10","9","254"
"Senador Camará","105.515","14","9","9","8","6","3","1","4","4","8","1","3","70"
"Gericino Área Programática 5.2","15.167665.198","036","027","023","016","021","015","022","017","020","016","09","013","0235"
"XVIII Campo GrandeSantíssimoCampo GrandeSenador Vasconcelos","542.08441.458328.37030.600","211152","13741","14290","6120","13271","8151","7151","4020","12091","10250","5030","8320","12120687"
"InhoaíbaCosmosXXVI GuaratibaGuaratibaBarra de Guaratiba","64.64977.007123.114110.0493.577","1215100","1014120","21980","211070","21880","01770","0015111","2013100","11861","03633","11440","12550","1313114915"
"Pedra de GuaratibaÁrea Programática 5.3","9.488368.534","58","211","112","320","040","09","38","319","115","011","08","05","18166"
"XIX Santa CruzPaciência","368.53494.626","83","111","123","205","409","93","83","193","157","115","80","51","16643"
"Santa CruzSepetiba","217.33356.575","50","55","36","87","1813","24","41","412","62","33","71","31","6855"

