"URCA"," 6 140","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","  10"
"V COPACABANA"," 157 391","  3","  6","  3","  2","  3","  3","  5","  3","  3","  3","  3","  4","  5","  4","  3","  4","  6","  6","  5","  5","  3","  1","  0","  2","  2","  3","  1","  1","  0","  3","  4","  2","  2","  1","  3","  0","  0","  1","  0","  1","  0","  1","  1","  3","  1","  3","  4","  2","  2","  5","  2","  6","  139"
"LEME"," 14 681","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  11"
"COPACABANA"," 142 710","3","6","3","2","3","3","5","3","3","3","3","4","3","2","3","4","6","4","4","5","2","1","0","1","2","3","1","1","0","3","4","2","2","1","3","0","0","0","0","1","0","1","1","3","1","3","4","2","2","5","1","6","  128"
"VI LAGOA"," 178 374","  7","  2","  0","  1","  1","  0","  4","  0","  4","  1","  0","  2","  5","  2","  2","  3","  4","  1","  3","  5","  0","  4","  1","  1","  1","  2","  3","  2","  1","  4","  2","  4","  0","  4","  1","  3","  0","  1","  1","  0","  1","  2","  1","  6","  4","  0","  3","  4","  6","  3","  3","  2","  117"
"IPANEMA"," 46 813","2","0","0","0","0","0","1","0","0","1","0","1","2","1","1","0","1","0","0","1","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","  20"
"LEBLON"," 45 539","1","2","0","0","0","0","0","0","1","0","0","1","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","3","0","1","0","2","1","1","0","0","1","0","1","1","0","1","1","0","1","1","0","0","0","1","  25"
"LAGOA"," 19 367","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","  15"
"JARDIM BOTÃNICO"," 20 235","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","2","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","2","1","1","0","  17"
"GÁVEA"," 20 922","2","0","0","0","0","0","2","0","2","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","  17"
"VIDIGAL"," 15 643","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","1","0","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","  12"
"SÃO CONRADO"," 9 854","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","1","  11"
"XXVII ROCINHA"," 70 600","  5","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  2","  1","  0","  1","  2","  2","  3","  0","  1","  1","  1","  1","  4","  2","  0","  3","  2","  0","  0","  5","  2","  0","  0","  0","  0","  2","  2","  2","  2","  2","  53"
"ROCINHA"," 70 600","  5","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  2","  1","  0","  1","  2","  2","  3","  0","  1","  1","  1","  1","  4","  2","  0","  3","  2","  0","  0","  5","  2","  0","  0","  0","  0","  2","  2","  2","  2","  2","  53"
"ÁREA DE PLANEJAMENTO 2.2"," 356 036","  3","  3","  2","  1","  5","  1","  5","  4","  1","  4","  3","  3","  2","  2","  3","  2","  9","  14","  5","  7","  8","  7","  3","  6","  2","  6","  2","  1","  2","  2","  8","  3","  2","  4","  4","  3","  4","  3","  5","  3","  2","  5","  2","  3","  5","  3","  6","  4","  5","  9","  8","  6","  215"
"VIII TIJUCA"," 174 263","  2","  1","  1","  1","  4","  1","  1","  2","  1","  4","  2","  3","  0","  0","  2","  2","  5","  6","  4","  3","  4","  3","  1","  4","  0","  1","  0","  1","  1","  0","  3","  1","  2","  0","  1","  1","  2","  2","  3","  1","  0","  3","  0","  3","  1","  1","  3","  2","  3","  5","  2","  4","  103"
"PRAÇA DA BANDEIRA"," 8 642","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  4"
"TIJUCA"," 158 390","2","1","1","1","4","1","1","2","1","4","1","2","0","0","2","2","5","6","4","3","4","3","1","4","0","1","0","1","1","0","3","1","2","0","0","0","2","2","3","1","0","2","0","2","1","1","3","2","2","5","2","4","  96"
"ALTO DA BOA VISTA"," 7 231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","  3"
"IX VILA ISABEL"," 181 772","  1","  2","  1","  0","  1","  0","  4","  2","  0","  0","  1","  0","  2","  2","  1","  0","  4","  8","  1","  4","  4","  4","  2","  2","  2","  5","  2","  0","  1","  2","  5","  2","  0","  4","  3","  2","  2","  1","  2","  2","  2","  2","  2","  0","  4","  2","  3","  2","  2","  4","  6","  2","  112"
"MARACANÃ"," 27 073","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","1","2","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","  15"
"VILA ISABEL"," 82 026","0","2","0","0","1","0","2","1","0","0","0","0","0","1","0","0","0","2","0","0","2","1","1","0","0","1","0","0","0","1","4","1","0","1","0","0","0","0","0","0","1","2","1","0","1","0","3","1","1","1","3","1","  36"
"ANDARAI"," 36 112","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","1","0","1","2","0","0","0","1","0","0","1","0","1","1","0","1","1","1","0","1","0","2","0","0","1","1","0","3","1","  27"
"GRAJAU"," 36 561","0","0","0","0","0","0","1","0","0","0","1","0","2","1","1","0","4","3","0","2","2","1","0","1","1","1","0","0","0","1","0","1","0","1","3","0","1","0","1","1","0","0","0","0","0","1","0","0","0","3","0","0","  34"
"ÁREA DE PLANEJAMENTO 3.1"," 912 347","  10","  0","  2","  2","  4","  5","  2","  4","  2","  4","  6","  11","  4","  6","  3","  7","  3","  6","  5","  8","  6","  5","  3","  6","  1","  4","  8","  10","  12","  12","  12","  8","  9","  5","  4","  2","  7","  5","  4","  2","  6","  3","  3","  6","  9","  11","  8","  17","  21","  21","  15","  18","  357"
"X RAMOS"," 156 251","  4","  0","  0","  0","  0","  0","  1","  1","  0","  2","  0","  3","  0","  2","  1","  4","  1","  2","  2","  1","  3","  1","  2","  1","  0","  1","  0","  3","  1","  4","  4","  1","  2","  0","  1","  0","  2","  0","  1","  0","  4","  0","  2","  2","  1","  0","  3","  5","  5","  6","  2","  4","  85"
"MANGUINHOS"," 37 544","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  9"
"BONSUCESSO"," 18 103","2","0","0","0","0","0","0","0","0","0","0","2","0","1","1","4","0","1","2","0","2","0","0","1","0","0","0","1","1","3","2","1","0","0","1","0","0","0","0","0","3","0","0","2","0","0","1","1","4","1","2","0","  39"
"RAMOS"," 36 775","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","2","0","0","0","1","4","1","5","0","1","  23"
"OLARIA"," 63 829","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","  14"
"XI PENHA"," 326 878","  0","  0","  0","  1","  1","  1","  1","  0","  1","  1","  2","  1","  3","  2","  1","  2","  1","  1","  1","  1","  1","  1","  0","  1","  0","  2","  4","  0","  3","  2","  2","  3","  4","  2","  1","  2","  4","  3","  1","  1","  2","  2","  0","  1","  2","  3","  0","  2","  8","  6","  3","  2","  89"
"PENHA"," 73 792","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","2","2","0","1","0","1","0","0","2","1","0","0","  17"
"PENHA CIRCULAR"," 55 294","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","  7"
"BRÁS DE PINA"," 59 834","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","  15"
"CORDOVIL"," 45 810","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","2","0","0","  9"
"PARADA DE LUCAS"," 23 889","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","  10"
"VIGÁRIO GERAL"," 42 237","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","1","0","0","0","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","  12"
"JARDIM AMÉRICA"," 26 023","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2","3","1","  19"
"XX ILHA DO GOVERNADOR"," 229 718","  6","  0","  2","  1","  3","  4","  0","  3","  1","  1","  4","  7","  1","  2","  1","  1","  0","  2","  2","  6","  2","  3","  1","  4","  1","  1","  4","  6","  8","  5","  6","  4","  3","  3","  2","  0","  1","  2","  1","  0","  0","  1","  1","  3","  4","  7","  4","  9","  5","  6","  9","  10","  163"
"RIBEIRA"," 3 581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","  2"
"ZUMBI"," 2 378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","  2"
"CACUIA"," 11 428","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  8"
"PITANGUEIRAS"," 10 674","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","  5"
"PRAIA DA BANDEIRA"," 6 716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"COCOTÁ"," 5 242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","1","  9"
"BANCÁRIOS"," 13 379","2","0","1","0","0","0","0","1","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","2","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","1","0","1","1","  30"
"FREGUESIA (ILHA DO GOVERNADOR)"," 20 177","1","0","0","1","2","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","2","  19"
"JARDIM GUANABARA"," 32 034","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","2","0","  13"
"JARDIM CARIOCA"," 27 583","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","1","1","0","0","2","1","3","  21"
"TAUA"," 35 341","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","2","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","  12"
"MONERÓ"," 6 269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","  8"
"PORTUGUESA"," 27 315","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","2","0","1","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","1","1","  18"
"GALEÃO"," 25 869","0","0","0","0","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","  11"
"CIDADE UNIVERSITÁRIA"," 1 732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","  5"
"GERICINÓ","  0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"XXIX COMPLEXO DO ALEMÃO"," 67 983","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  1","  2","  0","  2","  9"
"COMPLEXO DO ALEMÃO"," 67 983","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  1","  2","  0","  2","  9"
"XXX MARÉ"," 131 517","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  1","  0","  0","  2","  1","  1","  0","  11"
"MARÉ"," 131 517","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  1","  0","  0","  2","  1","  1","  0","  11"
