"RIO COMPRIDO"," 31 161","9","18","13","12","7","26","15","22","42","45","53","64","82","70","68","48","37","10","10","7","5","6","2","3","3","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","3","  686"
"CIDADE NOVA"," 4 031","3","3","11","5","5","1","3","13","18","15","18","18","15","14","8","11","9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","  174"
"ESTÁCIO"," 20 722","7","14","15","11","4","8","24","21","21","22","34","32","55","36","28","24","11","6","6","3","1","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","  394"
"VII SÃO CRISTOVÃO"," 65 395","  60","  56","  70","  61","  39","  41","  98","  140","  151","  162","  236","  240","  289","  293","  211","  171","  108","  64","  46","  21","  21","  14","  7","  5","  2","  3","  0","  3","  1","  1","  2","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  1","  2","  1","  2","  2","  3","  3","  2","  3","  1","  5"," 2 644"
"SÃO CRISTOVÃO"," 35 455","18","25","28","17","21","27","53","69","81","81","129","125","140","149","86","74","50","27","21","8","7","9","3","1","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","2","0","1","1","1","0"," 1 261"
"MANGUEIRA"," 11 311","4","3","6","3","5","6","15","25","31","44","56","66","90","97","90","62","36","24","15","9","6","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","0","2","  707"
"BENFICA"," 18 629","38","28","36","41","13","8","30","46","39","37","51","49","59","47","35","35","22","13","10","4","8","3","1","3","1","0","0","2","0","1","2","0","0","0","1","0","0","1","0","0","0","1","0","1","0","2","1","3","1","0","0","3","  676"
"VASCO DA GAMA[1]"," ","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"XXI PAQUETÁ"," 3 698","  0","  1","  2","  1","  0","  2","  6","  3","  0","  8","  3","  3","  17","  16","  10","  10","  15","  5","  3","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  107"
"PAQUETÁ"," 3 698","  0","  1","  2","  1","  0","  2","  6","  3","  0","  8","  3","  3","  17","  16","  10","  10","  15","  5","  3","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  107"
"XXIII SANTA TERESA"," 39 163","  14","  45","  34","  30","  22","  25","  46","  41","  43","  56","  70","  73","  86","  83","  72","  38","  36","  17","  15","  6","  3","  2","  1","  1","  1","  1","  0","  2","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  2","  0","  0","  1","  0","  1","  1","  0","  0","  1","  2","  1","  0","  2","  877"
"SANTA TERESA"," 39 163","  14","  45","  34","  30","  22","  25","  46","  41","  43","  56","  70","  73","  86","  83","  72","  38","  36","  17","  15","  6","  3","  2","  1","  1","  1","  1","  0","  2","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  2","  0","  0","  1","  0","  1","  1","  0","  0","  1","  2","  1","  0","  2","  877"
"ÁREA DE PLANEJAMENTO 2.1"," 641 078","  61","  119","  124","  55","  80","  120","  161","  139","  175","  244","  330","  342","  554","  572","  479","  389","  269","  167","  87","  61","  27","  11","  18","  17","  15","  11","  11","  2","  3","  3","  0","  1","  1","  3","  1","  2","  5","  0","  1","  1","  1","  2","  5","  7","  3","  2","  13","  12","  23","  13","  3","  20"," 4 765"
"IV BOTAFOGO"," 234 713","  21","  55","  60","  25","  30","  58","  79","  51","  68","  130","  163","  150","  247","  216","  149","  118","  92","  50","  53","  23","  13","  3","  6","  4","  3","  3","  4","  1","  1","  1","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  1","  5","  4","  0","  0","  3","  2","  7","  6","  3","  6"," 1 917"
"FLAMENGO"," 52 510","5","6","4","2","3","6","5","5","9","20","25","16","36","24","18","9","9","10","7","5","3","1","2","2","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","3","1","0","2","  242"
"GLORIA"," 10 986","5","6","8","3","1","5","6","6","8","26","16","27","33","22","21","17","10","5","6","5","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","  244"
"LARANJEIRAS"," 45 299","0","13","12","4","5","10","14","8","19","21","31","30","47","28","22","15","12","6","11","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","0","  320"
"CATETE"," 20 617","2","7","16","10","4","8","12","12","6","19","11","16","28","42","32","38","27","9","8","4","3","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","1","  321"
"COSME VELHO"," 7 313","0","0","0","0","2","1","4","1","1","3","1","5","10","7","4","7","4","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","  57"
"BOTAFOGO"," 76 962","6","18","18","4","10","21","25","14","23","33","49","47","70","76","36","28","25","13","21","3","3","0","2","1","1","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1","1","1","1","2","2","  564"
"HUMAITÁ"," 14 886","2","1","1","0","2","0","6","1","1","5","25","4","13","10","11","3","5","4","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","  99"
"URCA"," 6 140","1","4","1","2","3","7","7","4","1","3","5","5","10","7","5","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","  70"
"V COPACABANA"," 157 391","  20","  33","  33","  10","  12","  32","  34","  23","  28","  46","  53","  64","  91","  110","  71","  45","  26","  17","  3","  9","  5","  2","  3","  1","  2","  2","  0","  1","  0","  0","  0","  0","  1","  2","  0","  0","  2","  0","  0","  0","  1","  1","  0","  2","  0","  1","  3","  5","  6","  3","  0","  5","  808"
"LEME"," 14 681","4","3","5","0","0","3","1","2","3","6","6","11","6","5","3","2","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","  67"
"COPACABANA"," 142 710","16","30","28","10","12","29","33","21","25","40","47","53","85","105","68","43","23","16","3","9","5","1","3","1","2","2","0","1","0","0","0","0","0","2","0","0","2","0","0","0","1","1","0","2","0","1","3","4","6","3","0","5","  741"
"VI LAGOA"," 178 374","  6","  14","  16","  11","  24","  15","  30","  45","  33","  31","  64","  71","  129","  128","  106","  89","  66","  45","  15","  16","  4","  0","  7","  7","  9","  1","  3","  0","  0","  1","  0","  1","  0","  1","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  2","  3","  7","  2","  0","  4"," 1 011"
"IPANEMA"," 46 813","0","1","2","3","3","1","3","9","5","4","11","21","29","27","15","13","11","5","2","4","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","2","0","0","1","  181"
"LEBLON"," 45 539","0","3","5","1","6","6","14","9","17","5","12","13","25","17","22","22","11","7","1","2","3","0","3","1","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","0","  214"
"LAGOA"," 19 367","0","2","0","1","2","1","0","3","0","8","4","7","10","8","3","7","3","4","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","  68"
"JARDIM BOTÃNICO"," 20 235","0","1","5","2","5","2","4","10","5","4","16","9","14","12","12","8","6","4","0","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","  125"
"GÁVEA"," 20 922","3","0","1","0","2","1","2","1","4","3","7","8","11","12","11","9","8","3","4","4","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","  100"
"VIDIGAL"," 15 643","3","4","3","3","2","2","5","11","2","6","14","13","36","42","37","25","22","17","4","3","0","0","2","2","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","  264"
"SÃO CONRADO"," 9 854","0","3","0","1","4","2","2","2","0","1","0","0","4","10","6","5","5","5","3","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","  59"
"XXVII ROCINHA"," 70 600","  14","  17","  15","  9","  14","  15","  18","  20","  46","  37","  50","  57","  87","  118","  153","  137","  85","  55","  16","  13","  5","  6","  2","  5","  1","  5","  4","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  2","  0","  5","  2","  3","  2","  0","  5"," 1 029"
"ROCINHA"," 70 600","  14","  17","  15","  9","  14","  15","  18","  20","  46","  37","  50","  57","  87","  118","  153","  137","  85","  55","  16","  13","  5","  6","  2","  5","  1","  5","  4","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  2","  0","  5","  2","  3","  2","  0","  5"," 1 029"
"ÁREA DE PLANEJAMENTO 2.2"," 356 036","  45","  111","  117","  113","  89","  88","  188","  233","  285","  350","  482","  502","  861","  791","  592","  400","  310","  173","  156","  96","  32","  43","  8","  7","  6","  1","  4","  1","  2","  3","  4","  1","  0","  1","  1","  4","  2","  1","  3","  0","  3","  4","  1","  1","  1","  1","  6","  5","  8","  6","  8","  14"," 6 164"
"VIII TIJUCA"," 174 263","  18","  37","  38","  39","  48","  44","  79","  92","  149","  149","  260","  232","  461","  378","  270","  180","  128","  62","  68","  42","  13","  16","  6","  4","  1","  0","  1","  0","  1","  2","  2","  1","  0","  1","  1","  1","  1","  1","  1","  0","  2","  1","  0","  0","  1","  0","  1","  3","  3","  2","  3","  8"," 2 851"
"PRAÇA DA BANDEIRA"," 8 642","1","1","1","4","2","3","4","2","8","7","20","11","25","21","17","17","7","2","7","4","0","0","1","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","  170"
"TIJUCA"," 158 390","17","36","34","34","44","38","70","78","133","127","224","203","420","327","231","158","118","53","54","33","13","16","5","2","0","0","1","0","0","2","2","1","0","0","1","1","1","1","1","0","2","1","0","0","1","0","1","3","3","2","2","8"," 2 502"
"ALTO DA BOA VISTA"," 7 231","0","0","3","1","2","3","5","12","8","15","16","18","16","30","22","5","3","7","7","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  179"
"IX VILA ISABEL"," 181 772","  27","  74","  79","  74","  41","  44","  109","  141","  136","  201","  222","  270","  400","  413","  322","  220","  182","  111","  88","  54","  19","  27","  2","  3","  5","  1","  3","  1","  1","  1","  2","  0","  0","  0","  0","  3","  1","  0","  2","  0","  1","  3","  1","  1","  0","  1","  5","  2","  5","  4","  5","  6"," 3 313"
"MARACANÃ"," 27 073","1","3","4","6","8","6","10","10","8","16","17","12","36","39","22","19","8","10","9","7","0","4","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","  262"
"VILA ISABEL"," 82 026","11","38","36","33","17","19","48","60","57","80","111","142","189","203","161","112","111","62","50","32","9","18","1","2","5","1","1","0","0","0","2","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","4","1","1","0","3","4"," 1 629"
"ANDARAI"," 36 112","8","20","20","14","5","10","24","36","30","38","38","37","78","57","53","42","23","17","10","11","5","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","2","2","1","  588"
"GRAJAU"," 36 561","7","13","19","21","11","9","27","35","41","67","56","79","97","114","86","47","40","22","19","4","5","3","0","0","0","0","1","0","0","1","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","1","1","1","1","2","0","0","  834"
"ÁREA DE PLANEJAMENTO 3.1"," 912 347","  250","  367","  484","  465","  374","  433","  624","  794","  953"," 1 234"," 1 387"," 1 457"," 1 978"," 1 848"," 1 386"," 1 002","  718","  525","  389","  204","  147","  110","  58","  27","  21","  13","  18","  7","  4","  14","  0","  3","  7","  4","  9","  6","  4","  2","  6","  2","  4","  14","  9","  13","  14","  21","  22","  22","  19","  30","  23","  18"," 17 543"
"X RAMOS"," 156 251","  103","  148","  166","  192","  122","  145","  245","  272","  282","  362","  379","  392","  509","  468","  362","  270","  127","  110","  77","  41","  35","  20","  16","  11","  6","  1","  6","  3","  1","  3","  0","  1","  3","  0","  5","  1","  1","  1","  0","  1","  2","  8","  0","  5","  5","  5","  9","  8","  6","  14","  5","  9"," 4 963"
"MANGUINHOS"," 37 544","13","31","33","28","18","13","26","54","46","62","73","64","105","122","82","36","8","14","7","6","7","2","1","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","  861"
"BONSUCESSO"," 18 103","40","37","55","65","42","58","105","111","125","147","134","132","176","155","125","106","57","46","31","27","12","8","4","2","1","1","2","1","0","2","0","0","1","0","0","0","1","0","0","0","0","3","0","0","0","2","0","4","1","3","3","2"," 1 827"
"RAMOS"," 36 775","31","60","55","70","35","54","88","71","75","106","108","127","146","116","106","81","44","29","22","6","11","8","7","1","1","0","2","1","0","1","0","0","0","0","3","1","0","1","0","1","0","2","0","2","1","3","5","1","3","6","1","2"," 1 494"
"OLARIA"," 63 829","19","20","23","29","27","20","26","36","36","47","64","69","82","75","49","47","18","21","17","2","5","2","4","4","3","0","1","1","1","0","0","1","2","0","2","0","0","0","0","0","1","3","0","3","4","0","4","2","2","5","0","4","  781"
"XI PENHA"," 326 878","  103","  145","  219","  162","  154","  192","  215","  232","  311","  364","  387","  453","  494","  542","  425","  345","  263","  209","  119","  80","  76","  61","  29","  11","  11","  10","  10","  4","  2","  4","  0","  2","  2","  1","  3","  3","  2","  0","  4","  1","  0","  5","  7","  8","  6","  15","  11","  13","  13","  13","  17","  7"," 5 765"
"PENHA"," 73 792","51","56","49","50","57","55","62","60","82","109","87","157","139","154","93","80","53","37","21","16","14","14","15","5","1","5","5","2","0","1","0","1","0","0","1","0","0","0","2","0","0","3","3","5","2","6","7","2","4","5","7","5"," 1 583"
"PENHA CIRCULAR"," 55 294","13","11","20","13","13","10","14","12","13","22","43","36","38","29","25","6","29","11","4","0","3","2","4","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","1","3","2","2","1","0","  389"
"BRÁS DE PINA"," 59 834","11","27","42","24","19","25","32","40","50","56","55","59","68","62","47","32","16","24","6","3","6","3","1","2","6","1","2","0","0","1","0","1","0","0","1","1","0","0","0","0","0","1","1","1","1","3","2","2","3","1","8","0","  746"
"CORDOVIL"," 45 810","7","9","12","5","10","13","20","18","23","28","58","50","60","71","52","47","23","19","8","7","5","7","2","3","2","1","2","1","0","1","0","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","2","0","1","0","  573"
"PARADA DE LUCAS"," 23 889","4","1","8","10","13","6","3","12","9","14","17","19","24","19","19","11","3","6","3","1","1","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","0","2","0","1","0","0","  214"
"VIGÁRIO GERAL"," 42 237","3","11","23","19","16","37","31","34","44","54","65","60","63","76","48","42","31","42","17","14","15","10","3","1","0","0","0","1","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","1","1","1","0","1","2","0","0","2","  772"
"JARDIM AMÉRICA"," 26 023","14","30","65","41","26","46","53","56","90","81","62","72","102","131","141","127","108","70","60","39","32","25","3","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","3","0","4","0","0"," 1 488"
"XX ILHA DO GOVERNADOR"," 229 718","  21","  42","  49","  68","  65","  55","  99","  169","  226","  345","  436","  419","  625","  474","  427","  284","  230","  147","  140","  66","  19","  20","  8","  2","  3","  1","  1","  0","  1","  7","  0","  0","  2","  2","  1","  2","  1","  1","  2","  0","  2","  1","  2","  0","  3","  1","  2","  1","  0","  3","  1","  2"," 4 478"
"RIBEIRA"," 3 581","0","0","0","1","0","0","2","4","0","6","1","3","9","6","7","0","1","3","0","3","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  50"
"ZUMBI"," 2 378","0","0","0","1","2","1","1","2","3","8","3","5","10","8","9","11","12","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  84"
"CACUIA"," 11 428","2","2","4","4","6","5","5","4","15","24","20","22","30","27","40","18","16","8","7","6","4","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","  275"
"PITANGUEIRAS"," 10 674","2","3","0","3","0","6","5","11","14","8","15","27","57","43","39","19","23","17","14","4","1","3","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","  319"
"PRAIA DA BANDEIRA"," 6 716","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  2"
"COCOTÁ"," 5 242","3","2","2","5","2","1","3","11","18","23","32","31","44","28","23","19","18","9","12","5","2","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","  300"
"BANCÁRIOS"," 13 379","0","1","3","2","7","2","14","11","19","44","47","41","90","37","44","39","25","19","15","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","  475"
"FREGUESIA (ILHA DO GOVERNADOR)"," 20 177","1","2","0","3","5","4","5","13","16","31","31","38","25","32","20","15","11","6","6","1","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","  274"
"JARDIM GUANABARA"," 32 034","1","0","4","3","4","6","5","8","13","12","27","25","42","21","15","11","14","9","5","5","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","  237"
"JARDIM CARIOCA"," 27 583","4","9","6","9","8","4","16","22","31","50","56","59","78","71","53","31","22","21","13","10","2","1","2","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","  583"
"TAUA"," 35 341","4","9","10","13","12","16","20","30","35","64","85","61","79","71","53","54","33","19","22","8","1","3","3","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","  710"
"MONERÓ"," 6 269","1","4","3","6","4","1","3","12","9","1","20","5","20","14","16","4","8","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  135"
"PORTUGUESA"," 27 315","0","4","13","11","5","2","7","14","25","41","56","51","61","33","33","27","16","7","14","4","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","  429"
"GALEÃO"," 25 869","2","6","4","7","9","7","13","27","28","32","42","50","74","82","75","36","31","27","23","8","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","  594"
"CIDADE UNIVERSITÁRIA"," 1 732","1","0","0","0","1","0","0","0","0","1","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  11"
"GERICINÓ","  0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","  0"
"XXIX COMPLEXO DO ALEMÃO"," 67 983","  2","  2","  2","  0","  4","  0","  9","  18","  28","  38","  70","  82","  149","  163","  51","  25","  44","  27","  18","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  734"
"COMPLEXO DO ALEMÃO"," 67 983","  2","  2","  2","  0","  4","  0","  9","  18","  28","  38","  70","  82","  149","  163","  51","  25","  44","  27","  18","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  734"
"XXX MARÉ"," 131 517","  21","  30","  48","  43","  29","  41","  56","  103","  106","  125","  115","  111","  201","  201","  121","  78","  54","  32","  35","  15","  17","  9","  5","  3","  1","  1","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 1 603"
