"Planning Area","Administrative.Region","Neighborhood","Population","Ref."
"Planning Area 3.2","XIII Méier","Abolição","397,782","[14]"
"Planning Area 3.2","XIII Méier","Água Santa","397,782","[14]"
"Planning Area 3.2","XIII Méier","Cachambi","397,782","[14]"
"Planning Area 3.2","XIII Méier","Encantado","397,782","[14]"
"Planning Area 3.2","XIII Méier","Engenho de Dentro","397,782","[14]"
"Planning Area 3.2","XIII Méier","Engenho Novo","397,782","[14]"
"Planning Area 3.2","XIII Méier","Jacaré","397,782","[14]"
"Planning Area 3.2","XIII Méier","Lins de Vasconcelos","397,782","[14]"
"Planning Area 3.2","XIII Méier","Méier","397,782","[14]"
"Planning Area 3.2","XIII Méier","Piedade","397,782","[14]"
"Planning Area 3.2","XIII Méier","Pilares","397,782","[14]"
"Planning Area 3.2","XIII Méier","Riachuelo","397,782","[14]"
"Planning Area 3.2","XIII Méier","Rocha","397,782","[14]"
"Planning Area 3.2","XIII Méier","Sampaio","397,782","[14]"
"Planning Area 3.2","XIII Méier","São Francisco Xavier","397,782","[14]"
"Planning Area 3.2","XIII Méier","Todos os Santos","397,782","[14]"
"Planning Area 3.3","XIV Irajá","Colégio","202,952","[15]"
"Planning Area 3.3","XIV Irajá","Irajá","202,952","[15]"
"Planning Area 3.3","XIV Irajá","Vicente de Carvalho","202,952","[15]"
"Planning Area 3.3","XIV Irajá","Vila Cosmos","202,952","[15]"
"Planning Area 3.3","XIV Irajá","Vila da Penha","202,952","[15]"
"Planning Area 3.3","XIV Irajá","Vista Alegre","202,952","[15]"
"Planning Area 3.3","XV Madureira","Bento Ribeiro","372,555","[16]"
"Planning Area 3.3","XV Madureira","Campinho","372,555","[16]"
"Planning Area 3.3","XV Madureira","Cascadura","372,555","[16]"
"Planning Area 3.3","XV Madureira","Cavalcanti","372,555","[16]"
"Planning Area 3.3","XV Madureira","Engenheiro Leal","372,555","[16]"
"Planning Area 3.3","XV Madureira","Honório Gurgel","372,555","[16]"
"Planning Area 3.3","XV Madureira","Madureira","372,555","[16]"
"Planning Area 3.3","XV Madureira","Marechal Hermes","372,555","[16]"
"Planning Area 3.3","XV Madureira","Oswaldo Cruz","372,555","[16]"
"Planning Area 3.3","XV Madureira","Quintino Bocaiúva","372,555","[16]"
"Planning Area 3.3","XV Madureira","Rocha Miranda","372,555","[16]"
"Planning Area 3.3","XV Madureira","Turiaçu","372,555","[16]"
"Planning Area 3.3","XV Madureira","Vaz Lobo","372,555","[16]"
"Planning Area 4.0","XVI Jacarepaguá","Anil","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Curicica","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Freguesia (Jacarepaguá)","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Gardênia Azul","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Jacarepaguá","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Pechincha","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Praça Seca","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Tanque","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Taquara","572,030","[17]"
"Planning Area 4.0","XVI Jacarepaguá","Vila Valqueire","572,030","[17]"
"Planning Area 5.1","XVII Bangu","Bangu","412,868","[18]"
"Planning Area 5.1","XVII Bangu","Gericinó","412,868","[18]"
"Planning Area 5.1","XVII Bangu","Padre Miguel","412,868","[18]"
"Planning Area 5.1","XVII Bangu","Senador Camará","412,868","[18]"
"Planning Area 5.2","XVIII Campo Grande","Campo Grande","542,084","[19]"
"Planning Area 5.2","XVIII Campo Grande","Cosmos","542,084","[19]"
"Planning Area 5.2","XVIII Campo Grande","Inhoaíba","542,084","[19]"
"Planning Area 5.2","XVIII Campo Grande","Santíssimo","542,084","[19]"
"Planning Area 5.2","XVIII Campo Grande","Senador Vasconcelos","542,084","[19]"
"Planning Area 5.3","XIX Santa Cruz","Paciência","368,534","[20]"
"Planning Area 5.3","XIX Santa Cruz","Santa Cruz","368,534","[20]"
"Planning Area 5.3","XIX Santa Cruz","Sepetiba","368,534","[20]"
"Planning Area 3.1","XX Ilha do Governador","Bancários","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Cacuia","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Cidade Universitária","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Cocotá","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Freguesia (Ilha do Governador)","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Galeão","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Jardim Carioca","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Jardim Guanabara","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Moneró","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Pitangueiras","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Portuguesa","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Praia da Bandeira","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Ribeira","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Tauá","212,574","[21]"
"Planning Area 3.1","XX Ilha do Governador","Zumbi","212,574","[21]"
"Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3,361","[22]"
"Planning Area 3.3","XXII Anchieta","Anchieta","158,318","[23]"
"Planning Area 3.3","XXII Anchieta","Guadalupe","158,318","[23]"
"Planning Area 3.3","XXII Anchieta","Parque Anchieta","158,318","[23]"
"Planning Area 3.3","XXII Anchieta","Ricardo de Albuquerque","158,318","[23]"
"Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40,926","[24]"
"Planning Area 4.0","XXIV Barra da Tijuca","Barra da Tijuca","300,823","[25]"
"Planning Area 4.0","XXIV Barra da Tijuca","Camorim","300,823","[25]"
"Planning Area 4.0","XXIV Barra da Tijuca","Grumari","300,823","[25]"
"Planning Area 4.0","XXIV Barra da Tijuca","Itanhangá","300,823","[25]"
"Planning Area 4.0","XXIV Barra da Tijuca","Joá","300,823","[25]"
"Planning Area 4.0","XXIV Barra da Tijuca","Recreio dos Bandeirantes","300,823","[25]"
"Planning Area 4.0","XXIV Barra da Tijuca","Vargem Grande","300,823","[25]"
"Planning Area 4.0","XXIV Barra da Tijuca","Vargem Pequena","300,823","[25]"
"Planning Area 3.3","XXV Pavuna","Acari","208,813","[26]"
"Planning Area 3.3","XXV Pavuna","Barros Filho","208,813","[26]"
"Planning Area 3.3","XXV Pavuna","Coelho Neto","208,813","[26]"
"Planning Area 3.3","XXV Pavuna","Costa Barros","208,813","[26]"
"Planning Area 3.3","XXV Pavuna","Parque Columbia","208,813","[26]"
"Planning Area 3.3","XXV Pavuna","Pavuna","208,813","[26]"
"Planning Area 5.2","XXVI Guaratiba","Barra de Guaratiba","123,114","[27]"
"Planning Area 5.2","XXVI Guaratiba","Guaratiba","123,114","[27]"
"Planning Area 5.2","XXVI Guaratiba","Pedra de Guaratiba","123,114","[27]"
"Planning Area 2.1","XXVII Rocinha","Rocinha","69,356","[28]"
"Planning Area 3.2","XXVIII Jacarezinho","Jacarezinho","37,839","[29]"
"Planning Area 3.1","XXIX Complexo do Alemão","Complexo do Alemão","69,143","[30]"
"Planning Area 3.1","XXX Maré","Maré","129,770","[31]"
"Planning Area 3.1","XXXI Vigário Geral","Cordovil","136,171","[32]"
"Planning Area 3.1","XXXI Vigário Geral","Jardim América","136,171","[32]"
"Planning Area 3.1","XXXI Vigário Geral","Parada de Lucas","136,171","[32]"
"Planning Area 3.1","XXXI Vigário Geral","Vigário Geral","136,171","[32]"
"Planning Area 5.1","XXXIII Realengo","Campo dos Afonsos","243,006","[33]"
"Planning Area 5.1","XXXIII Realengo","Deodoro","243,006","[33]"
"Planning Area 5.1","XXXIII Realengo","Jardim Sulacap","243,006","[33]"
"Planning Area 5.1","XXXIII Realengo","Magalhães Bastos","243,006","[33]"
"Planning Area 5.1","XXXIII Realengo","Realengo","243,006","[33]"
"Planning Area 5.1","XXXIII Realengo","Vila Militar","243,006","[33]"
"Planning Area 4.0","XXXIV Cidade de Deus","Cidade de Deus","12,285","[34]"
