"REPORTING  AREAS**","JAN","FEB","MAR","DENGUAPR","E HAEMAY","MORRHJUN","200AGIC FEJUL","8VER - TOAUG","TAL (DSEP","F+DHFOCT","+DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100000","CASEFATALITYRATE","POP.DEC. 31, 2007"
"TRAT","16","19","31","60","91","72","39","32","24","16","6","4","410","0","185.90","0.00","2 20,543"
"SOUTHERN REGION","688","567","578","706","1330","1640","1529","1166","900","1081","925","608","11718","12","135.39","0.10","8 ,654,831"
"ZONE  6","212","213","237","279","541","608","532","419","345","404","328","159","4277","6","123.57","0.14","3 ,461,282"
"CHUMPHON","36","48","49","68","115","132","82","91","66","50","27","7","771","2","160.19","0.26","4 81,298"
"NAKHON SI THAMMARAT","96","110","109","78","191","219","186","160","152","184","141","80","1706","3","113.21","0.18","1 ,506,997"
"PHATTHALUNG","56","28","46","61","108","80","64","53","42","77","64","38","717","1","142.67","0.14","5 02,563"
"SURAT THANI","24","27","33","72","127","177","200","115","85","93","96","34","1083","0","111.60","0.00","9 70,424"
"ZONE  7","149","120","135","189","339","383","392","264","125","170","148","61","2475","3","140.30","0.12","1 ,764,138"
"KRABI","48","51","73","84","130","141","97","55","31","55","69","34","868","1","211.38","0.12","4 10,634"
"PHANGNGA","17","15","9","10","46","33","44","25","14","9","6","3","231","0","93.57","0.00","2 46,887"
"PHUKET","60","39","39","65","84","111","139","96","28","49","6","0","716","2","226.94","0.28","3 15,498"
"RANONG","11","1","4","5","8","18","19","20","7","11","4","0","108","0","59.74","0.00","1 80,787"
"TRANG","13","14","10","25","71","80","93","68","45","46","63","24","552","0","90.44","0.00","6 10,332"
"ZONE  8","327","234","206","238","450","649","605","483","430","507","449","388","4966","3","144.81","0.06","3 ,429,411"
"NARATHIWAT","65","59","41","21","62","97","86","90","65","69","93","120","868","0","121.99","0.00","7 11,517"
"PATTANI","70","39","25","43","76","123","106","58","22","57","57","61","737","1","115.55","0.14","6 37,806"
"SATUN","15","16","28","65","99","85","51","32","20","32","30","18","491","0","172.59","0.00","2 84,482"
"SONGKHLA","149","111","100","94","189","301","335","264","265","271","202","142","2423","2","182.88","0.08","1 ,324,915"
"YALA","28","9","12","15","24","43","27","39","58","78","67","47","447","0","94.97","0.00","4 70,691"

