"ตารางท ี่ 3 (ตอ)  จํานวนผปูว   TAB LE     3 REPORTED","ยและตา CASES A","ยสงสัยดND DEAT","วยโรคไขHS OF S","เลือดออUSPECTE","ก จําแนกD DENG","รายเดอืนUE FEVER","ตามวนัเร่ิ AND DE","มปวย รNGUE HA","ายจังหวัดEMORRH","ประเทศAGIC FEV","ไทย สัปER  UNDE","ดาหที ่52R SURVE","พ.ศ.2553ILANCE, B","(27 ธัY DAT","นวาคม 2552E OF ONSET","- 2 มกราคมBY PROVINCE","2553), THAILAND,"
"LAMP ANG","13","8","9","19","58","129","128","81","49","36","34","12","576","0","75.04","0.00","7 67,615"
"LAMPHUN","0","1","2","4","9","32","29","33","23","12","6","0","151","0","37.27","0.00","4 05,125"
"MAE HONG SON","5","4","6","19","83","128","132","103","58","42","22","2","604","2","239.03","0.33","2 52,692"
"Z ONE  16","11","16","19","94","419","552","405","451","240","106","80","39","2432","2","91.63","0.08","2 ,654,164"
"CHIANG RAI","3","4","7","29","126","170","156","250","161","69","46","17","1038","2","84.57","0.19","1 ,227,317"
"NAN","1","1","0","3","30","37","23","18","16","2","0","1","132","0","27.73","0.00","4 75,984"
"PHAY AO","0","2","5","23","123","113","87","106","47","29","33","19","587","0","120.44","0.00","4 87,386"
"PHRAE","7","9","7","39","140","232","139","77","16","6","1","2","675","0","145.64","0.00","4 63,477"
"ZONE  17","87","68","90","112","387","475","464","407","233","188","169","64","2744","4","79.62","0.15","3 ,446,578"
"PHET CHABUN","12","7","26","35","133","148","137","72","45","31","27","16","689","2","69.16","0.29","9 96,231"
"PHITSANULOK","36","23","30","35","93","113","102","125","65","47","41","21","731","1","86.61","0.14","8 43,995"
"SUKH OTHAI","8","9","12","12","29","43","48","66","51","29","28","4","339","0","56.14","0.00","6 03,817"
"TAK","18","21","17","24","114","148","165","131","71","77","72","22","880","1","163.47","0.11","5 38,330"
"UTTARADIT","13","8","5","6","18","23","12","13","1","4","1","1","105","0","22.62","0.00","4 64,205"
"Z ONE 18","70","84","108","122","248","296","300","248","191","158","137","82","2044","2","76.21","0.10","2 ,682,150"
"KAMP HAENG PHET","14","7","18","19","25","54","80","51","45","25","24","13","375","1","51.64","0.27","7 26,213"
"NAKHON SAWAN","31","39","27","60","134","121","137","125","100","85","87","48","994","0","92.53","0.00","1 ,074,239"
"PHICH IT","22","38","61","40","81","103","70","63","40","46","20","15","599","0","108.10","0.00","5 54,112"
"UTHA I THANIท่ีมา: สาํนกังานสาธารณสขุจังหวัด       และศ ูนยขอมูลทางระบาดวิท   ** แบงจังหวัดตามเขตตรวจราช","3 และสํานักยา สํานักรการกระทhtรา","0อนามัย กะบาดวิทยรวงสาธารtp://20ยงานก","2รุงเทพมหา: รวบรวณสุข3.157ารเฝ","3านคร: รวมขอมลูใน.15.4าระวัง","8บรวมจากภาพรวมร/ ทางระ","18รายงานผปูะดบัประเทบาดวิท","13วยท่ีเขารศ"ยาประ","9ับการรักษา 0 " =  Nจําสัปด","6ของจังหวo case  าห ป","2ัดในแตละ          " ที่ 40","6สัปดาห)- " =  Noฉบับที่","6 report r52 :","76eceived 8 มกร","1าคม","23.20 2553","1.32","3 27,586883"

