"REPORTING  AREAS","JAN","FEB","MAR","DENGUAPR","E HEMMAY","ORRHAJUN","20GIC FEJUL","14VER - TAUG","OTAL (SEP","DF+DHOCT","F+DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC 31, 2013"
"Kanchanaburi","13","21","15","28","45","38","37","19","30","29","42","16","333","0","39.62","0.00","840,576"
"Suphan Buri","10","14","21","8","24","39","33","34","18","29","30","2","262","0","30.91","0.00","847,687"
"Nakhon Pathom","44","67","53","22","22","29","46","73","102","111","144","113","826","3","94.03","0.36","878,399"
"Samut Sakhon","26","20","14","20","16","22","30","55","78","54","71","17","423","0","82.27","0.00","514,135"
"Samut Songkhram","3","3","5","11","18","10","12","17","17","26","30","24","176","1","90.68","0.57","194,079"
"Phetchaburi","26","31","47","24","25","38","48","50","63","65","109","53","579","0","123.20","0.00","469,980"
"Prachuap Khiri Khan","4","6","19","13","15","24","35","34","25","14","37","44","270","1","52.06","0.37","518,661"
"ZONE 6","187","195","250","188","286","431","557","544","436","500","488","302","4364","8","76.24","0.18","5,723,930"
"Samut Prakan","68","63","76","37","40","57","51","55","56","118","123","95","839","1","68.08","0.12","1,232,454"
"Chon Buri","44","44","62","57","29","47","44","48","43","53","63","29","563","5","40.88","0.89","1,377,177"
"Rayong","32","46","36","20","56","57","68","66","64","117","152","106","820","1","125.14","0.12","655,247"
"Chanthaburi","12","12","33","33","70","143","210","204","134","112","67","50","1080","1","206.49","0.09","523,036"
"Trat","5","7","3","8","24","45","18","22","14","8","7","3","164","0","73.40","0.00","223,433"
"Chachoengsao","14","9","8","3","14","12","37","43","48","49","55","7","299","0","43.46","0.00","687,974"
"Prachin Buri","9","13","23","22","35","44","80","67","57","27","11","10","398","0","83.79","0.00","474,969"
"Sa Kaeo","3","1","9","8","18","26","49","39","20","16","10","2","201","0","36.57","0.00","549,640"

