"","","","","","","","","2015","","","","","","","CASE","CASE","POP."
"Nakhon Sawan","24","23","38","72","239","361","462","563","598","543","571","159","3653","3","340.52","0.08","1,072,756"
"Uthai Thani","9","7","6","39","97","141","237","301","295","207","174","48","1561","0","472.77","0.00","330,179"
"Kamphaeng Phet","6","14","21","20","39","60","99","79","118","132","46","35","669","1","91.70","0.15","729,522"
"Phichit","3","16","35","43","82","68","76","91","113","93","154","63","837","0","152.86","0.00","547,543"
"Central Region*","1700","1426","1759","2042","4170","5378","7461","8842","9310","9568","14819","5600","72075","77","324.31","0.11","22,224,307"
"Bangkok","614","445","418","414","1001","1099","1592","2392","2817","3967","8346","3186","26291","3","461.87","0.01","5,692,284"
"ZONE 4","172","200","229","310","816","795","911","1176","1532","1638","1909","684","10372","14","199.60","0.13","5,196,419"
"Nonthaburi","28","32","34","22","45","78","135","161","185","303","627","274","1924","3","163.90","0.16","1,173,870"
"Pathum Thani","24","43","29","23","48","55","101","123","208","268","393","130","1445","2","134.54","0.14","1,074,058"
"P.Nakhon S.Ayutthaya","33","13","28","30","86","116","141","172","238","290","315","95","1557","3","193.75","0.19","803,599"
"Ang Thong","17","18","23","55","155","166","142","134","136","124","71","21","1062","0","374.51","0.00","283,568"
"Lop Buri","38","79","84","80","259","191","148","213","387","376","328","75","2258","3","297.73","0.13","758,406"
"Sing Buri","0","0","3","7","15","20","17","12","18","13","4","4","113","0","53.26","0.00","212,158"
"Saraburi","25","13","24","87","191","131","163","259","230","230","147","81","1581","3","249.58","0.19","633,460"
"Nakhon Nayok","7","2","4","6","17","38","64","102","130","34","24","4","432","0","167.90","0.00","257,300"
"ZONE 5","417","398","606","618","934","1505","2238","2555","2484","1793","2015","823","16386","24","317.13","0.15","5,166,914"
"Ratchaburi","81","81","189","192","298","479","752","858","759","352","293","44","4378","5","513.12","0.11","853,217"
"Kanchanaburi","30","27","46","51","76","98","192","201","143","119","169","60","1212","5","142.89","0.41","848,198"
"Suphan Buri","17","18","38","31","86","97","115","149","176","183","234","83","1227","0","144.51","0.00","849,053"
"Nakhon Pathom","128","102","108","91","106","162","334","498","508","396","411","235","3079","2","345.54","0.06","891,071"
"Samut Sakhon","68","55","75","63","55","64","75","64","171","228","398","202","1518","2","285.40","0.13","531,887"
"Samut Songkhram","20","29","43","36","47","34","57","106","111","79","70","46","678","0","349.14","0.00","194,189"
"Phetchaburi","51","65","70","102","170","372","553","506","433","291","273","55","2941","6","620.21","0.20","474,192"
"Prachuap Khiri Khan","22","21","37","52","96","199","160","173","183","145","167","98","1353","4","257.66","0.30","525,107"
"ZONE 6","486","370","496","686","1385","1874","2641","2635","2407","2099","2479","867","18425","35","315.69","0.19","5,836,407"
"Samut Prakan","132","123","114","118","145","163","209","284","269","416","666","351","2990","4","237.01","0.13","1,261,530"
"Chon Buri","108","60","64","75","262","279","407","381","327","425","440","4","2832","13","199.24","0.46","1,421,425"
"Rayong","137","85","136","223","379","503","628","547","437","336","362","157","3930","5","582.75","0.13","674,393"
"Chanthaburi","39","37","52","68","184","256","401","393","273","203","225","79","2210","1","419.08","0.05","527,350"
"Trat","21","17","39","68","111","179","182","79","73","44","61","30","904","4","402.26","0.44","224,730"
"Chachoengsao","15","18","28","34","80","121","239","280","459","376","496","187","2333","6","335.45","0.26","695,478"
"Prachin Buri","24","21","46","88","187","243","364","374","300","159","123","13","1942","0","405.16","0.00","479,314"
"Sa Kaeo","10","9","17","12","37","130","211","297","269","140","106","46","1284","2","232.53","0.16","552,187"

"","","","","","","","","2015","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS","JAN","FEB","MAR","APR","DENGUMAY","E HEMOJUN","RRHAGICJUL","FEVER -AUG","TOTALSEP","(DF+DHFOCT","+DSS)NOV","DEC","TOTAL","TOTAL","RATE PER 100,000.00","FATALITYRATE","DEC. 31,2014"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","158","138","358","643","1954","3767","5211","7406","6623","4319","3968","1663","36208","36","165.75","0.10","21,845,254"
"ZONE  7","21","17","83","164","448","747","915","1166","1154","758","924","354","6751","7","133.85","0.10","5,043,862"
"Khon Kaen","4","4","19","39","110","206","339","393","399","280","334","121","2248","5","125.58","0.22","1,790,049"
"Maha Sarakham","4","6","26","50","96","114","119","169","204","124","166","39","1117","1","116.28","0.09","960,588"
"Roi Et","10","6","22","45","174","259","272","348","321","205","228","76","1966","1","150.27","0.05","1,308,318"
"Kalasin","3","1","16","30","68","168","185","256","230","149","196","118","1420","0","144.18","0.00","984,907"
"ZONE 8","10","7","39","70","295","607","677","756","595","425","412","111","4004","0","72.78","0.00","5,501,453"
"Bungkan","2","1","2","0","2","15","40","36","62","43","51","1","255","0","60.92","0.00","418,566"
"Nong Bua Lam Phu","0","2","1","0","19","50","34","22","27","23","24","13","215","0","42.25","0.00","508,864"
"Udon Thani","2","0","3","3","13","24","53","62","62","53","83","17","375","0","23.88","0.00","1,570,300"
"Loei","0","1","7","12","78","141","166","186","137","110","95","18","951","0","149.88","0.00","634,513"
"Nong Khai","0","2","14","11","33","53","70","103","110","97","60","22","575","0","111.16","0.00","517,260"
"Sakon Nakhon","1","0","3","14","94","179","177","180","106","35","29","13","831","0","72.98","0.00","1,138,609"
"Nakhon Phanom","5","1","9","30","56","145","137","167","91","64","70","27","802","0","112.43","0.00","713,341"
"ZONE 9","86","82","155","252","745","1242","1877","3029","2970","2000","1678","669","14785","18","219.74","0.12","6,728,450"
"Nakhon Ratchasima","45","35","70","106","294","556","1008","1269","1439","1094","933","345","7194","13","274.53","0.18","2,620,517"
"Buri Ram","7","11","24","39","102","163","188","475","411","234","195","120","1969","1","124.68","0.05","1,579,248"
"Surin","9","4","16","40","139","220","302","651","560","337","314","135","2727","2","195.96","0.07","1,391,636"
"Chaiyaphum","25","32","45","67","210","303","379","634","560","335","236","69","2895","2","254.61","0.07","1,137,049"
"ZONE 10","41","32","81","157","466","1171","1742","2455","1904","1136","954","529","10668","11","233.36","0.10","4,571,489"
"Si Sa Ket","11","8","25","47","169","363","497","668","689","492","402","316","3687","2","251.64","0.05","1,465,213"
"Ubon Ratchathani","19","14","44","95","230","547","907","1206","810","455","411","146","4884","6","264.76","0.12","1,844,669"
"Yasothon","9","5","2","11","27","106","158","368","234","108","47","24","1099","2","203.44","0.18","540,211"
"Amnat Charoen","2","3","4","2","20","87","128","146","103","51","48","22","616","1","164.10","0.16","375,380"
"Mukdahan","0","2","6","2","20","68","52","67","68","30","46","21","382","0","110.40","0.00","346,016"
"Southern Region","641","468","377","348","527","1138","1471","1396","1246","1260","1415","875","11162","12","121.21","0.11","9,208,504"
"ZONE 11","349","257","227","251","324","770","895","837","697","617","696","311","6231","8","142.83","0.13","4,362,467"
"Nakhon Si Thammarat","157","115","87","78","77","190","268","248","209","204","236","88","1957","2","126.42","0.10","1,548,028"
"Krabi","66","53","39","65","112","239","308","279","220","152","131","50","1714","4","375.21","0.23","456,811"
"Phangnga","14","6","5","8","26","112","44","37","40","33","32","25","382","0","146.15","0.00","261,370"
"Phuket","22","16","26","40","28","49","98","95","88","117","149","88","816","0","215.67","0.00","378,364"
"Surat Thani","37","20","24","16","18","47","56","75","66","48","79","40","526","1","50.57","0.19","1,040,230"
"Ranong","17","12","12","12","13","60","46","28","16","12","24","12","264","1","149.08","0.38","177,089"
"Chumphon","36","35","34","32","50","73","75","75","58","51","45","8","572","0","114.27","0.00","500,575"
"ZONE 12","292","211","150","97","203","368","576","559","549","643","719","564","4931","4","101.75","0.08","4,846,037"
"Songkhla","118","80","56","34","86","161","222","248","271","293","336","255","2160","2","154.14","0.09","1,401,303"
"Satun","6","5","4","4","3","22","21","19","13","24","17","8","146","0","46.69","0.00","312,673"
"Trang","22","14","7","10","29","51","85","83","58","55","36","38","488","0","76.40","0.00","638,746"
"Phatthalung","40","27","14","13","32","57","83","59","39","37","66","68","535","0","102.80","0.00","520,419"
"Pattani","63","33","17","8","21","39","43","32","64","73","81","77","551","1","80.30","0.18","686,186"
"Yala","8","7","10","6","8","11","25","14","13","14","35","23","174","0","33.99","0.00","511,911"
"Narathiwat","35","45","42","22","24","27","97","104","91","147","148","95","877","1","113.19","0.11","774,799"

