"REPORTING  AREAS","JAN","FEB","MAR","DENGAPR","UE HEMAY","MORRHJUN","2AGIC FJUL","016EVER - TAUG","OTAL (DSEP","F+DHFOCT","+DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2015"
"Lop Buri","80","71","62","13","8","5","17","45","68","41","14","11","435","0","57.35","0.00","758,531"
"Sing Buri","1","2","1","0","0","0","0","1","1","0","0","0","6","0","2.83","0.00","211,792"
"Saraburi","50","34","19","9","7","7","11","33","31","19","15","12","247","1","38.86","0.40","635,567"
"Nakhon Nayok","12","19","10","0","0","5","13","16","1","3","0","0","79","0","30.63","0.00","257,939"
"ZONE 5","625","298","258","133","86","93","235","379","366","238","189","111","3011","6","57.80","0.20","5,209,561"
"Ratchaburi","94","54","34","20","4","17","38","41","47","22","14","6","391","0","45.44","0.00","860,549"
"Kanchanaburi","40","17","27","10","9","8","23","23","16","15","3","5","196","1","22.65","0.51","865,172"
"Suphan Buri","41","27","33","24","8","7","27","46","59","24","25","10","331","0","38.97","0.00","849,376"
"Nakhon Pathom","213","85","63","34","21","20","39","90","82","53","35","27","762","1","85.12","0.13","895,207"
"Samut Sakhon","153","51","33","10","14","8","16","20","45","38","32","2","422","3","78.34","0.71","538,671"
"Samut Songkhram","21","9","8","5","3","2","1","8","3","3","3","3","69","0","35.52","0.00","194,283"
"Phetchaburi","40","27","32","21","19","22","61","104","84","59","31","21","521","1","109.36","0.19","476,391"
"Prachuap Khiri Khan","23","28","28","9","8","9","30","47","30","24","46","37","319","0","60.20","0.00","529,912"
"ZONE 6","863","529","431","236","198","250","409","501","380","354","256","114","4521","4","76.89","0.09","5,880,124"
"Samut Prakan","276","153","111","43","27","16","31","56","55","68","56","31","923","1","72.65","0.11","1,270,420"
"Chon Buri","221","122","93","51","29","19","22","75","75","60","42","18","827","1","57.50","0.12","1,438,231"
"Rayong","145","87","84","68","43","58","113","123","57","71","41","19","909","0","133.34","0.00","681,696"
"Chanthaburi","53","37","41","18","47","84","143","102","64","62","49","11","711","0","134.36","0.00","529,194"
"Trat","26","29","13","19","29","30","23","29","13","9","15","5","240","2","105.69","0.83","227,083"
"Chachoengsao","54","33","41","9","9","13","34","52","61","43","30","13","392","0","56.15","0.00","698,190"
"Prachin Buri","41","33","25","7","6","22","26","50","28","21","18","12","289","0","60.11","0.00","480,755"
"Sa Kaeo","47","35","23","21","8","8","17","14","27","20","5","5","230","0","41.47","0.00","554,555"

