"REPORTING  AREAS**","","","","DEN","GUE HA","EMORR","2HAGIC","010FEVER -","TOTAL (","DF+DHF","+DSS)","","","","CASERATE PER","CASEFATALITY","POP.DEC. 31, 2009"
"NAKHON PATHOM","76","80","96","48","54","63","110","165","194","251","226","148","1511","2","177.47","0.13","851,426"
"RATCHABURI","119","87","45","50","33","60","127","172","169","131","84","45","1122","1","134.33","0.09","835,231"
"SUPHAN BURI","70","83","64","31","14","17","39","65","92","72","43","23","613","0","72.58","0.00","8 44,590"
"ZONE  5","186","129","142","153","136","164","293","255","299","200","210","98","2265","6","137.81","0.26","1 ,643,555"
"PHETCHABURI","26","24","54","77","51","57","83","47","63","53","29","13","577","0","125.10","0.00","461,239"
"PRACHUAP KHIRI KHAN","17","15","29","37","65","73","127","116","143","91","78","35","826","4","163.87","0.48","5 04,063"
"SAMUT SAKHON","136","79","50","32","13","30","76","80","81","48","87","36","748","1","154.35","0.13","484,606"
"SAMUT SONGKHRAM","7","11","9","7","7","4","7","12","12","8","16","14","114","1","58.87","0.88","193,647"
"ZONE  9","239","274","352","456","813","1191","1429","1161","866","440","311","160","7692","2","292.15","0.03","2 ,632,939"
"CHANTHABURI","28","60","92","149","352","487","456","255","170","89","50","17","2205","0","431.30","0.00","511,246"
"CHON BURI","133","137","146","142","231","291","403","462","381","182","108","74","2690","2","208.59","0.07","1,289,590"
"RAYONG","62","65","86","109","143","294","433","358","262","138","128","53","2131","0","348.15","0.00","6 12,095"
"TRAT","16","12","28","56","87","119","137","86","53","31","25","16","666","0","302.72","0.00","2 20,008"
"SOUTHERN REGION","998","842","892","1100","2213","3905","5902","5459","3550","2455","1340","625","29281","62","332.21","0.21","8,813,880"
"ZONE  6","285","271","298","342","688","1220","2147","2189","1586","997","535","201","10759","24","306.85","0.22","3 ,506,241"
"CHUMPHON","19","13","30","34","56","95","84","68","103","82","61","23","668","1","136.96","0.15","487,744"
"NAKHON SI THAMMARAT","157","132","164","176","359","656","1367","1210","831","513","245","60","5870","18","387.08","0.31","1 ,516,499"
"PHATTHALUNG","55","78","44","49","107","176","247","436","356","270","158","74","2050","3","403.72","0.15","507,777"
"SURAT THANI","54","48","60","83","166","293","449","475","296","132","71","44","2171","2","218.36","0.09","9 94,221"
"ZONE  7","136","127","141","170","340","695","841","579","371","228","93","27","3748","7","206.55","0.19","1,814,555"
"KRABI","55","51","60","57","170","274","344","307","157","91","33","0","1599","6","374.86","0.38","4 26,556"
"PHANGNGA","15","6","9","22","30","63","84","45","45","28","11","0","358","0","142.26","0.00","251,657"
"PHUKET","28","49","44","42","50","132","132","69","62","29","7","17","661","0","196.78","0.00","3 35,913"
"RANONG","9","5","13","18","24","31","42","17","8","9","2","0","178","0","97.93","0.00","181,754"
"TRANG","29","16","15","31","66","195","239","141","99","71","40","10","952","1","153.88","0.11","6 18,675"
"ZONE  8","577","444","453","588","1185","1990","2914","2691","1593","1230","712","397","14774","31","422.95","0.21","3 ,493,084"
"NARATHIWAT","87","65","62","82","169","411","739","820","237","264","133","55","3124","5","429.08","0.16","728,071"
"PATTANI","135","130","125","140","259","310","595","637","427","240","141","47","3186","11","491.95","0.35","647,624"
"SATUN","37","46","35","59","186","219","132","99","87","70","41","51","1062","2","362.33","0.19","2 93,101"
"SONGKHLA","242","154","178","231","393","821","1211","964","742","555","337","220","6048","13","450.02","0.21","1,343,954"
"YALA","76","49","53","76","178","229","237","171","100","101","60","24","1354","0","281.89","0.00","480,334"

"REPORTING  AREAS**","JAN","FEB","MAR","DENAPR","GUE HAMAY","EMORRJUN","2HAGIC FJUL","010EVER - AUG","TOTAL (SEP","DF+DHFOCT","+DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100000","CASEFATALITYRATE","POP.DEC. 31, 2009"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","417","691","1196","1146","2582","4853","5948","6371","4195","1509","647","262","29817","31","138.71","0.10","2 1,495,825"
"ZONE  10","77","105","143","181","406","670","762","542","222","72","32","12","3224","3","90.36","0.09","3,567,883"
"LOEI","19","36","44","51","137","232","174","136","47","15","4","3","898","1","144.66","0.11","6 20,780"
"NONG BUA LAM PHU","8","13","9","7","30","63","44","29","7","0","0","1","211","0","42.12","0.00","5 00,913"
"NONG K HAI","18","25","49","78","133","182","221","99","46","18","11","3","883","0","97.33","0.00","9 07,250"
"UDON THANI","32","31","41","45","106","193","323","278","122","39","17","5","1232","2","80.06","0.16","1,538,940"
"ZON E  11","56","79","150","164","440","824","688","285","145","47","18","8","2904","2","134.62","0.07","2 ,157,187"
"MUKDAHAN","22","23","49","30","111","278","196","102","28","22","6","5","872","0","257.95","0.00","338,048"
"NAKHON PHANOM","11","18","39","75","174","209","216","138","99","19","12","3","1013","2","144.57","0.20","7 00,690"
"SAKON  NAKHON","23","38","62","59","155","337","276","45","18","6","0","0","1019","0","91.11","0.00","1,118,449"
"ZONE  12","53","142","201","90","201","477","638","952","694","225","73","67","3813","3","76.42","0.08","4 ,989,649"
"KALASIN","19","52","63","13","28","74","59","61","63","20","8","5","465","0","47.44","0.00","980,158"
"KHON KAEN","21","48","71","22","49","106","166","186","166","56","6","38","935","0","53.06","0.00","1,762,242"
"MAHA S ARAKHAM","6","7","19","16","37","89","139","234","149","70","23","9","798","2","84.98","0.25","939,090"
"ROI ET","7","35","48","39","87","208","274","471","316","79","36","15","1615","1","123.46","0.06","1 ,308,159"
"ZONE  13","22","72","199","200","469","917","973","992","723","454","165","5","5191","4","124.78","0.08","4,160,037"
"AMNAT CHAROEN","1","1","4","10","33","61","101","93","45","16","8","3","376","0","101.40","0.00","3 70,804"
"SI SA KET","11","55","111","75","261","472","449","587","313","210","75","0","2619","0","181.08","0.00","1,446,345"
"UBON RA TCHATHANI","4","7","67","101","154","298","338","244","306","201","76","0","1796","3","99.57","0.17","1,803,754"
"YASOTHON","6","9","17","14","21","86","85","68","59","27","6","2","400","1","74.19","0.25","539,134"
"ZON E  14","209","293","503","511","1066","1965","2887","3600","2411","711","359","170","14685","19","221.79","0.13","6,621,069"
"BURI RAM","66","127","138","112","197","441","778","1047","749","231","106","65","4057","2","262.29","0.05","1 ,546,784"
"CHAIYA PHUM","14","31","47","26","79","109","185","154","85","29","20","2","781","2","69.41","0.26","1 ,125,166"
"NAKHON RATCHASIMA","87","81","179","164","362","754","1058","1233","882","292","182","74","5348","12","207.99","0.22","2,571,292"
"SURIN","42","54","139","209","428","661","866","1166","695","159","51","29","4499","3","326.53","0.07","1 ,377,827"
"NORTHE RN REGION","273","274","400","487","849","2131","5027","6195","3431","1256","546","271","21140","16","179.61","0.08","1 1,770,233"
"ZONE  15","60","49","73","91","280","780","2408","3161","1581","425","118","47","9073","5","298.10","0.06","3,043,586"
"CHIANG  MAI","44","30","44","45","158","525","1849","2304","1152","284","71","32","6538","3","400.48","0.05","1 ,632,548"
"LAMPANG","11","13","17","20","40","90","277","514","257","104","24","8","1375","0","179.86","0.00","764,498"
"LAMPHU N","3","5","11","17","39","97","132","134","50","24","15","7","534","0","131.95","0.00","4 04,693"
"MAE HONG SON","2","1","1","9","43","68","150","209","122","13","8","0","626","2","258.84","0.32","2 41,847"
"ZONE  16","23","17","21","36","108","451","1074","1407","729","318","104","49","4337","1","165.55","0.02","2 ,619,757"
"CHIANG  RAI","15","8","9","10","53","216","573","720","437","228","70","32","2371","0","198.42","0.00","1,194,933"
"NAN","2","2","4","13","21","63","42","55","36","30","6","3","277","0","58.24","0.00","4 75,614"
"PHAYAO","2","3","2","4","17","147","409","522","194","38","14","12","1364","1","280.01","0.07","4 87,120"
"PHRAE","4","4","6","9","17","25","50","110","62","22","14","2","325","0","70.33","0.00","4 62,090"
"ZON E  17","95","105","181","304","403","794","1351","1267","823","313","174","100","5910","9","172.50","0.15","3 ,426,112"
"PHETCHABUN","18","36","61","57","125","336","599","557","352","128","41","19","2329","0","234.04","0.00","9 95,125"
"PHITSANULOK","24","32","35","37","52","67","85","166","167","83","49","22","819","0","96.86","0.00","8 45,561"
"SUKHOTHAI","17","14","24","42","27","27","69","90","70","33","20","12","445","0","73.82","0.00","602,813"
"TAK","34","21","56","158","187","351","570","408","184","35","47","28","2079","9","400.07","0.43","5 19,662"
"UTTARADIT","2","2","5","10","12","13","28","46","50","34","17","19","238","0","51.41","0.00","4 62,951"
"ZONE 18","95","103","125","56","58","106","194","360","298","200","150","75","1820","1","67.89","0.05","2 ,680,778"
"KAMPHAENG PHET","29","33","49","27","30","42","63","117","79","52","27","16","564","1","77.60","0.18","726,846"
"NAKHON SAWAN","35","33","35","15","19","34","81","141","106","66","84","47","696","0","64.87","0.00","1 ,072,868"
"PHICHIT","23","32","36","9","5","13","19","78","90","64","30","8","407","0","73.57","0.00","553,193"
"UTHAI THANI","8","5","5","5","4","17","31","24","23","18","9","4","153","0","46.66","0.00","327,871"

