"REPORTING  AREAS**","JAN","FEB","MAR","APR","DENGUEMAY","HEMORJUN","RHAGICJUL","2013 FEVER AUG","- TOTAL SEP","(DF+DHF+OCT","DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2012"
"CHIANG RAI","131","47","86","222","997","2578","3986","3212","1417","461","150","39","13326","9","1,110.93","0.07","1,199,539"
"NAN","16","22","18","36","59","178","292","157","63","21","16","1","879","0","184.22","0.00","477,142"
"PHAYAO","18","5","8","14","62","203","298","193","81","28","4","2","916","0","187.98","0.00","487,296"
"PHRAE","10","6","39","51","135","238","211","163","80","33","24","3","993","2","216.73","0.20","458,178"
"ZONE  17","187","232","315","461","1021","1847","1632","588","314","154","101","37","6889","8","200.44","0.12","3,436,870"
"PHETCHABUN","48","64","97","149","603","1151","802","143","22","20","8","1","3108","2","313.23","0.06","992,255"
"PHITSANULOK","69","68","56","96","119","205","246","173","112","51","39","14","1248","3","146.33","0.24","852,864"
"SUKHOTHAI","22","39","58","98","98","86","119","57","51","33","10","10","681","2","113.11","0.29","602,053"
"TAK","30","45","68","86","157","309","338","158","101","38","32","8","1370","1","259.21","0.07","528,531"
"UTTARADIT","18","16","36","32","44","96","127","57","28","12","12","4","482","0","104.52","0.00","461,167"
"ZONE 18","307","286","397","351","287","677","798","475","254","174","144","46","4196","4","156.72","0.10","2,677,331"
"KAMPHAENG PHET","36","61","72","89","91","239","235","105","62","39","30","13","1072","1","147.50","0.09","726,782"
"NAKHON SAWAN","182","151","210","154","108","285","341","220","134","91","68","26","1970","2","183.68","0.10","1,072,516"
"PHICHIT","49","48","63","57","63","100","149","97","29","26","27","6","714","0","129.93","0.00","549,541"
"UTHAI THANI","40","26","52","51","25","53","73","53","29","18","19","1","440","1","133.95","0.23","328,492"

