"REPORTING  AREAS**","JAN","FEB","MAR","DENGUAPR","E HAEMAY","MORRHJUN","200AGIC FEJUL","8VER - TOAUG","TAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100000","CASEFATALITYRATE","POP.DEC. 31, 2007"
"RATCHABURI","97","118","160","169","346","586","554","423","222","225","154","49","3103","4","373.21","0.13","8 31,438"
"SUPHAN BURI","108","100","57","74","81","94","87","127","105","121","86","21","1061","0","125.92","0.00","8 42,584"
"ZONE  5","196","166","191","235","298","392","334","269","207","178","201","80","2747","6","170.11","0.22","1 ,614,795"
"PHETCHABURI","37","50","36","40","51","88","123","80","41","26","32","33","637","2","139.67","0.31","4 56,061"
"PRACHUAP KHIRI KHAN","54","37","65","110","147","184","42","42","26","23","27","14","771","1","155.89","0.13","4 94,588"
"SAMUT SAKHON","87","75","81","75","88","95","140","124","119","122","137","31","1174","3","249.82","0.26","4 69,934"
"SAMUT SONGKHRAM","18","4","9","10","12","25","29","23","21","7","5","2","165","0","84.96","0.00","1 94,212"
"ZONE  9","121","112","211","343","840","1214","1035","833","587","421","334","101","6152","8","242.07","0.13","2 ,541,462"
"CHANTHABURI","31","36","77","104","223","255","181","129","83","33","28","5","1185","2","235.12","0.17","5 04,003"
"CHON BURI","11","8","25","50","218","397","435","410","349","265","197","24","2389","4","193.69","0.17","1 ,233,446"
"RAYONG","63","49","78","129","308","490","380","262","131","107","103","68","2168","2","371.57","0.09","5 83,470"
"TRAT","16","19","31","60","91","72","39","32","24","16","6","4","410","0","185.90","0.00","2 20,543"
"SOUTHERN REGION","688","567","578","706","1330","1640","1529","1166","900","1081","925","608","11718","12","135.39","0.10","8 ,654,831"
"ZONE  6","212","213","237","279","541","608","532","419","345","404","328","159","4277","6","123.57","0.14","3 ,461,282"
"CHUMPHON","36","48","49","68","115","132","82","91","66","50","27","7","771","2","160.19","0.26","4 81,298"
"NAKHON SI THAMMARAT","96","110","109","78","191","219","186","160","152","184","141","80","1706","3","113.21","0.18","1 ,506,997"
"PHATTHALUNG","56","28","46","61","108","80","64","53","42","77","64","38","717","1","142.67","0.14","5 02,563"
"SURAT THANI","24","27","33","72","127","177","200","115","85","93","96","34","1083","0","111.60","0.00","9 70,424"
"ZONE  7","149","120","135","189","339","383","392","264","125","170","148","61","2475","3","140.30","0.12","1 ,764,138"
"KRABI","48","51","73","84","130","141","97","55","31","55","69","34","868","1","211.38","0.12","4 10,634"
"PHANGNGA","17","15","9","10","46","33","44","25","14","9","6","3","231","0","93.57","0.00","2 46,887"
"PHUKET","60","39","39","65","84","111","139","96","28","49","6","0","716","2","226.94","0.28","3 15,498"
"RANONG","11","1","4","5","8","18","19","20","7","11","4","0","108","0","59.74","0.00","1 80,787"
"TRANG","13","14","10","25","71","80","93","68","45","46","63","24","552","0","90.44","0.00","6 10,332"
"ZONE  8","327","234","206","238","450","649","605","483","430","507","449","388","4966","3","144.81","0.06","3 ,429,411"
"NARATHIWAT","65","59","41","21","62","97","86","90","65","69","93","120","868","0","121.99","0.00","7 11,517"
"PATTANI","70","39","25","43","76","123","106","58","22","57","57","61","737","1","115.55","0.14","6 37,806"
"SATUN","15","16","28","65","99","85","51","32","20","32","30","18","491","0","172.59","0.00","2 84,482"
"SONGKHLA","149","111","100","94","189","301","335","264","265","271","202","142","2423","2","182.88","0.08","1 ,324,915"
"YALA","28","9","12","15","24","43","27","39","58","78","67","47","447","0","94.97","0.00","4 70,691"

"REPORT ING  AREAS**","JAN","FEB","MAR","DENGUAPR","E HAEMMAY","ORRHAGJUN","200IC FEVJUL","8ER - TOAUG","TAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100000","CASEFATALITYRATE","POP.DEC. 31, 2007"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","328","246","352","499","1493","2380","2189","1913","1063","742","514","102","11821","7","55.28","0.06","2 1,385,647"
"ZONE  10","19","16","18","38","136","187","163","106","71","42","28","13","837","2","23.60","0.24","3 ,546,445"
"LOEI","2","0","6","20","52","68","43","30","19","10","7","1","258","0","41.91","0.00","6 15,538"
"NONG B UA LAM PHU","1","1","3","3","20","35","30","9","7","2","0","1","112","0","22.51","0.00","4 97,603"
"NONG KHAI","7","8","2","8","24","43","33","20","21","3","1","0","170","2","18.83","1.18","9 02,618"
"UDON THANI","9","7","7","7","40","41","57","47","24","27","20","11","297","0","19.40","0.00","1 ,530,686"
"ZONE  11","12","14","9","26","69","110","105","51","32","29","19","2","478","1","22.27","0.21","2 ,146,276"
"MUKDAHAN","9","6","0","11","17","11","18","18","16","12","12","2","132","0","39.27","0.00","3 36,107"
"NAKHO N PHANOM","1","5","4","8","24","36","33","9","2","5","1","0","128","0","18.36","0.00","6 97,105"
"SAKON NAKHON","2","3","5","7","28","63","54","24","14","12","6","0","218","1","19.59","0.46","1 ,113,064"
"ZONE  12","78","43","52","99","291","493","514","499","278","219","171","36","2773","2","55.74","0.07","4 ,974,516"
"KALASIN","30","19","8","6","9","26","39","103","27","30","29","9","335","1","34.27","0.30","9 77,508"
"KHON KAEN","12","5","10","26","72","109","125","70","63","44","48","13","597","0","34.07","0.00","1 ,752,414"
"MAHA S ARAKHAM","7","4","12","18","52","106","101","75","48","23","19","2","467","0","49.89","0.00","9 36,005"
"ROI ET","29","15","22","49","158","252","249","251","140","122","75","12","1374","1","105.00","0.07","1 ,308,589"
"ZONE  13","38","47","104","120","286","468","478","388","257","158","108","21","2473","0","59.78","0.00","4 ,137,177"
"AMNAT  CHAROEN","1","1","6","12","26","45","47","20","12","16","13","7","206","0","55.84","0.00","3 68,915"
"SI SA KET","23","36","79","79","161","261","235","238","161","106","59","2","1440","0","99.79","0.00","1 ,443,011"
"UBON RATCHATHANI","12","8","18","25","78","132","171","108","76","35","35","10","708","0","39.65","0.00","1 ,785,709"
"YASOTHON","2","2","1","4","21","30","25","22","8","1","1","2","119","0","22.06","0.00","5 39,542"
"ZONE  14","181","126","169","216","711","1122","929","869","425","294","188","30","5260","2","79.92","0.04","6 ,581,233"
"BURI RA M","53","43","45","51","160","303","306","315","121","45","21","11","1474","1","95.96","0.07","1 ,536,070"
"CHAIYAPHUM","20","13","25","34","135","136","155","96","48","29","23","9","723","0","64.58","0.00","1 ,119,597"
"NAKHON RATCHASIMA","48","41","45","67","243","377","289","273","158","162","120","5","1828","1","71.61","0.05","2 ,552,894"
"SURIN","60","29","54","64","173","306","179","185","98","58","24","5","1235","0","89.97","0.00","1 ,372,672"
"NORTHERN REGION","314","365","546","799","1865","3509","4107","3412","2129","1727","1133","366","20272","25","170.76","0.12","1 1,871,934"
"ZO NE  15","31","32","39","108","335","969","1467","1402","779","563","392","146","6263","4","202.36","0.06","3 ,094,973"
"CHIANG MAI","21","21","27","74","228","593","988","975","562","384","285","118","4276","3","256.91","0.07","1 ,664,399"
"LAMPANG","2","6","8","20","64","281","366","270","104","86","75","19","1301","0","168.83","0.00","7 70,613"
"LAMPH UN","8","5","2","4","18","23","56","102","59","50","16","5","348","0","85.89","0.00","4 05,157"
"MAE HONG SON","0","0","2","10","25","72","57","55","54","43","16","4","338","1","132.65","0.30","2 54,804"
"ZO NE  16","4","9","26","81","245","404","441","391","217","205","147","26","2196","5","82.72","0.23","2 ,654,849"
"CHIANG RAI","1","2","1","5","114","160","140","211","122","126","94","12","988","5","80.65","0.51","1 ,225,013"
"NAN","1","1","2","2","32","87","85","18","15","10","4","2","259","0","54.25","0.00","4 77,381"
"PHAYAO","0","1","8","41","44","51","91","50","31","25","12","2","356","0","73.16","0.00","4 86,579"
"PHRAE","2","5","15","33","55","106","125","112","49","44","37","10","593","0","127.29","0.00","4 65,876"
"ZONE  17","83","82","170","260","710","1226","1408","1061","714","554","344","114","6726","9","195.48","0.13","3 ,440,720"
"PHETCHABUN","21","24","53","73","348","540","451","288","124","67","17","15","2021","0","202.60","0.00","9 97,531"
"PHITSANULOK","25","26","55","88","165","228","312","301","236","205","138","26","1805","2","214.45","0.11","8 41,683"
"SUKHO THAI","4","4","10","18","29","87","133","108","89","38","20","9","549","3","90.70","0.55","6 05,301"
"TAK","21","17","31","30","56","194","251","143","89","126","98","34","1090","4","205.30","0.37","5 30,928"
"UTTARADIT","12","11","21","51","112","177","261","221","176","118","71","30","1261","0","271.02","0.00","4 65,277"
"ZO NE 18","196","242","311","350","575","910","791","558","419","405","250","80","5087","7","189.71","0.14","2 ,681,392"
"KAMPH AENG PHET","30","46","68","84","125","202","198","122","82","63","55","22","1097","2","151.10","0.18","7 25,994"
"NAKHON SAWAN","107","127","177","147","244","500","442","343","244","174","96","31","2632","4","245.14","0.15","1 ,073,683"
"PHICHIT","41","34","32","53","77","96","86","74","75","153","90","23","834","1","150.34","0.12","5 54,740"
"UTHAI THANI","18","35","34","66","129","112","65","19","18","15","9","4","524","0","160.26","0.00","3 26,975"

