"","","","","","","","2","010","","","","","","","CASE","CASE","POP."
"PHANGNGA","15","6","9","22","30","63","84","45","45","28","11","0","358","0","142.26","0.00","251,657"
"PHUKET","28","49","44","42","50","132","132","69","62","29","7","17","661","0","196.78","0.00","3 35,913"
"RANONG","9","5","13","18","24","31","42","17","8","9","2","0","178","0","97.93","0.00","181,754"
"TRANG","29","16","15","31","66","195","239","141","99","71","40","10","952","1","153.88","0.11","6 18,675"
"ZONE  8","577","444","453","588","1185","1990","2914","2691","1593","1230","712","397","14774","31","422.95","0.21","3 ,493,084"
"NARATHIWAT","87","65","62","82","169","411","739","820","237","264","133","55","3124","5","429.08","0.16","728,071"
"PATTANI","135","130","125","140","259","310","595","637","427","240","141","47","3186","11","491.95","0.35","647,624"
"SATUN","37","46","35","59","186","219","132","99","87","70","41","51","1062","2","362.33","0.19","2 93,101"
"SONGKHLA","242","154","178","231","393","821","1211","964","742","555","337","220","6048","13","450.02","0.21","1,343,954"
"YALA","76","49","53","76","178","229","237","171","100","101","60","24","1354","0","281.89","0.00","480,334"

