"REPORTING  AREAS","JAN","FEB","MAR","DENGAPR","UE HEMAY","MORRHJUN","AGIC FJUL","2016EVER - TOAUG","TAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2015"
"Ranong","13","12","4","6","7","12","18","18","10","9","11","9","129","0","70.76","0.00","182,313"
"Chumphon","27","20","5","6","7","19","28","44","34","32","17","6","245","0","48.69","0.00","503,203"
"ZONE 12","520","366","288","193","177","349","881","1662","1883","2218","2279","1739","12555","22","258.03","0.18","4,865,646"
"Songkhla","217","146","116","61","54","117","287","586","898","966","937","968","5353","11","380.74","0.21","1,405,939"
"Satun","21","29","15","10","10","51","57","69","29","28","20","7","346","2","110.09","0.58","314,297"
"Trang","35","30","29","22","31","54","155","192","84","61","52","3","748","2","116.92","0.27","639,770"
"Phatthalung","41","31","24","20","13","20","116","258","266","227","255","190","1461","1","280.12","0.07","521,570"
"Pattani","71","50","34","38","31","45","91","252","267","475","561","248","2163","1","313.43","0.05","690,104"
"Yala","28","22","14","11","15","19","51","105","138","162","122","75","762","2","147.95","0.26","515,025"
"Narathiwat","107","58","56","31","23","43","124","200","201","299","332","248","1722","3","221.07","0.17","778,941"

