"","","","","","","","","2012","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS**","JAN","FEB","MAR","DENAPR","GUE HEMAY","MORRJUN","HAGIC FEJUL","VER - AUG","TOTAL SEP","(DF+DHOCT","F+DSSNOV",")DEC","TOTAL","TOTAL","RATE PER 100,000.00","FATALITYRATE","DEC. 31, 2010"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"TOTAL","1955","2016","2394","3078","4968","8389","10055","9714","8819","9553","9961","5449","76351","82","119.53","0.11","63,878,267"
"CENTRAL REGION","1153","1043","1187","1355","1555","2508","3562","3928","3856","4279","4636","2398","31460","32","149.25","0.10","21,079,388"
"BANGKOK  METRO  POLIS","313","259","288","263","215","346","730","1065","1086","1697","2301","1355","9918","10","173.96","0.10","5,701,394"
"ZONE  1","71","72","56","67","64","114","222","362","394","391","438","229","2480","3","65.75","0.12","3,771,836"
"NONTHABURI","33","24","27","20","20","34","51","116","140","128","131","94","818","0","74.25","0.00","1,101,743"
"P.NAKORN S.AYUTTHAYA","10","7","4","10","14","18","26","72","104","124","157","69","615","3","78.63","0.49","782,096"
"PATHUM THANI","11","20","14","15","14","23","53","79","75","55","82","49","490","0","49.71","0.00","985,643"
"SARABURI","17","21","11","22","16","39","92","95","75","84","68","17","557","0","90.22","0.00","617,384"
"ZONE  2","77","106","134","131","96","149","277","351","374","306","179","69","2249","1","172.28","0.04","1,305,449"
"ANG THONG","13","14","12","21","11","24","26","32","46","31","27","16","273","0","95.80","0.00","284,970"
"CHAI NAT","10","26","37","29","18","19","30","22","31","38","71","50","381","1","113.75","0.26","334,934"
"LOP BURI","54","65","83","78","62","103","217","297","296","232","80","0","1567","0","207.32","0.00","755,854"
"SING BURI","0","1","2","3","5","3","4","0","1","5","1","3","28","0","13.04","0.00","214,661"
"ZONE  3","116","128","148","188","299","511","657","615","545","435","376","176","4194","3","134.31","0.07","3,122,519"
"CHACHOENGSAO","47","39","46","50","91","159","266","264","217","195","122","39","1535","1","227.77","0.07","673,933"
"NAKHON NAYOK","1","11","11","4","13","33","8","5","11","17","5","0","119","0","47.09","0.00","252,734"
"PRACHIN BURI","9","23","33","60","96","111","155","144","123","82","35","15","886","0","189.90","0.00","466,572"
"SA KAEO","15","19","31","29","46","140","149","105","101","48","15","9","707","1","129.94","0.14","544,100"
"SAMUT PRAKAN","44","36","27","45","53","68","79","97","93","93","199","113","947","1","79.90","0.11","1,185,180"
"ZONE  4","252","231","243","238","206","375","527","511","644","627","539","201","4594","4","135.72","0.09","3,384,947"
"KANCHANABURI","40","53","48","50","68","127","142","136","194","172","119","21","1170","1","139.32","0.09","839,776"
"NAKHON PATHOM","63","37","52","42","32","70","111","130","192","166","181","102","1178","1","136.94","0.08","860,246"
"RATCHABURI","106","93","97","95","87","158","225","196","213","195","147","22","1634","2","194.74","0.12","839,075"
"SUPHAN BURI","43","48","46","51","19","20","49","49","45","94","92","56","612","0","72.35","0.00","845,850"
"ZONE  5","132","100","116","134","172","277","309","277","234","332","315","82","2480","6","149.48","0.24","1,659,111"
"PHETCHABURI","29","21","23","40","52","139","114","76","52","48","49","25","668","0","143.96","0.00","464,033"
"PRACHUAP KHIRI KHAN","17","14","22","31","41","43","64","52","38","48","34","25","429","2","84.26","0.47","509,134"
"SAMUT SAKHON","71","47","63","55","67","75","109","114","128","200","206","7","1142","1","232.17","0.09","491,887"
"SAMUT SONGKHRAM","15","18","8","8","12","20","22","35","16","36","26","25","241","3","124.19","1.24","194,057"
"ZONE  9","192","147","202","334","503","736","840","747","579","491","488","286","5545","5","207.04","0.09","2,678,232"
"CHANTHABURI","25","31","34","78","174","271","243","145","81","63","55","22","1222","0","237.46","0.00","514,616"
"CHON BURI","78","54","77","102","120","123","182","212","247","227","181","76","1679","4","127.56","0.24","1,316,293"
"RAYONG","70","55","71","108","163","284","361","350","205","172","231","179","2249","1","359.03","0.04","626,402"
"TRAT","19","7","20","46","46","58","54","40","46","29","21","9","395","0","178.80","0.00","220,921"
"SOUTHERN REGION","429","518","597","820","1184","1186","1227","1149","958","1278","1920","1441","12707","16","134.65","0.13","9,437,150"
"ZONE  6","123","142","137","167","312","422","502","572","530","554","762","632","4855","8","137.83","0.16","3,522,442"
"CHUMPHON","9","25","27","31","92","88","171","159","87","80","79","64","912","0","186.14","0.00","489,964"
"NAKHON SI THAMMARAT","55","54","47","61","75","130","128","216","278","264","296","219","1823","5","119.73","0.27","1,522,561"
"PHATTHALUNG","33","33","21","33","75","85","53","42","57","83","210","192","917","0","179.97","0.00","509,534"
"SURAT THANI","26","30","42","42","70","119","150","155","108","127","177","157","1203","3","120.25","0.25","1,000,383"
"ZONE  7","142","179","314","440","517","450","395","286","180","206","278","155","3542","2","192.85","0.06","1,836,621"
"KRABI","71","91","174","253","263","193","163","124","114","113","147","65","1771","0","409.29","0.00","432,704"
"PHANGNGA","14","19","22","42","56","82","104","47","11","21","33","33","484","0","191.22","0.00","253,112"
"PHUKET","20","28","36","56","63","48","26","26","10","10","29","8","360","1","104.33","0.28","345,067"
"RANONG","7","15","53","23","20","26","26","10","9","5","7","3","204","1","111.43","0.49","183,079"
"TRANG","30","26","29","66","115","101","76","79","36","57","62","46","723","0","116.11","0.00","622,659"
"ZONE  8","164","197","146","213","355","314","330","291","248","518","880","654","4310","6","121.96","0.14","3,533,987"
"NARATHIWAT","29","40","25","13","24","30","21","37","18","42","70","55","404","0","54.80","0.00","737,162"
"PATTANI","7","15","8","13","22","22","30","30","15","33","60","28","283","0","43.19","0.00","655,259"
"SATUN","37","35","39","45","65","38","27","27","17","32","43","17","422","1","142.01","0.24","297,163"
"SONGKHLA","85","101","64","128","224","208","232","168","170","360","651","515","2906","5","214.15","0.17","1,357,023"
"YALA","6","6","10","14","20","16","20","29","28","51","56","39","295","0","60.53","0.00","487,380"

"","","","","","","","2","012","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS**","JAN","FEB","MAR","DENAPR","GUE HEMAY","MORRJUN","HAGIC FEJUL","VER - AUG","TOTAL SEP","(DF+DHOCT","F+DSSNOV",")DEC","TOTALT","OTAL","RATE PER 100,000.00","FATALITYRATE","DEC. 31, 2010"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","205","258","364","564","1570","3065","3333","2586","2421","2338","1985","916","19605","18","90.88","0.09","21,573,318"
"ZONE  10","8","41","30","46","212","379","383","233","169","144","183","119","1947","1","54.31","0.05","3,584,657"
"BUNGKAN","1","21","11","14","25","33","26","19","8","15","13","13","199","0","49.31","0.00","403,542"
"LOEI","1","13","4","15","109","178","150","69","58","59","64","58","778","1","124.67","0.13","624,066"
"NONG BUA LAM PHU","0","6","5","7","42","51","74","30","26","12","21","17","291","0","57.87","0.00","502,868"
"NONG KHAI","2","1","3","3","12","34","24","17","13","8","17","9","143","0","28.07","0.00","509,395"
"UDON THANI","4","0","7","7","24","83","109","98","64","50","68","22","536","0","34.70","0.00","1,544,786"
"ZONE  11","3","6","7","17","61","135","88","87","69","55","114","41","683","1","31.53","0.15","2,165,872"
"MUKDAHAN","2","3","1","5","17","56","39","39","25","24","19","13","243","0","71.56","0.00","339,575"
"NAKHON PHANOM","0","1","5","9","38","67","42","41","40","25","51","24","343","1","48.76","0.29","703,392"
"SAKON NAKHON","1","2","1","3","6","12","7","7","4","6","44","4","97","0","8.64","0.00","1,122,905"
"ZONE  12","51","55","79","114","299","611","605","519","617","636","577","332","4495","3","89.89","0.07","5,000,798"
"KALASIN","0","3","11","13","22","34","31","40","35","33","30","23","275","0","27.99","0.00","982,578"
"KHON KAEN","29","26","43","63","132","249","195","152","167","168","156","103","1483","0","83.90","0.00","1,767,601"
"MAHA SARAKHAM","12","14","16","22","58","114","166","146","196","207","171","101","1223","1","129.98","0.08","940,911"
"ROI ET","10","12","9","16","87","214","213","181","219","228","220","105","1514","2","115.60","0.13","1,309,708"
"ZONE  13","20","24","75","75","212","441","548","428","438","379","278","134","3052","3","73.07","0.10","4,176,953"
"AMNAT CHAROEN","1","2","5","3","19","48","65","34","38","12","7","6","240","0","64.49","0.00","372,137"
"SI SA KET","13","18","48","43","121","238","259","219","205","206","137","68","1575","1","108.44","0.06","1,452,471"
"UBON RATCHATHANI","5","4","20","25","61","109","130","103","133","122","109","51","872","1","48.09","0.11","1,813,088"
"YASOTHON","1","0","2","4","11","46","94","72","62","39","25","9","365","1","67.69","0.27","539,257"
"ZONE  14","123","132","173","312","786","1499","1709","1319","1128","1124","833","290","9428","10","141.88","0.11","6,645,038"
"BURI RAM","22","12","44","81","250","444","458","371","310","283","166","44","2485","0","159.93","0.00","1,553,765"
"CHAIYAPHUM","17","27","26","58","122","212","227","156","126","58","71","34","1134","1","100.58","0.09","1,127,423"
"NAKHON RATCHASIMA","77","65","73","121","297","553","560","436","278","410","485","189","3544","7","137.25","0.20","2,582,089"
"SURIN","7","28","30","52","117","290","464","356","414","373","111","23","2265","2","163.92","0.09","1,381,761"
"NORTHERN REGION","168","197","246","339","659","1630","1933","2051","1584","1658","1420","694","12579","16","106.71","0.13","11,788,411"
"ZONE  15","20","30","11","23","80","241","349","415","408","439","349","125","2490","3","81.65","0.12","3,049,730"
"CHIANG MAI","17","22","5","20","65","167","253","334","334","373","197","79","1866","2","113.75","0.11","1,640,479"
"LAMPANG","2","6","4","3","8","44","52","51","15","14","29","16","244","0","32.02","0.00","761,949"
"LAMPHUN","1","2","1","0","3","8","9","11","33","24","109","26","227","1","56.11","0.44","404,560"
"MAE HONG SON","0","0","1","0","4","22","35","19","26","28","14","4","153","0","63.03","0.00","242,742"
"ZONE  16","6","7","3","32","121","403","451","436","239","217","198","118","2231","0","85.10","0.00","2,621,641"
"CHIANG RAI","3","6","1","8","36","149","185","247","165","153","146","105","1204","0","100.48","0.00","1,198,218"
"NAN","0","1","1","1","16","42","50","37","19","19","17","9","212","0","44.50","0.00","476,363"
"PHAYAO","0","0","0","2","11","22","32","19","10","9","21","4","130","0","26.73","0.00","486,304"
"PHRAE","3","0","1","21","58","190","184","133","45","36","14","0","685","0","148.67","0.00","460,756"
"ZONE  17","65","60","88","147","252","500","575","560","400","328","307","170","3452","10","100.47","0.29","3,435,803"
"PHETCHABUN","8","19","28","31","95","107","85","91","68","46","44","27","649","2","65.16","0.31","996,031"
"PHITSANULOK","16","11","36","80","84","190","178","202","148","133","118","59","1255","3","147.70","0.24","849,692"
"SUKHOTHAI","16","11","11","18","21","46","70","77","63","45","37","16","431","0","71.62","0.00","601,778"
"TAK","20","15","9","7","27","88","164","109","72","78","84","40","713","5","135.63","0.70","525,684"
"UTTARADIT","5","4","4","11","25","69","78","81","49","26","24","28","404","0","87.33","0.00","462,618"
"ZONE 18","77","100","144","137","206","486","558","640","537","674","566","281","4406","3","164.33","0.07","2,681,237"
"KAMPHAENG PHET","27","34","57","63","69","113","201","157","127","153","85","30","1116","1","153.49","0.09","727,093"
"NAKHON SAWAN","24","24","33","32","58","220","233","286","283","396","383","210","2182","2","203.26","0.09","1,073,495"
"PHICHIT","13","28","41","13","35","53","58","131","80","73","56","18","599","0","108.38","0.00","552,690"
"UTHAI THANI","13","14","13","29","44","100","66","66","47","52","42","23","509","0","155.20","0.00","327,959"

