"REPORTING  AREAS","JAN","FEB","MAR","APR","DENGUEMAY","HEMORRJUN","2HAGIC FJUL","015EVER - TAUG","OTAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31,2014"
"Prachuap Khiri KhanZONE 6","22486","21370","37496","52686","961385","1991874","1602641","1732635","1832407","1452099","1672479","98867","135318425","435","257.66315.69","0.300.19","525,1075,836,407"
"Samut PrakanChon Buri","132108","12360","11464","11875","145262","163279","209407","284381","269327","416425","666440","3514","29902832","413","237.01199.24","0.130.46","1,261,5301,421,425"
"RayongChanthaburiTrat","1373921","853717","1365239","2236868","379184111","503256179","628401182","54739379","43727373","33620344","36222561","1577930","39302210904","514","582.75419.08402.26","0.130.050.44","674,393527,350224,730"
"ChachoengsaoPrachin Buri","1524","1821","2846","3488","80187","121243","239364","280374","459300","376159","496123","18713","23331942","60","335.45405.16","0.260.00","695,478479,314"
"Sa Kaeo","10","9","17","12","37","130","211","297","269","140","106","46","1284","2","232.53","0.16","552,187"

"REPORTING  AREAS","JAN","FEBM","ARA","PR","DENGUE MAY","HEMORRJUN","HAGIC FJUL","2015EVER - TAUG","OTAL (DSEP","F+DHF+OCT","DSS)NOVD","EC","TOTALTO","TAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31,2014"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGIONZONE  7Khon Kaen","158214","138174","3588319","64316439","1954448110","3767747206","5211915339","74061166393","66231154399","4319758280","39681924334","663354121","3620867512248","3675","165.75133.85125.58","0.100.100.22","21,845,2545,043,8621,790,049"
"Maha Sarakham","4","6","26","50","96","114","119","169","204","124","166","39","1117","1","116.28","0.09","960,588"
"Roi EtKalasin","103","61","2216","4530","17468","259168","272185","348256","321230","205149","228196","76118","19661420","10","150.27144.18","0.050.00","1,308,318984,907"
"ZONE 8Bungkan","102","71","392","700","2952","60715","67740","75636","59562","42543","41251","1111","4004255","00","72.7860.92","0.000.00","5,501,453418,566"
"Nong Bua Lam PhuUdon ThaniLoei","020","201","137","0312","191378","5024141","3453166","2262186","2762137","2353110","248395","131718","215375951","000","42.2523.88149.88","0.000.000.00","508,8641,570,300634,513"
"Nong KhaiSakon Nakhon","01","20","143","1114","3394","53179","70177","103180","110106","9735","6029","2213","575831","00","111.1672.98","0.000.00","517,2601,138,609"
"Nakhon Phanom","5","1","9","30","56","145","137","167","91","64","70","27","802","0","112.43","0.00","713,341"
"ZONE 9Nakhon RatchasimaBuri Ram","86457","823511","1557024","25210639","745294102","1242556163","18771008188","30291269475","29701439411","20001094234","1678933195","669345120","1478571941969","18131","219.74274.53124.68","0.120.180.05","6,728,4502,620,5171,579,248"
"Surin","9","4","16","40","139","220","302","651","560","337","314","135","2727","2","195.96","0.07","1,391,636"
"ChaiyaphumZONE 10Si Sa Ket","254111","32328","458125","6715747","210466169","3031171363","3791742497","6342455668","5601904689","3351136492","236954402","69529316","2895106683687","2112","254.61233.36251.64","0.070.100.05","1,137,0494,571,4891,465,213"
"Ubon RatchathaniYasothon","199","145","442","9511","23027","547106","907158","1206368","810234","455108","41147","14624","48841099","62","264.76203.44","0.120.18","1,844,669540,211"
"Amnat Charoen","2","3","4","2","20","87","128","146","103","51","48","22","616","1","164.10","0.16","375,380"
"Mukdahan","0","2","6","2","20","68","52","67","68","30","46","21","382","0","110.40","0.00","346,016"
"Southern RegionZONE 11","641349","468257","377227","348251","527324","1138770","1471895","1396837","1246697","1260617","1415696","875311","111626231","128","121.21142.83","0.110.13","9,208,5044,362,467"
"Nakhon Si Thammarat","157","115","87","78","77","190","268","248","209","204","236","88","1957","2","126.42","0.10","1,548,028"
"Krabi","66","53","39","65","112","239","308","279","220","152","131","50","1714","4","375.21","0.23","456,811"
"Phangnga","14","6","5","8","26","112","44","37","40","33","32","25","382","0","146.15","0.00","261,370"
"Phuket","22","16","26","40","28","49","98","95","88","117","149","88","816","0","215.67","0.00","378,364"
"Surat Thani","37","20","24","16","18","47","56","75","66","48","79","40","526","1","50.57","0.19","1,040,230"
"Ranong","17","12","12","12","13","60","46","28","16","12","24","12","264","1","149.08","0.38","177,089"
"Chumphon","36","35","34","32","50","73","75","75","58","51","45","8","572","0","114.27","0.00","500,575"
"ZONE 12","292","211","150","97","203","368","576","559","549","643","719","564","4931","4","101.75","0.08","4,846,037"
"Songkhla","118","80","56","34","86","161","222","248","271","293","336","255","2160","2","154.14","0.09","1,401,303"
"Satun","6","5","4","4","3","22","21","19","13","24","17","8","146","0","46.69","0.00","312,673"
"Trang","22","14","7","10","29","51","85","83","58","55","36","38","488","0","76.40","0.00","638,746"
"Phatthalung","40","27","14","13","32","57","83","59","39","37","66","68","535","0","102.80","0.00","520,419"
"Pattani","63","33","17","8","21","39","43","32","64","73","81","77","551","1","80.30","0.18","686,186"
"Yala","8","7","10","6","8","11","25","14","13","14","35","23","174","0","33.99","0.00","511,911"
"Narathiwat","35","45","42","22","24","27","97","104","91","147","148","95","877","1","113.19","0.11","774,799"

