"","","","","","","","","2017","","","","","","","CASE","CASE","POP."
"Trat","6","2","2","4","8","18","12","4","0","0","0","0","56","0","24.66","0.00","227,083"
"Chachoengsao","16","7","6","16","17","50","80","38","0","0","0","0","230","1","32.94","0.43","698,190"
"Prachin Buri","19","4","7","11","36","77","79","23","0","0","0","0","256","0","53.25","0.00","480,755"
"Sa Kaeo","1","6","8","14","50","117","29","15","0","0","0","0","240","1","43.28","0.42","554,555"

"","","","","","","","","2017","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS","","","","","DENGUE","HEMOR","RHAGIC","FEVER -","TOTAL","(DF+DH","F+DSS)","","","","RATE PER","FATALITY","DEC. 31, 2015"
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTAL","TOTAL","100,000.00","RATE",""
"","","","","","","","","","","","","","","","","",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","254","187","256","379","967","2071","1940","975","0","0","0","0","7029","2","32.12","0.03","21,880,646"
"ZONE  7","66","43","39","73","157","519","458","209","0","0","0","0","1564","0","30.97","0.00","5,049,920"
"Khon Kaen","12","4","7","13","36","94","92","42","0","0","0","0","300","0","16.72","0.00","1,794,032"
"Maha Sarakham","13","22","14","26","36","79","83","59","0","0","0","0","332","0","34.49","0.00","962,592"
"Roi Et","16","9","10","24","47","185","141","57","0","0","0","0","489","0","37.38","0.00","1,308,241"
"Kalasin","25","8","8","10","38","161","142","51","0","0","0","0","443","0","44.97","0.00","985,055"
"ZONE 8","52","34","54","102","286","428","324","186","0","0","0","0","1466","0","26.60","0.00","5,511,930"
"Bungkan","26","16","16","33","92","168","63","23","0","0","0","0","437","0","104.15","0.00","419,607"
"Nong Bua Lam Phu","1","1","2","8","19","16","37","20","0","0","0","0","104","0","20.41","0.00","509,469"
"Udon Thani","5","2","5","12","19","48","62","32","0","0","0","0","185","0","11.76","0.00","1,572,726"
"Loei","7","8","9","13","51","73","72","40","0","0","0","0","273","0","42.88","0.00","636,666"
"Nong Khai","4","3","4","6","16","32","34","16","0","0","0","0","115","0","22.18","0.00","518,420"
"Sakon Nakhon","5","3","14","18","67","69","41","43","0","0","0","0","260","0","22.79","0.00","1,140,673"
"Nakhon Phanom","4","1","4","12","22","22","15","12","0","0","0","0","92","0","12.88","0.00","714,369"
"ZONE 9","95","57","98","135","348","716","712","388","0","0","0","0","2549","1","37.83","0.04","6,737,604"
"Nakhon Ratchasima","38","25","43","45","164","336","384","206","0","0","0","0","1241","1","47.28","0.08","2,624,668"
"Buri Ram","9","10","5","19","49","92","108","73","0","0","0","0","365","0","23.07","0.00","1,581,955"
"Surin","34","19","42","66","123","213","164","68","0","0","0","0","729","0","52.32","0.00","1,393,330"
"Chaiyaphum","14","3","8","5","12","75","56","41","0","0","0","0","214","0","18.81","0.00","1,137,651"
"ZONE 10","41","53","65","69","176","408","446","192","0","0","0","0","1450","1","31.65","0.07","4,581,192"
"Si Sa Ket","22","11","20","7","43","147","146","98","0","0","0","0","494","0","33.67","0.00","1,467,006"
"Ubon Ratchathani","12","20","25","23","75","152","198","68","0","0","0","0","573","1","30.96","0.17","1,851,049"
"Yasothon","0","5","7","29","29","37","33","10","0","0","0","0","150","0","27.77","0.00","540,197"
"Amnat Charoen","3","5","2","2","12","36","38","3","0","0","0","0","101","0","26.87","0.00","375,881"
"Mukdahan","4","12","11","8","17","36","31","13","0","0","0","0","132","0","38.03","0.00","347,059"
"Southern Region","2223","1569","1141","885","1148","1282","947","439","0","0","0","0","9634","24","104.16","0.25","9,249,603"
"ZONE 11","404","445","423","433","604","721","531","276","0","0","0","0","3837","8","87.52","0.21","4,383,957"
"Nakhon Si Thammarat","233","271","216","209","277","287","247","137","0","0","0","0","1877","0","121.08","0.00","1,550,278"
"Krabi","15","27","42","36","56","60","66","31","0","0","0","0","333","1","72.48","0.30","459,456"
"Phangnga","14","9","8","20","27","45","52","19","0","0","0","0","194","1","73.84","0.52","262,721"
"Phuket","35","34","36","38","85","144","78","21","0","0","0","0","471","2","123.14","0.42","382,485"
"Surat Thani","82","78","79","83","84","125","65","49","0","0","0","0","645","2","61.81","0.31","1,043,501"
"Ranong","10","11","18","23","29","27","13","11","0","0","0","0","142","0","77.89","0.00","182,313"
"Chumphon","15","15","24","24","46","33","10","8","0","0","0","0","175","2","34.78","1.14","503,203"
"ZONE 12","1819","1124","718","452","544","561","416","163","0","0","0","0","5797","16","119.14","0.28","4,865,646"
"Songkhla","887","518","341","202","245","252","168","56","0","0","0","0","2669","5","189.84","0.19","1,405,939"
"Satun","8","7","10","6","7","5","0","0","0","0","0","0","43","2","13.68","4.65","314,297"
"Trang","28","21","18","21","30","54","44","21","0","0","0","0","237","2","37.04","0.84","639,770"
"Phatthalung","194","151","119","101","111","97","92","36","0","0","0","0","901","0","172.75","0.00","521,570"
"Pattani","351","193","84","46","39","49","40","15","0","0","0","0","817","1","118.39","0.12","690,104"
"Yala","82","32","22","19","23","21","14","4","0","0","0","0","217","3","42.13","1.38","515,025"
"Narathiwat","269","202","124","57","89","83","58","31","0","0","0","0","913","3","117.21","0.33","778,941"

"","","","","","","","2","017","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS","JAN","FEB","MAR","DAPR","ENGUE MAY","HEMORRJUN","HAGIC FJUL","EVER - TAUG","OTAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTALT","OTAL","RATE PER 100,000.00","FATALITYRATE","DEC. 31, 2015"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"Total","34372","4772","166","2111","3760","7023","8064","4233","0","0","0","0","33271","48","50.85","0.14","65,426,907"
"Northern Region","137","124","175","259","710","1697","2315","1258","0","0","0","0","6675","10","55.81","0.15","11,959,533"
"ZONE 1","82","70","66","126","395","832","1167","616","0","0","0","0","3354","6","58.01","0.18","5,781,324"
"Chiang Mai","46","29","36","47","165","376","598","290","0","0","0","0","1587","5","93.17","0.32","1,703,263"
"Lamphun","3","2","5","7","19","22","69","53","0","0","0","0","180","0","44.34","0.00","405,927"
"Lampang","6","8","9","17","37","54","81","22","0","0","0","0","234","0","31.09","0.00","752,685"
"Phrae","1","3","3","2","8","11","11","5","0","0","0","0","44","0","9.71","0.00","453,213"
"Nan","12","9","2","15","69","76","71","23","0","0","0","0","277","0","57.84","0.00","478,890"
"Phayao","0","1","0","3","16","15","15","5","0","0","0","0","55","0","11.37","0.00","483,550"
"Chiang Rai","12","12","5","18","42","194","236","184","0","0","0","0","703","1","56.56","0.14","1,242,825"
"Mae Hong Son","2","6","6","17","39","84","86","34","0","0","0","0","274","0","104.99","0.00","260,971"
"ZONE 2","30","28","59","70","238","618","759","425","0","0","0","0","2227","3","63.65","0.13","3,498,728"
"Uttaradit","2","7","5","3","27","36","60","72","0","0","0","0","212","0","46.08","0.00","460,084"
"Tak","10","4","23","16","107","337","395","149","0","0","0","0","1041","2","179.80","0.19","578,968"
"Sukhothai","1","4","0","4","7","33","35","42","0","0","0","0","126","0","20.93","0.00","602,085"
"Phitsanulok","15","6","18","33","59","126","117","85","0","0","0","0","459","0","53.30","0.00","861,194"
"Phetchabun","2","7","13","14","38","86","152","77","0","0","0","0","389","1","39.04","0.26","996,397"
"ZONE 3","29","30","57","75","84","284","431","237","0","0","0","0","1227","1","40.74","0.08","3,011,449"
"Chai Nat","4","4","7","12","7","37","42","20","0","0","0","0","133","0","40.06","0.00","331,968"
"Nakhon Sawan","12","10","15","17","13","64","89","90","0","0","0","0","310","0","28.91","0.00","1,072,349"
"Uthai Thani","2","1","0","0","5","11","23","13","0","0","0","0","55","0","16.64","0.00","330,543"
"Kamphaeng Phet","4","9","21","26","24","89","145","31","0","0","0","0","349","0","47.82","0.00","729,839"
"Phichit","7","6","14","20","35","83","132","83","0","0","0","0","380","1","69.50","0.26","546,750"
"Central Region*","823","597","594","588","935","1973","2862","1561","0","0","0","0","9933","12","44.47","0.12","22,337,125"
"Bangkok","389","249","210","217","264","694","1250","738","0","0","0","0","4011","1","70.44","0.02","5,694,347"
"ZONE 4","116","97","75","74","138","264","359","235","0","0","0","0","1358","5","26.01","0.37","5,221,125"
"Nonthaburi","41","31","15","13","45","98","104","87","0","0","0","0","434","3","36.66","0.69","1,183,791"
"Pathum Thani","18","21","24","21","26","34","39","25","0","0","0","0","208","0","19.19","0.00","1,084,154"
"P.Nakhon S.Ayutthaya","20","14","17","30","27","58","89","47","0","0","0","0","302","1","37.47","0.33","805,980"
"Ang Thong","9","5","2","3","11","21","50","31","0","0","0","0","132","0","46.58","0.00","283,371"
"Lop Buri","11","15","9","1","9","7","15","12","0","0","0","0","79","0","10.41","0.00","758,531"
"Sing Buri","0","1","0","0","1","8","2","1","0","0","0","0","13","0","6.14","0.00","211,792"
"Saraburi","16","8","6","5","9","33","55","30","0","0","0","0","162","1","25.49","0.62","635,567"
"Nakhon Nayok","1","2","2","1","10","5","5","2","0","0","0","0","28","0","10.86","0.00","257,939"
"ZONE 5","141","124","156","111","211","443","642","341","0","0","0","0","2169","3","41.63","0.14","5,209,561"
"Ratchaburi","16","5","8","7","14","41","60","6","0","0","0","0","157","0","18.24","0.00","860,549"
"Kanchanaburi","4","2","3","1","7","18","31","13","0","0","0","0","79","0","9.13","0.00","865,172"
"Suphan Buri","13","24","32","21","39","54","67","9","0","0","0","0","259","0","30.49","0.00","849,376"
"Nakhon Pathom","25","22","27","21","30","74","114","108","0","0","0","0","421","0","47.03","0.00","895,207"
"Samut Sakhon","12","17","19","10","30","71","92","60","0","0","0","0","311","2","57.73","0.64","538,671"
"Samut Songkhram","4","1","3","6","1","4","11","15","0","0","0","0","45","0","23.16","0.00","194,283"
"Phetchaburi","45","32","48","25","59","121","214","88","0","0","0","0","632","0","132.66","0.00","476,391"
"Prachuap Khiri Khan","22","21","16","20","31","60","53","42","0","0","0","0","265","1","50.01","0.38","529,912"
"ZONE 6","173","123","146","174","315","535","569","227","0","0","0","0","2262","3","38.47","0.13","5,880,124"
"Samut Prakan","57","32","51","30","33","77","134","56","0","0","0","0","470","0","37.00","0.00","1,270,420"
"Chon Buri","38","29","37","38","58","55","78","9","0","0","0","0","342","0","23.78","0.00","1,438,231"
"Rayong","30","22","21","37","72","87","99","46","0","0","0","0","414","1","60.73","0.24","681,696"
"Chanthaburi","6","21","14","24","41","54","58","36","0","0","0","0","254","0","48.00","0.00","529,194"
"Trat","6","2","2","4","8","18","12","4","0","0","0","0","56","0","24.66","0.00","227,083"
"Chachoengsao","16","7","6","16","17","50","80","38","0","0","0","0","230","1","32.94","0.43","698,190"
"Prachin Buri","19","4","7","11","36","77","79","23","0","0","0","0","256","0","53.25","0.00","480,755"
"Sa Kaeo","1","6","8","14","50","117","29","15","0","0","0","0","240","1","43.28","0.42","554,555"

"","","","","","","","2","017","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS","JAN","FEBM","AR","DAPR","ENGUE MAY","HEMORRJUN","HAGIC FJUL","EVER - TAUG","OTAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTALT","OTAL","RATE PER 100,000.00","FATALITYRATE","DEC. 31, 2015"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","254","187","256","379","967","2071","1940","975","0","0","0","0","7029","2","32.12","0.03","21,880,646"
"ZONE  7","66","43","39","73","157","519","458","209","0","0","0","0","1564","0","30.97","0.00","5,049,920"
"Khon Kaen","12","4","7","13","36","94","92","42","0","0","0","0","300","0","16.72","0.00","1,794,032"
"Maha Sarakham","13","22","14","26","36","79","83","59","0","0","0","0","332","0","34.49","0.00","962,592"
"Roi Et","16","9","10","24","47","185","141","57","0","0","0","0","489","0","37.38","0.00","1,308,241"
"Kalasin","25","8","8","10","38","161","142","51","0","0","0","0","443","0","44.97","0.00","985,055"
"ZONE 8","52","34","54","102","286","428","324","186","0","0","0","0","1466","0","26.60","0.00","5,511,930"
"Bungkan","26","16","16","33","92","168","63","23","0","0","0","0","437","0","104.15","0.00","419,607"
"Nong Bua Lam Phu","1","1","2","8","19","16","37","20","0","0","0","0","104","0","20.41","0.00","509,469"
"Udon Thani","5","2","5","12","19","48","62","32","0","0","0","0","185","0","11.76","0.00","1,572,726"
"Loei","7","8","9","13","51","73","72","40","0","0","0","0","273","0","42.88","0.00","636,666"
"Nong Khai","4","3","4","6","16","32","34","16","0","0","0","0","115","0","22.18","0.00","518,420"
"Sakon Nakhon","5","3","14","18","67","69","41","43","0","0","0","0","260","0","22.79","0.00","1,140,673"
"Nakhon Phanom","4","1","4","12","22","22","15","12","0","0","0","0","92","0","12.88","0.00","714,369"
"ZONE 9","95","57","98","135","348","716","712","388","0","0","0","0","2549","1","37.83","0.04","6,737,604"
"Nakhon Ratchasima","38","25","43","45","164","336","384","206","0","0","0","0","1241","1","47.28","0.08","2,624,668"
"Buri Ram","9","10","5","19","49","92","108","73","0","0","0","0","365","0","23.07","0.00","1,581,955"
"Surin","34","19","42","66","123","213","164","68","0","0","0","0","729","0","52.32","0.00","1,393,330"
"Chaiyaphum","14","3","8","5","12","75","56","41","0","0","0","0","214","0","18.81","0.00","1,137,651"
"ZONE 10","41","53","65","69","176","408","446","192","0","0","0","0","1450","1","31.65","0.07","4,581,192"
"Si Sa Ket","22","11","20","7","43","147","146","98","0","0","0","0","494","0","33.67","0.00","1,467,006"
"Ubon Ratchathani","12","20","25","23","75","152","198","68","0","0","0","0","573","1","30.96","0.17","1,851,049"
"Yasothon","0","5","7","29","29","37","33","10","0","0","0","0","150","0","27.77","0.00","540,197"
"Amnat Charoen","3","5","2","2","12","36","38","3","0","0","0","0","101","0","26.87","0.00","375,881"
"Mukdahan","4","12","11","8","17","36","31","13","0","0","0","0","132","0","38.03","0.00","347,059"
"Southern Region","22231","5691","141","885","1148","1282","947","439","0","0","0","0","9634","24","104.16","0.25","9,249,603"
"ZONE 11","404","445","423","433","604","721","531","276","0","0","0","0","3837","8","87.52","0.21","4,383,957"
"Nakhon Si Thammarat","233","271","216","209","277","287","247","137","0","0","0","0","1877","0","121.08","0.00","1,550,278"
"Krabi","15","27","42","36","56","60","66","31","0","0","0","0","333","1","72.48","0.30","459,456"
"Phangnga","14","9","8","20","27","45","52","19","0","0","0","0","194","1","73.84","0.52","262,721"
"Phuket","35","34","36","38","85","144","78","21","0","0","0","0","471","2","123.14","0.42","382,485"
"Surat Thani","82","78","79","83","84","125","65","49","0","0","0","0","645","2","61.81","0.31","1,043,501"
"Ranong","10","11","18","23","29","27","13","11","0","0","0","0","142","0","77.89","0.00","182,313"
"Chumphon","15","15","24","24","46","33","10","8","0","0","0","0","175","2","34.78","1.14","503,203"
"ZONE 12","18191","124","718","452","544","561","416","163","0","0","0","0","5797","16","119.14","0.28","4,865,646"
"Songkhla","887","518","341","202","245","252","168","56","0","0","0","0","2669","5","189.84","0.19","1,405,939"
"Satun","8","7","10","6","7","5","0","0","0","0","0","0","43","2","13.68","4.65","314,297"
"Trang","28","21","18","21","30","54","44","21","0","0","0","0","237","2","37.04","0.84","639,770"
"Phatthalung","194","151","119","101","111","97","92","36","0","0","0","0","901","0","172.75","0.00","521,570"
"Pattani","351","193","84","46","39","49","40","15","0","0","0","0","817","1","118.39","0.12","690,104"
"Yala","82","32","22","19","23","21","14","4","0","0","0","0","217","3","42.13","1.38","515,025"
"Narathiwat","269","202","124","57","89","83","58","31","0","0","0","0","913","3","117.21","0.33","778,941"

