"Estado","Total","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Tabasco","  488","  24","  52","  16","  22","  25","  26","  46","  71","  102","  83","  13","  8"
"Tamaulipas","  826","  53","  14","  37","  25","  17","  15","  73","  269","  204","  118","  1","  0"
"Tlaxcala","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Veracruz"," 1 004","  24","  15","  31","  10","  32","  63","  54","  230","  244","  184","  89","  28"
"Yucatán"," 2 198","  187","  101","  35","  30","  27","  52","  245","  439","  334","  423","  258","  67"
"Zacatecas","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"TOTAL GLOBAL"," 36 740"," 2 448"," 1 934"," 1 484"," 1 696"," 1 989"," 2 795"," 3 718"," 5 587"," 5 243"," 5 936"," 3 224","  686"
"Estado","Total","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"
"Baja California","  6","  0","  0","  1","  0","  0","  1","  1","  1","  1","  1","  0","  0"
"Baja California Sur"," 1 551","  84","  38","  26","  47","  52","  49","  75","  114","  139","  393","  392","  142"
"Campeche","  930","  72","  44","  23","  32","  25","  40","  157","  323","  91","  92","  24","  7"
"Coahuila","  52","  0","  0","  0","  1","  2","  2","  5","  9","  15","  16","  2","  0"
"Colima","  752","  232","  131","  76","  54","  26","  29","  31","  43","  65","  39","  17","  9"
"Chiapas","  761","  33","  40","  17","  30","  70","  184","  138","  107","  65","  45","  20","  12"
"Chihuahua","  2","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"
"Distrito Federal","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Durango","  18","  0","  0","  0","  1","  0","  0","  0","  1","  7","  5","  4","  0"
"Guanajuato","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Guerrero"," 3 791","  286","  306","  283","  295","  251","  343","  444","  718","  694","  65","  72","  34"
"Hidalgo","  45","  1","  1","  1","  8","  4","  2","  3","  6","  7","  11","  1","  0"
"Jalisco"," 1 045","  172","  121","  87","  52","  50","  78","  77","  110","  143","  103","  46","  6"
"México","  31","  1","  0","  1","  1","  6","  8","  0","  9","  5","  0","  0","  0"
"Michoacán"," 1 156","  135","  119","  90","  78","  54","  75","  39","  116","  167","  160","  100","  23"
"Morelos"," 1 222","  18","  9","  24","  21","  42","  74","  115","  176","  236","  334","  140","  33"
"Nayarit","  231","  10","  4","  5","  10","  43","  31","  33","  49","  24","  20","  2","  0"
"Nuevo León"," 2 067","  10","  27","  42","  50","  114","  114","  160","  369","  398","  489","  253","  41"
"Oaxaca"," 1 424","  81","  55","  56","  123","  154","  257","  211","  261","  130","  72","  17","  7"
"Puebla"," 1 100","  10","  12","  18","  18","  33","  101","  226","  292","  214","  142","  28","  6"
"Querétaro","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"
"Quintana Roo","  560","  62","  82","  41","  53","  37","  62","  126","  55","  22","  10","  6","  4"
"San Luis Potosí","  315","  13","  9","  19","  28","  36","  22","  26","  46","  60","  48","  7","  1"
"Sinaloa","  722","  47","  18","  17","  18","  29","  32","  78","  87","  102","  193","  97","  4"
"Sonora"," 2 404","  17","  10","  2","  2","  9","  8","  23","  29","  304"," 1 188","  725","  87"
"Tabasco","  396","  20","  43","  14","  18","  21","  21","  34","  60","  81","  66","  11","  7"
"Tamaulipas","  418","  27","  8","  19","  13","  9","  8","  37","  134","  102","  60","  1","  0"
"Tlaxcala","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Veracruz","  891","  22","  14","  28","  9","  29","  56","  52","  202","  213","  162","  79","  25"
"Yucatán"," 1 706","  146","  79","  27","  23","  21","  41","  198","  340","  252","  325","  201","  53"
"Zacatecas","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"TOTAL GLOBAL"," 23 599"," 1 499"," 1 170","  917","  986"," 1 117"," 1 638"," 2 292"," 3 658"," 3 537"," 4 039"," 2 245","  501"
"Estado","Total","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","  11","  0","  0","  0","  0","  0","  0","  6","  1","  1","  3","  0","  0"
"Baja California","  23","  1","  1","  2","  0","  2","  3","  3","  6","  2","  3","  0","  0"
"Baja California Sur"," 3 477","  128","  118","  73","  143","  162","  153","  172","  248","  279","  735","  875","  391"
"Campeche"," 1 618","  115","  64","  40","  42","  44","  79","  266","  572","  227","  122","  37","  10"
"Coahuila","  308","  7","  1","  1","  5","  11","  29","  61","  65","  57","  45","  23","  3"
"Colima"," 3 391","  441","  321","  251","  210","  152","  186","  262","  352","  674","  433","  70","  39"
"Chiapas"," 3 661","  110","  141","  123","  167","  218","  559","  614","  644","  437","  333","  222","  93"
"Chihuahua","  7","  0","  0","  0","  0","  0","  0","  3","  4","  0","  0","  0","  0"
"Distrito Federal","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"Durango","  154","  6","  7","  5","  6","  10","  10","  19","  39","  26","  17","  6","  3"
"Guanajuato","  264","  1","  4","  7","  14","  38","  52","  46","  34","  21","  16","  24","  7"
"Guerrero"," 13 807","  682","  795","  887","  983","  809"," 1 102"," 1 539"," 2 583"," 2 479"," 1 348","  446","  154"
"Hidalgo","  696","  4","  14","  21","  60","  79","  41","  49","  77","  153","  161","  30","  7"
"Jalisco"," 7 618","  634","  429","  436","  359","  445","  613"," 1 008"," 1 251","  983","  849","  442","  169"
"México","  268","  6","  4","  5","  12","  14","  22","  21","  43","  81","  48","  10","  2"
"Michoacán"," 6 993","  421","  458","  651","  417","  501","  494","  489","  746"," 1 139"," 1 108","  420","  149"
"Morelos"," 5 276","  127","  195","  307","  239","  285","  421","  603","  739","  682","  898","  522","  258"
"Nayarit"," 3 212","  282","  257","  212","  285","  437","  420","  321","  406","  284","  251","  43","  14"
"Nuevo León"," 13 982","  100","  240","  404","  646"," 1 553"," 1 651"," 1 580"," 2 422"," 1 832"," 2 070"," 1 143","  341"
"Oaxaca"," 10 697","  304","  328","  490","  742","  622","  839"," 1 254"," 2 779"," 2 129","  901","  247","  62"
"Puebla"," 2 600","  61","  133","  128","  149","  174","  245","  407","  550","  388","  252","  89","  24"
"Querétaro","  50","  0","  0","  2","  14","  10","  2","  4","  7","  6","  5","  0","  0"
"Quintana Roo"," 5 097","  219","  291","  301","  372","  347","  312","  723"," 1 521","  579","  259","  117","  56"
"San Luis Potosí"," 3 965","  95","  107","  248","  365","  453","  318","  253","  475","  801","  660","  135","  55"
"Sinaloa"," 1 895","  141","  60","  55","  61","  71","  102","  149","  221","  275","  471","  259","  30"
"Sonora"," 6 199","  55","  34","  34","  55","  69","  78","  154","  191","  601"," 2 727"," 1 857","  344"
"Tabasco"," 2 337","  81","  147","  66","  81","  105","  86","  194","  561","  481","  414","  97","  24"
"Tamaulipas"," 2 846","  87","  66","  87","  95","  91","  90","  291","  599","  522","  555","  300","  63"
"Tlaxcala","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Veracruz"," 4 416","  108","  92","  131","  100","  170","  243","  300","  976"," 1 283","  617","  277","  119"
"Yucatán"," 4 965","  421","  231","  148","  127","  126","  166","  585"," 1 205","  755","  664","  420","  117"
"Zacatecas","  2","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"
"TOTAL GLOBAL"," 109 836"," 4 637"," 4 538"," 5 115"," 5 749"," 6 998"," 8 316"," 11 377"," 19 319"," 17 177"," 15 965"," 8 111"," 2 534"
