"Country or Subregion","aWeek","bClinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","Serotype","dSevere Dengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Uruguay","Week 52","0","0.00","0","0.00","DEN","0","0","3,385","0.00","0.00"
"Subtotal ","","1,622,745","659.20","133,158","","","9,045","796","246,167","0.56","0.05"
"fCuba","Week 52","1,430","12.71","0","0.00","DEN","0","0","11,254","…","…"
"Dominican Republic","Week 52","16,658","196.09","405","4.77","DEN1,2,4","424","111","8,495","2.55","0.67"
"Puerto Rico","Week 52","18,164","478.45","9,232","230.14","DEN1,2,4","50","12","3,726","0.28","0.07"
"Subtotal ","","36,252","154.43","9,637","","","474","123","23,475","1.31","0.34"
"American Virgin Islands","Week 52","141","0.00","141","0.00","DEN","0","0","","0.00","0.00"
"Anguilla*","Week 52","8","61.54","3","23.08","DEN","0","0","13","0.00","0.00"
"Antigua & Barbuda*","Week 52","3","3.37","3","3.37","DEN1","0","0","89","0.00","0.00"
"Aruba","Week 52","1,020","1,000.00","125","122.55","DEN4","1","1","102","0.00","0.00"
"Bahamas*","Week 52","3","0.88","2","0.58","DEN","0","0","342","0.00","0.00"
"Barbados*","Week 52","2,848","1,047.06","1,122","412.50","DEN1,2,4","16","4","272","0.00","0.00"
"Bermuda*","Week 52","1","1.54","1","1.54","DEN","0","0","65","0.00","0.00"
"British Virgin Islands*","Week 52","126","525.00","126","525.00","DEN","0","0","24","0.00","0.00"
"Cayman Islands*","Week 52","69","150.00","41","89.13","DEN1,4","0","0","46","0.00","0.00"
"Curacao*","Week 52","568","400.00","82","57.75","DEN","0","0","142","0.00","0.00"
"Dominica*","Week 52","141","198.59","56","78.87","DEN1,4","0","0","71","0.00","0.00"
"French Guiana","Week 52","16,263","6,883.81","5,562","2,354.29","DEN1,2,3,4","86","6","236","0.53","0.04"
"Grenada*","Week 52","155","140.91","155","140.91","DEN","0","0","110","0.00","0.00"
"Guadaloupe","Week 52","12,706","3,164.63","3,553","884.93","DEN1,2,3,4","39","8","402","0.31","0.06"
"Guyana","Week 52","1,120","146.79","1120","146.79","DEN2,4","0","0","763","0.00","0.00"
"Country or Subregion","aWeek","bClinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","Serotype","dSevere Dengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Haiti","Week 00","0","0.00","North0"," America0.00","DEN","0","0","13,000","0.00","0.00"
"Jamaica*","Week 52","861","30.52","159","5.64","DEN1","16","4","2,821","0.00","0.46"
"Martinique","Week 52","7,040","1,777.78","2215","559.34","DEN1,2,3,4","114","0","396","1.62","0.00"
"Montserrat*","Week 52","6","120.00","0","0.00","DEN","0","0","5","0.00","0.00"
"Bonaire, Saba, St.Eustatious","Week 52","444","197.33","81","36.00","DEN","0","0","225","0.00","0.00"
"St. Bartolome","Week 52","966","10,662.25","467","5,154.53","DEN2,4","39","1","9","4.04","0.10"
"St. Kitts & Nevis*","Week 52","100","204.08","45","91.84","DEN4","0","0","49","0.00","0.00"
"St. Lucia","Week 52","234","143.56","202","123.93","DEN4","4","2","163","0.00","0.85"
"St. Martin","Week 52","3,095","8,262.15","1298","3,465.03","DEN2,4","31","2","37","1.00","0.06"
"St. Vincent & the Grenadines","Week 52","127","119.81","248","233.96","DEN","4","0","106","0.00","0.00"
"Suriname ","Week 50","21","4.85","8","1.85","DEN2","0","0","433","0.00","0.00"
"Trinidad & Tobago*","Week 52","3,289","242.19","0","0.00","DEN","17","0","1,358","0.00","0.00"
"Turks & Caicos Islands*","Week 52","5","15.15","5","15.15","DEN","0","0","33","0.00","0.00"
"Subtotal ","","51,360","240.99","16,820","","","367","28","21,312","0.71","0.05"
"TOTAL","","             2 ,386,836","435.38","325,796","","","        37,903","                 1,318","548,221","","0.06"
