"Country or Subregion","aWeek","Clinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","d Serotype","eSevere Dengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Jamaica*","Week 52","4,670","165.54","545","19.32","DEN 1","12","10","2,821","0.26","0.21"
"Martinique","Week 52","1,269","319.65","153","38.54","DEN 1,2,4","0","0","397","0.00","0.00"
"Montserrat*","Week 52","1","20.00","1","20.00","DEN","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 12","121","53.78","31","13.78","DEN","0","0","225","0.00","0.00"
"St. Bartolome","Week 52","32","359.55","13","146.07","DEN 2,4","0","0","9","0.00","0.00"
"St. Kitts & Nevis*","Week 52","1","2.04","1","2.04","DEN 4","0","0","49","0.00","0.00"
"St. Lucia","Week 52","33","20.25","33","20.25","DEN","0","0","163","0.00","0.00"
"St. Martin","Week 52","253","687.50","129","350.54","DEN 2,4","2","0","37","0.00","0.00"
"St. Vincent & the Grenadines","Week 52","193","182.08","193","182.08","DEN","4","0","106","2.07","0.00"
"Suriname ","Week 52","663","153.12","337","77.83","DEN 1,2,4","182","4","433","27.45","0.60"
"Trinidad & Tobago*","Week 52","2,473","182.11","0","0.00","DEN","13","0","1,358","0.00","0.00"
"Turks & Caicos Islands*","Week 52","16","48.48","16","48.48","DEN","0","0","33","0.00","0.00"
"Subtotal ","","17,786","83.57","5,475","","","257","15","21,282","1.44","0.08"
