"","Área Programática, Regiões",População,,,,,,,,,,,,,,,,,,,,,,,,S E M A N A  E P I D E M I O L Ó G I C A,,,,,,,,,,,,,,,,,,,,,,,,
Catete,,24057,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0 0 0 0 0 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Cosme Velho,,7178,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Botafogo,,82890,1,2,2,1,0,2,2,0,0,1,0,1,0,2,1,2,4,0,0,0,0,0,0,1 1 0 1 0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Humaitá,,13285,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0 0 0 1 1 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Urca,,7061,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
V Copacabana,,161 191,4,3,2,4,4,2,5,4,1,0,1,4,4,3,1,2,2,1,1,0,0,0,0,0 0 0 2 0 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Leme,,14799,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Copacabana,,146392,4,3,2,3,3,2,5,4,1,0,1,4,4,3,1,1,2,1,1,0,0,0,0,0 0 0 2 0 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
VI Lagoa,,167 774,3,4,2,0,2,2,2,1,3,3,1,2,2,1,3,3,1,0,1,0,0,1,0,0 1 0 0 0 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Ipanema,,42743,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0 0 0 0 0 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Leblon,,46044,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Lagoa,,21198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0 0 0 0 0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jardim Botânico,,18009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gávea,,16003,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0 1 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Vidigal,,12797,1,4,0,0,0,1,1,0,0,0,0,2,0,1,2,2,0,0,0,0,0,1,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
São Conrado,,10980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
XXVII Rocinha,,69 356,3,1,7,7,5,6,5,2,4,0,3,4,2,3,1,0,3,2,2,0,2,1,1,0 0 2 0 1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Rocinha,,69 356,3,1,7,7,5,6,5,2,4,0,3,4,2,3,1,0,3,2,2,0,2,1,1,0 0 2 0 1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"Área Programática 2.2",,371 120,6,7,1,6,4,5,5,2,0,0,3,5,1,0,2,1,2,4,1,0,0,0,1,1 1 2 2 0 2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
VIII Tijuca,,181 810,1,3,0,2,3,3,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0 1 0 2 0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Praça da Bandeira,,8662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 1 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tijuca,,163805,1,2,0,2,2,3,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0 1 0 1 0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Alto da Boa Vista,,9343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IX Vila Isabel,,189 310,5,4,1,4,1,2,4,2,0,0,3,4,0,0,2,1,2,3,0,0,0,0,0,1 0 2 0 0 1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Maracanã,,25256,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Vila Isabel,,86018,3,4,0,3,1,2,3,1,0,0,1,3,0,0,2,1,2,1,0,0,0,0,0,0 0 1 0 0 0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Andaraí,,39365,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Grajaú,,38671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 1 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Área Programática 3.1",,886 551,14,29,21,26,34,22,32,11,10,20,26,15,20,19,12,13,8,12,11,7,3,6,6,6 6 1 1 1 0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396
X Ramos,,153 177,3,5,4,5,7,3,8,1,3,5,5,3,2,2,1,2,2,0,1,1,1,1,0,1 0 0 0 0 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Manguinhos,,36160,1,2,1,1,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Bonsucesso,,18711,1,1,0,1,1,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Ramos,,40792,1,2,1,0,4,1,3,0,2,3,2,1,2,1,0,2,1,0,1,0,0,0,0,1 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Olaria,,57514,0,0,2,3,1,2,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0 0 0 0 0 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
